Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																					
Дата голосования: 07.12.2003 0:00:00																																					
																																					
Наименование Избирательной комиссии:    Татищевская																																					
																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																					
																																					
		Сумма	УИК  1087	УИК  1088	УИК  1089	УИК  1090	УИК  1091	УИК  1092	УИК  1093	УИК  1094	УИК  1095	УИК  1096	УИК  1097	УИК  1098	УИК  1099	УИК  1100	УИК  1101	УИК  1102	УИК  1103	УИК  1104	УИК  1105	УИК  1106	УИК  1107	УИК  1108	УИК  1109	УИК  1110	УИК  1111	УИК  1112	УИК  1113	УИК  1114	УИК  1115	УИК  1116					
1	"Число избирателей, внесенных в списки"	21494	1859	1976	2121	432	506	310	1774	285	639	457	648	399	165	278	535	128	761	211	1254	302	762	382	262	267	230	691	1295	1305	566	694					
2	"Число бюллетеней, полученных участковыми комиссиями"	21449	1852	1956	2129	424	501	301	1758	275	652	460	659	389	219	272	534	142	758	199	1226	299	753	381	266	265	235	696	1288	1296	557	707					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	16383	1400	1326	1840	353	389	223	1374	220	558	315	537	330	143	193	401	124	626	146	909	224	528	255	207	147	165	516	1063	888	341	642					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1215	50	39	28	31	72	26	54	42	33	46	17	23	20	65	48	4	87	38	45	47	44	66	11	40	30	74	33	27	42	33					
6	Число погашенных бюллетеней	3851	402	591	261	40	40	52	330	13	61	99	105	36	56	14	85	14	45	15	272	28	181	60	48	78	40	106	192	381	174	32					
7	Число бюллетеней в переносных ящиках для голосования	1215	50	39	28	31	72	26	54	42	33	46	17	23	20	65	48	4	87	38	45	47	44	66	11	40	30	74	33	27	42	33					
8	Число бюллетеней в стационарных ящиках для голосования	16371	1400	1326	1826	353	389	223	1374	220	558	315	537	330	145	193	401	124	626	146	909	224	528	255	207	147	165	516	1063	888	341	642					
9	Число недействительных бюллетеней	346	71	9	11	3	20	9	0	0	14	10	32	21	0	22	11	3	8	1	40	1	8	3	1	4	1	2	11	8	22	0					
10	Число действительных бюллетеней	17240	1379	1356	1843	381	441	240	1428	262	577	351	522	332	165	236	438	125	705	183	914	270	564	318	217	183	194	588	1085	907	361	675					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	900	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	182	24	15	26	4	3	0	13	0	19	4	8	1	1	0	4	0	6	1	17	1	4	0	1	0	0	5	14	8	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	176	12	12	4	5	9	3	10	8	10	4	2	3	2	1	6	3	4	12	14	4	12	4	4	4	2	3	10	1	2	6					
14	Число погашенных открепительных удостоверений	718	6	15	4	26	27	30	17	30	11	26	22	29	29	30	26	30	24	29	13	29	26	30	29	30	30	25	16	22	30	27					
15	Число открепительных удостоверений выданных ТИК	19	0	1	3	0	0	1	4	1	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	0	2	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																					
18	"1. ""ЕДИНЕНИЕ"""	191	12	12	14	8	3	9	10	2	8	11	7	2	0	3	3	1	8	0	13	1	9	4	0	3	3	8	9	19	6	3					
		1.08%	0.82%	0.87%	0.75%	2.08%	0.65%	3.61%	0.70%	0.76%	1.35%	3.04%	1.26%	0.56%	0.0%	1.16%	0.66%	0.78%	1.12%	0.0%	1.36%	0.36%	1.57%	1.24%	0.0%	1.60%	1.53%	1.35%	0.82%	2.07%	1.56%	0.44%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	230	22	24	53	6	5	2	14	0	6	20	4	0	0	2	5	2	6	1	2	4	5	0	1	2	2	0	21	15	6	0					
		1.30%	1.51%	1.75%	2.85%	1.56%	1.08%	0.80%	0.98%	0.0%	1.01%	5.54%	0.72%	0.0%	0.0%	0.77%	1.11%	1.56%	0.84%	0.54%	0.20%	1.47%	0.87%	0.0%	0.45%	1.06%	1.02%	0.0%	1.91%	1.63%	1.56%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	336	27	26	31	17	6	8	13	13	7	8	5	4	1	0	4	0	7	2	15	2	29	0	9	4	2	4	38	35	9	10					
		1.91%	1.86%	1.90%	1.67%	4.42%	1.30%	3.21%	0.91%	4.96%	1.18%	2.21%	0.90%	1.13%	0.60%	0.0%	0.89%	0.0%	0.98%	1.08%	1.57%	0.73%	5.06%	0.0%	4.12%	2.13%	1.02%	0.67%	3.46%	3.82%	2.34%	1.48%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	226	7	20	20	2	5	9	21	5	3	6	9	2	0	0	6	3	3	2	31	4	9	0	0	1	3	3	22	25	2	3					
		1.28%	0.48%	1.46%	1.07%	0.52%	1.08%	3.61%	1.47%	1.90%	0.50%	1.66%	1.62%	0.56%	0.0%	0.0%	1.33%	2.34%	0.42%	1.08%	3.24%	1.47%	1.57%	0.0%	0.0%	0.53%	1.53%	0.50%	2.00%	2.73%	0.52%	0.44%					
22	"5. ""За Русь Святую"""	48	4	2	8	0	1	0	2	0	1	3	0	0	0	0	1	0	2	0	2	1	3	0	1	0	0	0	9	7	1	0					
		0.27%	0.27%	0.14%	0.43%	0.0%	0.21%	0.0%	0.14%	0.0%	0.16%	0.83%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.28%	0.0%	0.20%	0.36%	0.52%	0.0%	0.45%	0.0%	0.0%	0.0%	0.82%	0.76%	0.26%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	39	2	5	1	0	3	0	0	1	1	0	2	0	0	1	4	1	1	2	1	0	2	0	0	1	1	1	4	1	1	3					
		0.22%	0.13%	0.36%	0.05%	0.0%	0.65%	0.0%	0.0%	0.38%	0.16%	0.0%	0.36%	0.0%	0.0%	0.38%	0.89%	0.78%	0.14%	1.08%	0.10%	0.0%	0.34%	0.0%	0.0%	0.53%	0.51%	0.16%	0.36%	0.10%	0.26%	0.44%					
24	"7. ""Новый курс - Автомобильная Россия"""	73	3	3	14	0	2	4	7	0	1	3	2	0	0	0	1	0	1	0	5	1	1	0	0	0	1	1	12	7	3	1					
