Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																						
Дата голосования: 18.09.2016																																																						
																																																						
Наименование Избирательной комиссии:    Благовещенская																																																						
																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																						
																																																						
		Сумма	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	37277	1467	1144	1289	1319	1473	1203	1285	1132	1200	1264	1303	2492	757	2546	1367	1355	2494	719	726	785	290	390	423	190	302	144	459	91	1175	229	121	374	401	275	404	197	581	212	448	1860	605	246	540									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	37000	1400	1100	1250	1270	1400	1150	1240	1100	1150	1200	1250	2600	750	2660	1300	1300	2620	730	740	790	290	390	420	190	300	145	460	90	1170	230	120	375	410	270	410	200	595	210	450	1880	610	245	540									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	20230	943	272	741	792	357	799	623	449	804	971	839	878	223	786	482	589	854	389	216	629	216	340	293	138	265	130	306	34	960	144	65	314	227	135	310	167	525	183	280	1505	460	191	406									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2172	18	8	30	40	79	29	27	35	29	11	3	17	6	23	5	14	77	223	14	85	65	19	84	47	24	12	93	23	98	61	26	41	160	127	74	21	28	21	112	75	87	16	85									
6	Число погашенных избирательных бюллетеней	14598	439	820	479	438	964	322	590	616	317	218	408	1705	521	1851	813	697	1689	118	510	76	9	31	43	5	11	3	61	33	112	25	29	20	23	8	26	12	42	6	58	300	63	38	49									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2171	18	8	30	40	79	29	27	35	29	11	3	17	6	23	5	14	76	223	14	85	65	19	84	47	24	12	93	23	98	61	26	41	160	127	74	21	28	21	112	75	87	16	85									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	20228	943	272	741	792	357	799	623	449	804	971	839	878	223	786	482	589	852	389	216	629	216	340	293	138	265	130	306	34	960	144	65	314	227	135	310	167	525	183	280	1505	460	191	406									
9	Число недействительных избирательных бюллетеней	241	0	14	10	7	20	0	2	9	1	14	0	25	4	29	3	0	39	0	4	5	1	1	0	0	3	0	4	10	0	0	0	2	3	0	0	2	6	0	11	8	0	2	2									
10	Число действительных избирательных бюллетеней	22158	961	266	761	825	416	828	648	475	832	968	842	870	225	780	484	603	889	612	226	709	280	358	377	185	286	142	395	47	1058	205	91	353	384	262	384	186	547	204	381	1572	547	205	489									
