Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																								
Дата голосования: 18.09.2016																																								
																																								
Наименование Избирательной комиссии:    Темниковская																																								
																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																								
																																								
		Сумма	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	12851	1122	1520	899	808	1495	367	354	148	152	103	572	428	681	213	251	273	184	329	114	587	268	199	181	88	291	315	110	282	517									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13239	1106	1530	1021	843	1541	383	356	148	152	111	592	443	717	218	261	279	189	337	118	594	274	209	185	92	294	319	118	285	524									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11082	912	1297	729	694	1297	335	294	134	137	81	549	385	617	201	227	215	152	242	101	510	256	174	151	88	284	285	109	214	412									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1088	99	53	170	25	28	21	52	8	11	19	23	43	64	5	17	50	24	80	12	56	5	25	30	0	0	18	0	63	87									
6	Число погашенных избирательных бюллетеней	1069	95	180	122	124	216	27	10	6	4	11	20	15	36	12	17	14	13	15	5	28	13	10	4	4	10	16	9	8	25									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1088	99	53	170	25	28	21	52	8	11	19	23	43	64	5	17	50	24	80	12	56	5	25	30	0	0	18	0	63	87									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11082	912	1297	729	694	1297	335	294	134	137	81	549	385	617	201	227	215	152	242	101	510	256	174	151	88	284	285	109	214	412									
9	Число недействительных избирательных бюллетеней	7	0	0	0	1	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	12163	1011	1350	899	718	1325	356	346	142	148	100	570	428	677	206	244	265	176	322	113	566	261	199	181	88	284	303	109	277	499									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	225	20	26	20	14	23	6	5	2	2	2	8	7	13	3	4	5	3	5	4	9	10	2	4	2	5	6	2	5	8									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	106	19	14	6	12	11	6	1	0	0	2	3	3	7	0	2	1	2	0	3	2	6	0	1	0	0	3	1	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	61	6	4	2	1	6	2	6	1	1	0	3	4	3	0	1	2	1	1	0	4	5	0	1	1	1	1	0	4	0									
14	Число погашенных неиспользованных открепительных удостоверений	119	1	12	14	2	12	0	4	2	2	0	5	4	6	3	2	4	1	5	1	7	4	2	3	2	5	3	1	4	8									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	48	7	8	2	4	10	1	0	0	0	0	1	0	2	0	2	0	1	0	0	3	0	1	0	0	1	1	2	0	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	17	2	3	1	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.14%	0.20%	0.22%	0.11%	0.83%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	86	5	17	4	23	20	0	0	0	0	0	0	5	0	0	0	0	2	4	0	6	0	0	0	0	0	0	0	0	0									
		0.71%	0.49%	1.26%	0.44%	3.20%	1.51%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.17%	0.00%	0.00%	0.00%	0.00%	1.14%	1.24%	0.00%	1.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	31	8	5	0	3	6	0	2	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2									
		0.25%	0.79%	0.37%	0.00%	0.42%	0.45%	0.00%	0.58%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	11072	873	1124	818	584	1073	345	336	136	143	97	555	419	635	198	237	253	172	314	111	532	249	190	179	85	276	286	106	272	474									
		90.98%	86.35%	83.26%	90.99%	81.22%	80.98%	96.91%	97.11%	95.77%	96.62%	97.00%	97.03%	97.90%	93.25%	96.12%	97.13%	95.47%	97.73%	97.52%	98.23%	93.99%	95.40%	95.48%	98.90%	96.59%	97.18%	94.39%	97.25%	98.19%	94.99%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	10	1	3	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.08%	0.10%	0.22%	0.00%	0.28%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	5	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.04%	0.00%	0.15%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
