Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																															
Дата голосования: 07.12.2003 0:00:00																																															
																																															
Наименование Избирательной комиссии:    Саратовская																																															
																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																															
																																															
		Сумма	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658					
1	"Число избирателей, внесенных в списки"	34366	760	101	1257	575	1362	259	1489	1214	1537	669	139	606	1056	879	163	137	973	306	760	552	325	160	884	239	2446	2826	1510	665	147	1095	1508	198	3010	497	1513	217	393	1251	335	353					
2	"Число бюллетеней, полученных участковыми комиссиями"	34000	747	99	1240	570	1380	273	1490	1195	1527	640	140	590	1030	865	165	133	940	290	765	545	321	160	885	233	2435	2770	1432	650	143	1088	1509	201	2980	496	1500	219	398	1245	362	349					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	25637	374	81	695	430	782	197	1378	765	1258	458	59	408	985	777	114	121	729	203	635	383	253	96	728	179	1801	2239	988	641	143	884	1202	123	2231	352	1212	135	311	734	299	254					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1799	139	2	55	23	38	10	14	176	51	68	67	67	25	36	36	7	55	22	96	32	7	34	61	9	9	20	174	4	0	23	35	23	61	21	18	35	4	146	36	60					
6	Число погашенных бюллетеней	6563	234	16	490	117	560	66	98	254	218	114	14	115	20	52	15	5	156	65	34	130	61	30	96	45	625	511	270	5	0	181	272	55	688	123	270	49	83	365	26	35					
7	Число бюллетеней в переносных ящиках для голосования	1799	139	2	55	23	38	10	14	176	51	68	67	67	25	36	36	7	55	22	96	32	7	34	61	9	9	20	174	4	0	23	35	23	61	21	18	35	4	146	36	60					
8	Число бюллетеней в стационарных ящиках для голосования	25624	374	81	695	430	782	197	1378	765	1258	458	59	408	975	777	113	121	729	203	635	383	253	96	728	179	1801	2239	988	641	142	884	1202	123	2231	352	1212	135	311	733	299	254					
9	Число недействительных бюллетеней	155	10	0	20	0	5	3	0	5	0	0	0	9	13	4	1	0	30	3	12	0	0	0	0	1	1	19	1	0	0	0	0	0	0	0	12	1	1	3	0	1					
10	Число действительных бюллетеней	27268	503	83	730	453	815	204	1392	936	1309	526	126	466	987	809	148	128	754	222	719	415	260	130	789	187	1809	2240	1161	645	142	907	1237	146	2292	373	1218	169	314	876	335	313					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	364	5	5	8	5	15	5	7	5	15	5	5	8	4	10	5	5	5	5	23	5	5	5	8	5	20	28	23	5	5	10	10	5	30	5	15	5	5	15	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	257	4	0	5	1	15	5	7	5	7	1	0	8	2	3	1	0	5	0	18	3	2	0	7	2	20	28	23	3	4	5	10	1	30	3	11	0	1	13	2	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	196	3	2	8	0	1	2	0	13	3	8	1	6	4	12	3	4	2	0	7	2	3	1	3	3	4	9	3	3	12	3	2	5	4	2	0	1	0	5	51	1					
14	Число погашенных открепительных удостоверений	107	1	5	3	4	0	0	0	0	8	4	5	0	2	7	4	5	0	5	5	2	3	5	1	3	0	0	0	2	1	5	0	4	0	2	4	5	4	2	3	3					
15	Число открепительных удостоверений выданных ТИК	28	1	1	1	0	3	0	0	1	2	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	5	4	0	0	0	1	0	0	2	0	0	1	0	2	0	0					
16	Число утраченных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																															
18	"1. ""ЕДИНЕНИЕ"""	134	1	2	14	9	5	0	11	5	5	5	0	4	4	6	5	0	0	0	2	0	0	0	5	0	0	14	3	3	0	0	5	0	1	5	13	0	0	6	0	1					
		0.48%	0.19%	2.40%	1.86%	1.98%	0.60%	0.0%	0.79%	0.53%	0.38%	0.95%	0.0%	0.84%	0.4%	0.73%	3.35%	0.0%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	0.63%	0.0%	0.0%	0.61%	0.25%	0.46%	0.0%	0.0%	0.40%	0.0%	0.04%	1.34%	1.05%	0.0%	0.0%	0.68%	0.0%	0.31%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	653	4	0	6	2	12	0	37	16	5	1	0	5	24	10	0	1	8	1	1	19	1	4	11	5	15	30	3	5	2	154	157	0	50	4	12	3	16	18	5	6					
