Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																	
Дата голосования: 18.09.2016																																																	
																																																	
Наименование Избирательной комиссии:    Шадринская городская																																																	
																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																	
																																																	
		Сумма	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №183	УИК №1163	УИК №1164	УИК №1165	УИК №1166									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	57090	1131	721	448	1182	2635	2607	1564	810	1477	1012	836	1747	1350	1131	1075	1312	2136	2338	1343	2152	2138	2171	2135	2126	2079	983	1341	1172	1217	2072	2152	1091	1323	1375	2572	1087	859	190									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	49000	1000	600	500	1000	2000	2000	1200	800	1200	1000	800	1400	1000	1000	1000	1000	2000	2200	1200	1700	1800	1800	1800	1800	2000	900	1000	1000	1000	2000	2000	1000	1200	1300	2000	1000	600	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	20214	424	240	191	308	1000	1012	532	222	444	367	258	480	381	332	309	354	706	657	497	698	930	662	739	945	846	423	522	516	381	871	880	463	409	559	865	419	216	156									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1847	26	104	242	10	31	53	47	44	32	30	31	18	40	12	59	122	69	22	11	14	84	170	47	34	47	13	19	29	177	25	36	12	20	16	72	8	21	0									
6	Число погашенных избирательных бюллетеней	26939	550	256	67	682	969	935	621	534	724	603	511	902	579	656	632	524	1225	1521	692	988	786	968	1014	821	1107	464	459	455	442	1104	1084	525	771	725	1063	573	363	44									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1846	26	104	242	10	31	53	47	44	32	30	31	18	40	12	59	122	69	22	11	14	84	170	46	34	47	13	19	29	177	25	36	12	20	16	72	8	21	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	20204	424	240	191	308	1000	1011	532	222	444	367	258	480	381	332	309	354	706	657	497	697	928	658	739	943	846	423	522	516	381	871	880	463	409	559	865	419	216	156									
9	Число недействительных избирательных бюллетеней	350	6	2	12	9	13	18	8	5	10	10	6	10	11	3	7	8	17	13	5	7	17	12	8	13	17	4	7	4	18	8	15	7	6	11	17	2	4	0									
10	Число действительных избирательных бюллетеней	21700	444	342	421	309	1018	1046	571	261	466	387	283	488	410	341	361	468	758	666	503	704	995	816	777	964	876	432	534	541	540	888	901	468	423	564	920	425	233	156									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1200	30	20	20	30	50	50	30	20	30	30	20	30	30	30	30	30	40	40	30	40	40	40	40	40	40	20	30	30	30	40	40	30	30	30	40	30	20	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	563	13	4	0	10	22	36	9	4	12	3	9	16	16	5	14	8	28	20	9	19	19	15	31	16	33	8	12	17	6	31	39	13	13	6	25	8	14	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	621	18	13	45	11	33	20	7	14	13	5	9	14	10	12	13	15	18	15	15	19	28	15	22	25	8	9	18	18	19	15	27	12	17	13	21	17	12	6									
14	Число погашенных неиспользованных открепительных удостоверений	637	17	16	20	20	28	14	21	16	18	27	11	14	14	25	16	22	12	20	21	21	21	25	9	24	7	12	18	13	24	9	1	17	17	24	15	22	6	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	83	4	1	0	2	3	3	0	1	0	0	2	2	3	1	0	0	5	4	2	2	3	1	1	2	5	3	4	1	4	3	6	2	0	4	1	5	3	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	352	5	3	8	6	15	12	11	1	8	5	4	6	5	1	7	10	14	14	4	6	9	26	10	17	10	13	11	10	13	15	12	9	8	20	15	4	4	1									
