Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																										
Дата голосования: 02.12.2007																																																										
																																																										
Наименование Избирательной комиссии:    Нижнеомская																																																										
																																																										
Сводная таблица результатов выборов																																																										
																																																										
		Сумма	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215					
1	"Число избирателей, внесенных в списки избирателей"	13713	934	928	1042	450	922	106	94	197	124	597	128	476	117	90	392	66	102	101	146	68	776	69	70	81	424	118	113	54	152	474	128	191	675	141	126	95	186	197	76	34	466	94	68	128	132	79	729	490	71	77	119					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	13401	755	780	870	440	660	116	103	204	132	681	131	536	125	94	442	72	112	111	165	73	839	69	71	85	450	125	117	54	157	480	125	206	680	143	139	103	195	200	79	36	437	91	80	148	138	100	683	500	71	76	122					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	10378	560	594	597	309	565	91	89	148	94	497	110	372	94	75	323	63	84	93	127	68	658	57	60	71	333	89	113	51	131	341	111	172	544	112	95	85	150	169	61	33	361	80	53	106	102	71	504	456	71	70	115					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	743	82	41	24	22	57	0	0	10	16	47	5	32	9	2	42	0	11	0	0	0	32	5	0	0	33	4	0	0	2	40	0	10	22	3	13	0	12	8	0	0	49	9	10	4	11	0	50	25	0	0	1					
6	Число погашенных избирательных бюллетеней	2280	113	145	249	109	38	25	14	46	22	137	16	132	22	17	77	9	17	18	38	5	149	7	11	14	84	32	4	3	24	99	14	24	114	28	31	18	33	23	18	3	27	2	17	38	25	29	129	19	0	6	6					
7	Число избирательных бюллетеней в переносных ящиках для голосования	743	82	41	24	22	57	0	0	10	16	47	5	32	9	2	42	0	11	0	0	0	32	5	0	0	33	4	0	0	2	40	0	10	22	3	13	0	12	8	0	0	49	9	10	4	11	0	50	25	0	0	1					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10376	560	594	597	309	565	91	89	148	94	497	110	372	94	75	323	63	84	93	127	68	658	57	60	71	333	89	113	51	131	341	111	172	544	112	95	85	150	169	61	33	361	80	53	106	102	71	502	456	71	70	115					
9	Число недействительных избирательных бюллетеней	112	9	9	7	3	5	1	0	1	0	2	0	5	1	0	8	0	0	1	2	0	3	0	0	0	3	0	1	0	1	0	2	1	13	2	0	0	1	0	2	0	7	1	0	0	0	0	11	10	0	0	0					
10	Число действительных избирательных бюллетеней	11007	633	626	614	328	617	90	89	157	110	542	115	399	102	77	357	63	95	92	125	68	687	62	60	71	363	93	112	51	132	381	109	181	553	113	108	85	161	177	59	33	403	88	63	110	113	71	541	471	71	70	116					
