Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																									
Дата голосования: 04.12.2011																																																									
																																																									
Наименование Избирательной комиссии:    Нижнеомская																																																									
																																																									
Сводная таблица результатов выборов																																																									
																																																									
		Сумма	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191					
1	"Число избирателей, внесенных в список избирателей"	13635	923	989	1039	475	941	115	86	191	128	684	136	493	111	81	414	65	114	97	150	62	805	51	70	82	494	113	102	32	143	472	130	179	680	138	117	81	192	199	82	511	62	35	105	93	61	628	433	63	69	119					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13115	830	980	850	450	850	110	98	200	135	639	129	500	115	77	457	72	120	101	149	64	870	58	75	66	391	96	116	38	151	491	136	191	675	138	122	87	169	162	73	420	69	43	108	99	60	630	407	66	73	109					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	8372	521	550	538	275	510	56	72	129	57	429	63	349	94	61	247	37	67	71	81	61	485	41	42	47	255	89	84	25	95	284	94	143	436	96	81	58	121	117	59	264	55	22	81	53	50	412	286	63	63	103					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	821	83	31	40	16	55	1	0	8	18	41	15	40	9	6	40	5	13	6	12	0	40	6	0	3	28	3	0	0	8	25	0	11	31	4	14	6	18	16	0	50	6	7	9	12	0	50	28	0	2	5					
6	Число погашенных избирательных бюллетеней	3922	226	399	272	159	285	53	26	63	60	169	51	111	12	10	170	30	40	24	56	3	345	11	33	16	108	4	32	13	48	182	42	37	208	38	27	23	30	29	14	106	8	14	18	34	10	168	93	3	8	1					
7	Число избирательных бюллетеней в переносных ящиках для голосования	821	83	31	40	16	55	1	0	8	18	41	15	40	9	6	40	5	13	6	12	0	40	6	0	3	28	3	0	0	8	25	0	11	31	4	14	6	18	16	0	50	6	7	9	12	0	50	28	0	2	5					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8372	521	550	538	275	510	56	72	129	57	429	63	349	94	61	247	37	67	71	81	61	485	41	42	47	255	89	84	25	95	284	94	143	436	96	81	58	121	117	59	264	55	22	81	53	50	412	286	63	63	103					
9	Число недействительных избирательных бюллетеней	134	10	13	12	3	8	1	1	0	2	10	0	3	0	0	4	2	0	2	3	0	11	0	0	0	5	0	2	0	1	4	0	2	11	0	1	0	0	2	3	9	0	1	2	0	0	2	3	0	0	1					
10	Число действительных избирательных бюллетеней	9059	594	568	566	288	557	56	71	137	73	460	78	386	103	67	283	40	80	75	90	61	514	47	42	50	278	92	82	25	102	305	94	152	456	100	94	64	139	131	56	305	61	28	88	65	50	460	311	63	65	107					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	555	36	12	25	38	22	0	9	5	5	22	3	33	5	3	42	5	5	10	5	0	38	8	2	0	20	15	12	0	5	18	1	5	20	8	5	5	5	5	3	15	5	5	8	5	2	20	20	5	5	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	532	36	11	25	38	21	0	9	5	5	22	3	33	5	3	42	5	3	10	5	0	38	8	2	0	20	15	12	0	5	17	1	5	20	8	5	5	5	5	0	15	4	5	8	4	0	20	18	2	2	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	128	19	7	5	3	6	3	3	2	3	3	0	3	1	1	3	1	1	2	4	1	6	1	0	1	4	3	2	1	2	3	0	1	1	1	1	1	0	0	1	2	1	1	3	1	4	7	4	1	0	4					
14	Число погашенных неиспользованных открепительных удостоверений	23	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	1	0	0	1	2	0	2	3	3	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	44	4	6	8	4	2	1	0	0	0	1	1	3	0	1	0	0	0	0	1	0	2	0	0	1	0	0	0	2	0	3	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																									
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1100	75	115	76	47	79	3	8	13	6	51	6	42	7	5	30	2	6	1	8	3	60	3	7	3	43	16	6	2	12	56	7	22	48	12	2	2	11	14	1	37	7	2	18	11	11	72	24	1	3	4					
		11.97%	12.42%	19.79%	13.15%	16.15%	13.98%	5.26%	11.11%	9.49%	8.00%	10.85%	7.69%	10.80%	6.80%	7.46%	10.45%	4.76%	7.50%	1.30%	8.60%	4.92%	11.43%	6.38%	16.67%	6.00%	15.19%	17.39%	7.14%	8.00%	11.65%	18.12%	7.45%	14.29%	10.28%	12.00%	2.11%	3.13%	7.91%	10.53%	1.69%	11.78%	11.48%	6.90%	20.00%	16.92%	22.00%	15.58%	7.64%	1.59%	4.62%	3.70%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1317	82	72	110	57	79	13	16	20	8	30	8	58	16	9	31	7	16	5	19	4	67	9	10	3	29	16	12	1	9	49	10	27	61	18	13	11	28	15	12	46	14	2	26	7	7	96	35	5	9	10					
		14.33%	13.58%	12.39%	19.03%	19.59%	13.98%	22.81%	22.22%	14.60%	10.67%	6.38%	10.26%	14.91%	15.53%	13.43%	10.80%	16.67%	20.00%	6.49%	20.43%	6.56%	12.76%	19.15%	23.81%	6.00%	10.25%	17.39%	14.29%	4.00%	8.74%	15.86%	10.64%	17.53%	13.06%	18.00%	13.68%	17.19%	20.14%	11.28%	20.34%	14.65%	22.95%	6.90%	28.89%	10.77%	14.00%	20.78%	11.15%	7.94%	13.85%	9.26%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	87	5	5	7	5	1	0	2	0	0	6	0	1	0	0	4	0	2	0	1	0	8	0	0	1	4	1	1	1	5	2	3	0	4	2	0	0	0	2	0	6	0	0	0	0	1	4	1	0	0	2					
		0.95%	0.83%	0.86%	1.21%	1.72%	0.18%	0.00%	2.78%	0.00%	0.00%	1.28%	0.00%	0.26%	0.00%	0.00%	1.39%	0.00%	2.50%	0.00%	1.08%	0.00%	1.52%	0.00%	0.00%	2.00%	1.41%	1.09%	1.19%	4.00%	4.85%	0.65%	3.19%	0.00%	0.86%	2.00%	0.00%	0.00%	0.00%	1.50%	0.00%	1.91%	0.00%	0.00%	0.00%	0.00%	2.00%	0.87%	0.32%	0.00%	0.00%	1.85%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	2035	168	129	124	64	158	8	10	32	27	118	10	83	6	17	93	6	7	34	16	23	64	10	7	1	102	20	15	3	27	51	16	28	114	33	45	17	13	33	13	51	4	5	6	11	5	94	68	10	5	31					
		22.14%	27.81%	22.20%	21.45%	21.99%	27.96%	14.04%	13.89%	23.36%	36.00%	25.11%	12.82%	21.34%	5.83%	25.37%	32.40%	14.29%	8.75%	44.16%	17.20%	37.70%	12.19%	21.28%	16.67%	2.00%	36.04%	21.74%	17.86%	12.00%	26.21%	16.50%	17.02%	18.18%	24.41%	33.00%	47.37%	26.56%	9.35%	24.81%	22.03%	16.24%	6.56%	17.24%	6.67%	16.92%	10.00%	20.35%	21.66%	15.87%	7.69%	28.70%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	111	15	11	13	4	9	0	1	2	1	3	0	6	0	1	3	0	0	0	0	0	11	0	0	0	4	0	0	0	0	3	0	1	0	2	0	0	0	0	0	2	0	0	1	1	1	8	6	0	0	2					
		1.21%	2.48%	1.89%	2.25%	1.37%	1.59%	0.00%	1.39%	1.46%	1.33%	0.64%	0.00%	1.54%	0.00%	1.49%	1.05%	0.00%	0.00%	0.00%	0.00%	0.00%	2.10%	0.00%	0.00%	0.00%	1.41%	0.00%	0.00%	0.00%	0.00%	0.97%	0.00%	0.65%	0.00%	2.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.64%	0.00%	0.00%	1.11%	1.54%	2.00%	1.73%	1.91%	0.00%	0.00%	1.85%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4363	249	231	234	110	227	32	34	70	31	250	54	193	72	34	121	25	49	34	45	31	302	25	18	42	96	38	48	18	49	143	57	73	226	33	33	33	87	67	28	161	36	19	37	35	25	184	172	46	48	58					
		47.46%	41.23%	39.76%	40.48%	37.80%	40.18%	56.14%	47.22%	51.09%	41.33%	53.19%	69.23%	49.61%	69.90%	50.75%	42.16%	59.52%	61.25%	44.16%	48.39%	50.82%	57.52%	53.19%	42.86%	84.00%	33.92%	41.30%	57.14%	72.00%	47.57%	46.28%	60.64%	47.40%	48.39%	33.00%	34.74%	51.56%	62.59%	50.38%	47.46%	51.27%	59.02%	65.52%	41.11%	53.85%	50.00%	39.83%	54.78%	73.02%	73.85%	53.70%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	46	0	5	2	1	4	0	0	0	0	2	0	3	2	1	1	0	0	1	1	0	2	0	0	0	0	1	0	0	0	1	1	1	3	0	1	1	0	0	2	2	0	0	0	0	0	2	5	1	0	0					
		0.50%	0.00%	0.86%	0.35%	0.34%	0.71%	0.00%	0.00%	0.00%	0.00%	0.43%	0.00%	0.77%	1.94%	1.49%	0.35%	0.00%	0.00%	1.30%	1.08%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	1.09%	0.00%	0.00%	0.00%	0.32%	1.06%	0.65%	0.64%	0.00%	1.05%	1.56%	0.00%	0.00%	3.39%	0.64%	0.00%	0.00%	0.00%	0.00%	0.00%	0.43%	1.59%	1.59%	0.00%	0.00%					
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
