Выборы Президента Российской Федерации																																										
																																										
Наименование Избирательной комиссии:    Осташковская																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814					
1	"Число избирателей, внесенных в список"	23040	2526	1469	1400	770	1301	2181	2488	2067	2205	763	501	306	290	415	470	143	388	88	263	104	186	243	126	261	280	197	106	117	328	181	255	323	135	93	71					
2	Число полученных избирательных бюллетеней	23029	2565	1470	1415	760	1205	2225	2520	2080	2235	770	500	300	290	400	470	132	390	90	265	97	180	245	116	250	290	190	103	113	320	190	243	320	130	85	75					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10840	1276	639	616	347	674	1132	1191	941	1020	330	331	152	132	201	203	19	201	43	105	42	44	124	30	103	157	76	32	28	181	70	122	142	33	32	71					
5	"Число избирательных бюллетеней, выданных вне помещения"	1957	37	42	27	33	13	20	35	53	14	24	77	35	83	97	132	76	71	40	83	42	94	28	70	90	44	65	47	58	85	76	78	68	78	42	0					
6	Число погашенных избирательных бюллетеней	10232	1252	789	772	380	518	1073	1294	1086	1201	416	92	113	75	102	135	37	118	7	77	13	42	93	16	57	89	49	24	27	54	44	43	110	19	11	4					
7	Число избирательных бюллетеней в переносных ящиках	1957	37	42	27	33	13	20	35	53	14	24	77	35	83	97	132	76	71	40	83	42	94	28	70	90	44	65	47	58	85	76	78	68	78	42	0					
8	Число бюллетеней в стационарных ящиках для голосования	10839	1276	639	616	347	674	1132	1191	941	1019	330	331	152	132	201	203	19	201	43	105	42	44	124	30	103	157	76	32	28	181	70	122	142	33	32	71					
9	Число недействительных избирательных бюллетеней	53	11	4	2	0	1	5	4	8	5	0	1	2	0	0	1	0	2	1	2	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	12743	1302	677	641	380	686	1147	1222	986	1028	354	407	185	215	298	334	95	270	82	186	84	138	152	99	193	201	141	77	86	265	146	200	210	111	74	71					
11	Число полученных открепительных  удостоверений	429	35	20	15	15	20	45	35	25	35	10	12	5	10	7	10	5	12	5	14	5	5	7	5	12	7	7	5	5	7	5	5	5	5	9	0					
12	Число выданных открепительных удостоверений	239	22	15	11	5	11	30	26	16	16	1	7	2	6	5	10	4	12	1	6	1	1	4	0	8	7	1	2	0	2	0	2	4	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	224	4	4	10	2	7	7	9	6	7	1	5	0	2	1	5	15	5	7	1	7	3	2	4	5	1	3	6	4	2	1	3	7	2	5	71					
14	Число неиспользованных открепительных удостоверений	190	13	5	4	10	9	15	9	9	19	9	5	3	4	2	0	1	0	4	8	4	4	3	5	4	0	6	3	5	5	5	3	1	4	9	0					
15	"Число открепительных удостоверений, выданных в ТИК"	25	1	0	4	0	0	5	3	1	2	0	1	0	1	0	0	0	2	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																										
18	. Глазьев Сергей Юрьевич	426	49	17	21	6	26	42	57	45	42	12	8	5	2	12	11	1	8	3	5	3	6	6	0	8	1	2	3	0	5	3	5	5	2	4	1					
		3.33%	3.73%	2.50%	3.27%	1.58%	3.78%	3.65%	4.65%	4.53%	4.07%	3.39%	1.96%	2.67%	0.93%	4.03%	3.28%	1.05%	2.94%	3.61%	2.66%	3.57%	4.35%	3.95%	0.00%	4.15%	0.50%	1.42%	3.80%	0.00%	1.88%	2.05%	2.50%	2.38%	1.80%	5.41%	1.41%					
19	. Малышкин Олег Александрович	260	24	16	12	9	10	13	24	22	31	8	9	1	5	14	9	4	7	1	3	4	2	6	1	3	3	1	0	3	2	2	4	3	2	2	0					
		2.03%	1.83%	2.35%	1.87%	2.37%	1.46%	1.13%	1.96%	2.21%	3.00%	2.26%	2.21%	0.53%	2.33%	4.70%	2.69%	4.21%	2.57%	1.20%	1.60%	4.76%	1.45%	3.95%	1.00%	1.55%	1.49%	0.71%	0.00%	3.49%	0.75%	1.37%	2.00%	1.43%	1.80%	2.70%	0.00%					
20	. Миронов Сергей Михайлович	122	22	9	8	3	6	8	11	13	11	3	2	0	1	0	2	0	3	0	1	0	2	4	1	2	2	0	0	2	4	0	0	0	0	1	1					
		0.95%	1.68%	1.32%	1.24%	0.79%	0.87%	0.69%	0.90%	1.31%	1.06%	0.85%	0.49%	0.00%	0.47%	0.00%	0.60%	0.00%	1.10%	0.00%	0.53%	0.00%	1.45%	2.63%	1.00%	1.04%	1.00%	0.00%	0.00%	2.33%	1.50%	0.00%	0.00%	0.00%	0.00%	1.35%	1.41%					
21	. Путин Владимир Владимирович	8962	897	498	462	291	490	784	804	649	666	259	314	139	179	193	216	71	171	65	153	67	69	111	72	138	114	116	58	65	215	109	147	176	89	56	59					
		70.04%	68.32%	73.13%	71.85%	76.58%	71.32%	68.06%	65.58%	65.29%	64.47%	73.16%	76.96%	74.33%	83.26%	64.77%	64.48%	74.74%	62.87%	78.31%	81.38%	79.76%	50.00%	73.03%	72.00%	71.50%	56.72%	82.27%	73.42%	75.58%	80.83%	74.66%	73.50%	83.81%	80.18%	75.68%	83.10%					
22	. Хакамада Ирина Муцуовна	440	35	27	26	11	33	47	49	34	53	15	7	7	2	10	13	7	7	0	5	0	2	8	3	2	7	5	2	1	6	3	0	6	0	6	1					
		3.44%	2.67%	3.96%	4.04%	2.89%	4.80%	4.08%	4.00%	3.42%	5.13%	4.24%	1.72%	3.74%	0.93%	3.36%	3.88%	7.37%	2.57%	0.00%	2.66%	0.00%	1.45%	5.26%	3.00%	1.04%	3.48%	3.55%	2.53%	1.16%	2.26%	2.05%	0.00%	2.86%	0.00%	8.11%	1.41%					
23	. Харитонов Николай Михайлович	2099	241	83	83	50	98	208	229	173	171	47	58	29	25	57	70	8	63	12	19	9	52	16	21	31	67	13	13	13	30	25	42	14	17	5	7					
		16.40%	18.35%	12.19%	12.91%	13.16%	14.26%	18.06%	18.68%	17.40%	16.55%	13.28%	14.22%	15.51%	11.63%	19.13%	20.90%	8.42%	23.16%	14.46%	10.11%	10.71%	37.68%	10.53%	21.00%	16.06%	33.33%	9.22%	16.46%	15.12%	11.28%	17.12%	21.00%	6.67%	15.32%	6.76%	9.86%					
																																										
24	Против всех	434	34	27	29	10	23	45	48	50	54	10	9	4	1	12	13	4	11	1	0	1	5	1	1	9	7	4	1	2	3	4	2	6	1	0	2					
		3.39%	2.59%	3.96%	4.51%	2.63%	3.35%	3.91%	3.92%	5.03%	5.23%	2.82%	2.21%	2.14%	0.47%	4.03%	3.88%	4.21%	4.04%	1.20%	0.00%	1.19%	3.62%	0.66%	1.00%	4.66%	3.48%	2.84%	1.27%	2.33%	1.13%	2.74%	1.00%	2.86%	0.90%	0.00%	2.82%					
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
