Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Шарьинская																											
																											
Итоги голосования 																											
																											
		Сумма	УИК  642	УИК  643	УИК  644	УИК  645	УИК  646	УИК  647	УИК  648	УИК  649	УИК  650	УИК  651	УИК  652	УИК  653	УИК  654	УИК  655	УИК  656	УИК  657	УИК  658	УИК  659	УИК  660	УИК  661					
1	"Число избирателей, внесенных в список"	9860	684	1015	289	243	132	51	80	1285	544	338	159	236	301	388	161	177	259	344	1889	1285					
2	Число полученных избирательных бюллетеней	9079	601	920	258	228	134	56	92	1175	495	312	161	232	266	341	169	192	233	311	1732	1171					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4965	307	408	173	139	81	45	59	580	256	177	96	185	173	183	77	107	148	194	988	589					
5	"Число избирательных бюллетеней, выданных вне помещения"	1015	42	88	58	41	21	1	8	126	78	65	22	15	39	97	34	36	38	49	54	103					
6	Число погашенных избирательных бюллетеней	3099	252	424	27	48	32	10	25	469	161	70	43	32	54	61	58	49	47	68	690	479					
7	Число избирательных бюллетеней в переносных ящиках	1015	42	88	58	41	21	1	8	126	78	65	22	15	39	97	34	36	38	49	54	103					
8	Число бюллетеней в стационарных ящиках для голосования	4965	307	408	173	139	81	45	59	580	256	177	96	185	173	183	77	107	148	194	988	589					
9	Число недействительных избирательных бюллетеней	36	0	0	2	1	1	0	0	3	3	0	1	1	1	1	0	1	1	4	5	11					
10	Число действительных избирательных бюллетеней	5944	349	496	229	179	101	46	67	703	331	242	117	199	211	279	111	142	185	239	1037	681					
11	Число полученных открепительных  удостоверений	135	9	14	4	3	4	4	2	16	7	4	2	3	4	5	2	4	3	4	25	16					
12	Число выданных открепительных удостоверений	50	0	6	4	3	3	4	0	9	3	4	1	1	0	0	0	4	0	3	4	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	24	0	0	3	2	0	1	0	3	1	1	0	0	2	1	3	0	0	1	2	4					
14	Число неиспользованных открепительных удостоверений	85	9	8	0	0	1	0	2	7	4	0	1	2	4	5	2	0	3	1	21	15					
15	"Число открепительных удостоверений, выданных в ТИК"	7	2	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	117	10	10	7	0	1	1	0	26	1	1	4	2	3	7	1	8	4	3	17	11					
		1.96%	2.87%	2.02%	3.03%	0.00%	0.98%	2.17%	0.00%	3.68%	0.30%	0.41%	3.39%	1.00%	1.42%	2.50%	0.90%	5.59%	2.15%	1.23%	1.63%	1.59%					
19	. Малышкин Олег Александрович	128	2	8	9	5	1	3	2	8	15	2	1	8	6	9	4	3	6	1	19	16					
		2.14%	0.57%	1.61%	3.90%	2.78%	0.98%	6.52%	2.99%	1.13%	4.49%	0.83%	0.85%	4.00%	2.83%	3.21%	3.60%	2.10%	3.23%	0.41%	1.82%	2.31%					
20	. Миронов Сергей Михайлович	48	2	4	1	0	3	0	2	4	1	2	2	3	0	5	1	1	1	2	7	7					
		0.80%	0.57%	0.81%	0.43%	0.00%	2.94%	0.00%	2.99%	0.57%	0.30%	0.83%	1.69%	1.50%	0.00%	1.79%	0.90%	0.70%	0.54%	0.82%	0.67%	1.01%					
21	. Путин Владимир Владимирович	4397	235	401	183	106	81	41	49	486	214	171	80	148	143	179	70	92	149	175	864	530					
		73.53%	67.34%	80.85%	79.22%	58.89%	79.41%	89.13%	73.13%	68.84%	64.07%	70.66%	67.80%	74.00%	67.45%	63.93%	63.06%	64.34%	80.11%	72.02%	82.92%	76.59%					
22	. Хакамада Ирина Муцуовна	87	12	7	2	4	0	0	0	12	2	5	3	5	2	5	2	2	2	5	11	6					
		1.45%	3.44%	1.41%	0.87%	2.22%	0.00%	0.00%	0.00%	1.70%	0.60%	2.07%	2.54%	2.50%	0.94%	1.79%	1.80%	1.40%	1.08%	2.06%	1.06%	0.87%					
23	. Харитонов Николай Михайлович	1082	66	64	23	59	13	0	14	162	94	61	26	32	55	63	33	35	22	49	108	103					
		18.09%	18.91%	12.90%	9.96%	32.78%	12.75%	0.00%	20.90%	22.95%	28.14%	25.21%	22.03%	16.00%	25.94%	22.50%	29.73%	24.48%	11.83%	20.16%	10.36%	14.88%					
																											
24	Против всех	85	22	2	4	5	2	1	0	5	4	0	1	1	2	11	0	1	1	4	11	8					
		1.42%	6.30%	0.40%	1.73%	2.78%	1.96%	2.17%	0.00%	0.71%	1.20%	0.00%	0.85%	0.50%	0.94%	3.93%	0.00%	0.70%	0.54%	1.65%	1.06%	1.16%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
