Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																				
Дата голосования: 07.12.2003 0:00:00																																				
																																				
Наименование Избирательной комиссии:    Дергачевская																																				
																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																				
																																				
		Сумма	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253					
1	"Число избирателей, внесенных в списки"	20151	940	1038	1077	965	668	1027	666	1262	278	524	452	765	610	956	269	181	420	782	449	552	857	426	585	1068	904	121	567	662	1080					
2	"Число бюллетеней, полученных участковыми комиссиями"	20700	963	1057	1104	957	665	1046	670	1308	290	535	476	778	620	975	284	197	442	797	458	569	908	475	608	1103	918	138	580	678	1101					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	12527	476	588	507	462	325	545	346	621	180	451	335	693	500	558	204	142	297	601	318	486	708	303	398	330	548	89	412	555	549					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2135	62	70	99	43	100	52	54	131	55	41	37	20	51	128	7	0	66	0	70	0	15	59	108	421	163	11	39	46	187					
6	Число погашенных бюллетеней	6038	425	399	498	452	240	449	270	556	55	43	104	65	69	289	73	55	79	196	70	83	185	113	102	352	207	38	129	77	365					
7	Число бюллетеней в переносных ящиках для голосования	2135	62	70	99	43	100	52	54	131	55	41	37	20	51	128	7	0	66	0	70	0	15	59	108	421	163	11	39	46	187					
8	Число бюллетеней в стационарных ящиках для голосования	12520	476	588	503	462	325	545	346	620	180	451	335	693	500	558	204	141	297	601	318	486	708	303	398	330	548	89	412	555	548					
9	Число недействительных бюллетеней	252	20	9	24	11	6	12	2	5	11	1	1	6	0	30	0	3	0	0	8	3	19	7	9	11	5	3	23	2	21					
10	Число действительных бюллетеней	14403	518	649	578	494	419	585	398	746	224	491	371	707	551	656	211	138	363	601	380	483	704	355	497	740	706	97	428	599	714					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	248	10	12	12	10	10	12	10	12	5	8	6	8	8	10	4	4	6	9	6	8	10	6	8	12	10	4	8	8	12					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	99	7	6	10	4	2	6	7	5	3	0	2	1	2	2	0	0	2	0	6	3	0	0	2	9	4	2	5	5	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	55	5	4	2	1	2	0	0	1	1	0	1	2	4	3	3	0	2	2	3	2	4	0	2	2	1	4	4	0	0					
14	Число погашенных открепительных удостоверений	149	3	6	2	6	8	6	3	7	2	8	4	7	6	8	4	4	4	9	0	5	10	6	6	3	6	2	3	3	8					
15	Число открепительных удостоверений выданных ТИК	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																				
18	"1. ""ЕДИНЕНИЕ"""	279	13	8	13	9	7	11	11	6	8	7	6	11	15	18	1	0	3	12	14	15	23	10	15	17	7	2	5	1	11					
		1.90%	2.41%	1.21%	2.15%	1.78%	1.64%	1.84%	2.75%	0.79%	3.40%	1.42%	1.61%	1.54%	2.72%	2.62%	0.47%	0.0%	0.82%	1.99%	3.60%	3.08%	3.18%	2.76%	2.96%	2.26%	0.98%	2.0%	1.10%	0.16%	1.49%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	54	2	7	6	0	2	4	2	5	0	0	0	1	4	0	0	2	1	1	2	5	1	0	1	4	0	0	0	1	3					
