Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																									
Дата голосования: 18.09.2016																																									
																																									
Наименование Избирательной комиссии:    Первомайская																																									
																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																									
																																									
		Сумма	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14869	1084	279	266	132	864	845	68	50	748	112	221	142	338	209	1690	1515	1686	914	539	307	314	301	180	352	516	385	187	161	363	101									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14396	1100	270	260	130	860	850	69	47	730	110	220	140	340	200	1600	1450	1600	900	500	300	300	300	160	320	500	350	180	160	350	100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5400	416	87	144	91	262	261	38	13	257	45	104	67	129	96	684	457	599	251	240	87	89	137	63	156	195	144	62	49	149	28									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	382	5	5	7	5	12	24	12	3	19	4	4	0	22	14	12	24	0	46	17	14	24	20	8	20	22	13	6	5	15	0									
6	Число погашенных избирательных бюллетеней	8614	679	178	109	34	586	565	19	31	454	61	112	73	189	90	904	969	1001	603	243	199	187	143	89	144	283	193	112	106	186	72									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	382	5	5	7	5	12	24	12	3	19	4	4	0	22	14	12	24	0	46	17	14	24	20	8	20	22	13	6	5	15	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5399	416	87	144	91	262	260	38	13	257	45	104	67	129	96	684	457	599	251	240	87	89	137	63	156	195	144	62	49	149	28									
9	Число недействительных избирательных бюллетеней	118	10	2	5	0	12	6	2	1	3	0	1	0	4	3	17	11	11	5	5	0	0	0	1	3	6	4	0	0	4	2									
10	Число действительных избирательных бюллетеней	5663	411	90	146	96	262	278	48	15	273	49	107	67	147	107	679	470	588	292	252	101	113	157	70	173	211	153	68	54	160	26									
