Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																									
Дата голосования: 07.12.2003 0:00:00																																																																									
																																																																									
Наименование Избирательной комиссии:    Киселевская городская																																																																									
																																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																									
																																																																									
		Сумма	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431					
1	"Число избирателей, внесенных в списки"	83629	1059	1851	715	626	718	912	713	311	767	1230	1247	2008	2323	775	1854	1355	836	2399	1145	755	1013	1127	1667	1086	1677	2242	1867	1436	1170	1307	701	862	1986	805	1121	1166	1688	675	1646	1817	2190	2105	2761	1964	1913	2341	1247	370	875	1401	375	929	778	783	1345	602	1017	1307	879	1041	1196	1055	1047	1150	1250	1050					
2	"Число бюллетеней, полученных участковыми комиссиями"	84450	1000	1900	700	600	700	1000	800	400	800	1200	1300	2000	2300	800	1900	1400	900	2400	1200	700	1000	1100	1700	1100	1700	2300	2000	1400	1200	1300	700	900	2000	800	1000	1200	1700	800	1500	2000	2200	2000	2800	2000	2000	2500	1200	400	900	1500	400	900	700	900	1300	600	1000	1200	1000	1100	1200	1000	1000	1000	1200	1050					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	37609	523	815	345	270	334	409	227	120	252	606	608	839	1032	384	791	630	407	1075	485	270	452	504	777	683	712	1028	873	642	518	513	294	384	857	271	513	612	957	352	811	723	1048	989	1206	933	865	1152	581	204	407	694	167	440	218	294	437	289	428	593	360	352	490	407	484	522	625	526					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2832	12	49	57	53	25	60	44	11	74	22	28	47	11	28	25	64	25	50	47	41	63	21	38	13	42	55	41	30	30	45	42	34	37	68	82	42	51	15	28	59	22	19	28	23	33	65	47	22	36	28	22	16	158	70	44	20	25	94	71	80	70	142	28	22	9	29					
6	Число погашенных бюллетеней	44009	465	1036	298	277	341	531	529	269	474	572	664	1114	1257	388	1084	706	468	1275	668	389	485	575	885	404	946	1217	1086	728	652	742	364	482	1106	461	405	546	692	433	661	1218	1130	992	1566	1044	1102	1283	572	174	457	778	211	444	324	536	819	291	547	513	569	668	640	451	488	456	566	495					
7	Число бюллетеней в переносных ящиках для голосования	2832	12	49	57	53	25	60	44	11	74	22	28	47	11	28	25	64	25	50	47	41	63	21	38	13	42	55	41	30	30	45	42	34	37	68	82	42	51	15	28	59	22	19	28	23	33	65	47	22	36	28	22	16	158	70	44	20	25	94	71	80	70	142	28	22	9	29					
8	Число бюллетеней в стационарных ящиках для голосования	37601	523	815	345	270	334	408	227	120	252	606	608	839	1032	384	791	623	407	1075	485	270	452	504	777	683	712	1027	878	642	518	513	294	384	857	271	513	612	957	352	811	723	1048	989	1206	933	865	1152	581	204	407	694	167	440	218	294	437	289	428	593	360	352	489	404	484	522	625	526					
9	Число недействительных бюллетеней	434	7	17	0	8	3	4	4	0	2	4	4	5	9	0	7	14	10	20	5	4	3	7	0	5	12	9	11	15	14	10	3	4	31	3	4	4	24	4	4	5	13	5	11	4	9	3	5	6	13	0	4	8	0	1	7	1	5	0	0	4	8	5	8	7	7	1					
10	Число действительных бюллетеней	39999	528	847	402	315	356	464	267	131	324	624	632	881	1034	412	809	673	422	1105	527	307	512	518	815	691	742	1073	908	657	534	548	333	414	863	336	591	650	984	363	835	777	1057	1003	1223	952	889	1214	623	220	430	722	185	448	376	363	474	308	448	687	431	428	551	541	504	537	627	554					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	936	15	25	10	10	10	15	10	5	10	10	15	20	23	10	20	15	10	30	15	10	10	10	15	15	15	25	20	15	15	15	10	10	20	10	10	15	15	10	15	20	20	20	30	20	20	25	10	5	10	15	5	10	8	10	15	10	10	15	10	20	10	10	10	10	20	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	360	4	7	0	2	3	7	0	2	0	6	7	11	5	1	3	7	3	6	6	0	1	8	7	4	1	5	9	2	1	2	0	3	2	1	6	11	9	0	7	9	17	20	17	9	8	25	6	0	2	4	0	4	0	4	7	2	5	10	5	11	6	7	8	3	10	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	269	4	4	0	1	2	2	0	0	0	1	8	4	4	14	2	0	0	3	1	5	0	1	3	1	0	5	6	0	3	3	0	1	2	0	5	4	5	1	3	0	1	2	7	2	1	8	1	0	2	2	2	7	107	4	6	5	0	1	4	1	0	4	2	1	0	1					
14	Число погашенных открепительных удостоверений	576	11	18	10	8	7	8	10	3	10	4	8	9	18	9	17	8	7	24	9	10	9	2	8	11	14	20	11	13	14	13	10	7	18	9	4	4	6	10	8	11	3	0	13	11	12	0	4	5	8	11	5	6	8	6	8	8	5	5	5	9	4	3	2	7	10	8					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																									
18	"1. ""ЕДИНЕНИЕ"""	418	2	8	8	2	5	4	4	1	1	8	11	9	19	3	9	12	8	11	2	0	7	5	4	6	10	11	8	13	6	7	2	3	15	4	6	2	12	2	6	8	8	8	9	7	4	12	5	3	7	8	0	10	3	8	5	1	5	5	5	2	5	7	10	8	6	3					
		1.03%	0.37%	0.92%	1.99%	0.61%	1.39%	0.85%	1.47%	0.76%	0.30%	1.27%	1.72%	1.01%	1.82%	0.72%	1.10%	1.74%	1.85%	0.97%	0.37%	0.0%	1.35%	0.95%	0.49%	0.86%	1.32%	1.01%	0.87%	1.93%	1.09%	1.25%	0.59%	0.71%	1.67%	1.17%	1.00%	0.30%	1.19%	0.54%	0.71%	1.02%	0.74%	0.79%	0.72%	0.73%	0.44%	0.98%	0.79%	1.32%	1.58%	1.10%	0.0%	2.19%	0.79%	2.19%	1.03%	0.32%	1.10%	0.72%	1.16%	0.46%	0.89%	1.28%	1.95%	1.47%	0.94%	0.54%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	381	11	9	3	1	2	6	1	1	3	14	4	18	7	2	9	11	11	16	2	0	4	1	5	5	4	8	5	8	9	1	1	2	3	2	10	16	12	4	5	5	15	17	17	11	5	3	2	0	4	11	0	10	0	0	2	2	2	10	1	3	1	6	3	7	3	5					
		0.94%	2.05%	1.04%	0.74%	0.30%	0.55%	1.28%	0.36%	0.76%	0.92%	2.22%	0.62%	2.03%	0.67%	0.48%	1.10%	1.60%	2.54%	1.42%	0.37%	0.0%	0.77%	0.19%	0.61%	0.71%	0.53%	0.73%	0.54%	1.19%	1.64%	0.17%	0.29%	0.47%	0.33%	0.58%	1.68%	2.44%	1.19%	1.08%	0.59%	0.63%	1.40%	1.68%	1.37%	1.15%	0.55%	0.24%	0.31%	0.0%	0.90%	1.52%	0.0%	2.19%	0.0%	0.0%	0.41%	0.64%	0.44%	1.45%	0.23%	0.69%	0.17%	1.09%	0.58%	1.28%	0.47%	0.90%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	699	10	12	5	6	6	10	14	0	4	9	12	6	14	20	7	11	8	19	7	2	4	5	6	2	9	22	20	25	7	14	10	10	13	6	7	13	15	9	22	9	19	13	16	15	8	10	17	7	7	4	0	21	4	8	8	5	14	20	5	10	17	16	9	8	17	11					
		1.72%	1.86%	1.38%	1.24%	1.85%	1.67%	2.13%	5.16%	0.0%	1.22%	1.43%	1.88%	0.67%	1.34%	4.85%	0.85%	1.60%	1.85%	1.68%	1.31%	0.64%	0.77%	0.95%	0.73%	0.28%	1.19%	2.03%	2.17%	3.72%	1.27%	2.50%	2.97%	2.39%	1.45%	1.76%	1.17%	1.98%	1.48%	2.45%	2.62%	1.15%	1.77%	1.28%	1.29%	1.56%	0.89%	0.82%	2.70%	3.09%	1.58%	0.55%	0.0%	4.60%	1.06%	2.19%	1.66%	1.61%	3.09%	2.91%	1.16%	2.31%	3.04%	2.93%	1.75%	1.47%	2.68%	1.98%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1104	14	36	8	16	10	5	9	1	3	18	23	22	19	8	20	16	15	29	11	5	8	13	27	17	22	23	26	20	15	13	5	18	10	6	23	32	49	12	24	13	46	36	50	36	27	42	6	4	6	26	3	15	5	7	11	2	12	17	5	5	21	17	14	11	6	10					
		2.73%	2.61%	4.16%	1.99%	4.95%	2.78%	1.06%	3.32%	0.76%	0.92%	2.86%	3.61%	2.48%	1.82%	1.94%	2.45%	2.32%	3.47%	2.57%	2.06%	1.60%	1.55%	2.47%	3.31%	2.44%	2.91%	2.12%	2.82%	2.97%	2.73%	2.32%	1.48%	4.30%	1.11%	1.76%	3.86%	4.89%	4.86%	3.26%	2.86%	1.66%	4.29%	3.57%	4.05%	3.76%	3.00%	3.45%	0.95%	1.76%	1.35%	3.60%	1.58%	3.28%	1.32%	1.92%	2.28%	0.64%	2.64%	2.47%	1.16%	1.15%	3.75%	3.11%	2.73%	2.02%	0.94%	1.80%					
22	"5. ""За Русь Святую"""	127	3	2	2	0	0	1	0	0	0	2	1	2	4	0	1	4	2	6	2	0	1	0	3	3	1	5	7	3	4	0	2	2	3	0	3	0	5	2	1	5	4	2	3	4	4	5	3	0	0	2	1	2	1	0	1	0	1	3	0	1	2	2	0	1	1	2					
		0.31%	0.56%	0.23%	0.49%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.31%	0.15%	0.22%	0.38%	0.0%	0.12%	0.58%	0.46%	0.53%	0.37%	0.0%	0.19%	0.0%	0.36%	0.43%	0.13%	0.46%	0.76%	0.44%	0.72%	0.0%	0.59%	0.47%	0.33%	0.0%	0.50%	0.0%	0.49%	0.54%	0.11%	0.63%	0.37%	0.19%	0.24%	0.41%	0.44%	0.41%	0.47%	0.0%	0.0%	0.27%	0.52%	0.43%	0.26%	0.0%	0.20%	0.0%	0.22%	0.43%	0.0%	0.23%	0.35%	0.36%	0.0%	0.18%	0.15%	0.36%					
23	"6. ""Объединенная Российская партия ""Русь"""	78	1	0	2	1	0	0	1	1	0	1	0	4	0	0	2	1	0	4	0	1	1	0	1	2	0	2	1	0	1	1	2	0	5	1	0	1	3	0	0	3	3	0	7	1	1	1	0	1	2	1	0	2	1	0	0	1	0	4	1	2	1	1	0	0	2	3					
		0.19%	0.18%	0.0%	0.49%	0.30%	0.0%	0.0%	0.36%	0.76%	0.0%	0.15%	0.0%	0.45%	0.0%	0.0%	0.24%	0.14%	0.0%	0.35%	0.0%	0.32%	0.19%	0.0%	0.12%	0.28%	0.0%	0.18%	0.10%	0.0%	0.18%	0.17%	0.59%	0.0%	0.55%	0.29%	0.0%	0.15%	0.29%	0.0%	0.0%	0.38%	0.28%	0.0%	0.56%	0.10%	0.11%	0.08%	0.0%	0.44%	0.45%	0.13%	0.0%	0.43%	0.26%	0.0%	0.0%	0.32%	0.0%	0.58%	0.23%	0.46%	0.17%	0.18%	0.0%	0.0%	0.31%	0.54%					
24	"7. ""Новый курс - Автомобильная Россия"""	239	1	0	0	1	0	4	0	0	1	3	7	4	4	2	7	0	5	5	6	0	4	5	7	6	8	9	4	1	2	1	1	2	2	1	4	8	7	1	4	3	9	6	5	14	8	12	3	0	4	2	0	4	2	1	0	1	3	4	4	5	5	4	3	2	0	8					
		0.59%	0.18%	0.0%	0.0%	0.30%	0.0%	0.85%	0.0%	0.0%	0.30%	0.47%	1.10%	0.45%	0.38%	0.48%	0.85%	0.0%	1.15%	0.44%	1.12%	0.0%	0.77%	0.95%	0.85%	0.86%	1.06%	0.83%	0.43%	0.14%	0.36%	0.17%	0.29%	0.47%	0.22%	0.29%	0.67%	1.22%	0.69%	0.27%	0.47%	0.38%	0.84%	0.59%	0.40%	1.46%	0.89%	0.98%	0.47%	0.0%	0.90%	0.27%	0.0%	0.87%	0.53%	0.27%	0.0%	0.32%	0.66%	0.58%	0.92%	1.15%	0.89%	0.73%	0.58%	0.36%	0.0%	1.44%					
25	"8. ""Народно-республиканская партия России"""	39	0	0	0	0	0	1	0	0	0	1	0	0	2	2	1	0	3	0	0	0	0	0	3	1	0	0	0	0	0	1	1	0	1	0	0	1	1	1	0	2	0	0	0	0	3	1	1	0	1	1	0	3	0	0	1	0	1	0	0	1	3	1	0	0	0	0					
		0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.15%	0.0%	0.0%	0.19%	0.48%	0.12%	0.0%	0.69%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.17%	0.29%	0.0%	0.11%	0.0%	0.0%	0.15%	0.09%	0.27%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.33%	0.08%	0.15%	0.0%	0.22%	0.13%	0.0%	0.65%	0.0%	0.0%	0.20%	0.0%	0.22%	0.0%	0.0%	0.23%	0.53%	0.18%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	68	0	1	0	0	0	0	0	1	0	1	0	1	3	1	1	0	0	4	1	1	1	2	0	0	0	0	3	4	1	0	1	1	1	3	4	0	2	0	0	3	1	2	3	0	2	6	0	0	0	2	0	1	0	0	0	1	1	1	0	0	3	0	0	0	3	1					
		0.16%	0.0%	0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.76%	0.0%	0.15%	0.0%	0.11%	0.28%	0.24%	0.12%	0.0%	0.0%	0.35%	0.18%	0.32%	0.19%	0.38%	0.0%	0.0%	0.0%	0.0%	0.32%	0.59%	0.18%	0.0%	0.29%	0.23%	0.11%	0.88%	0.67%	0.0%	0.19%	0.0%	0.0%	0.38%	0.09%	0.19%	0.24%	0.0%	0.22%	0.49%	0.0%	0.0%	0.0%	0.27%	0.0%	0.21%	0.0%	0.0%	0.0%	0.32%	0.22%	0.14%	0.0%	0.0%	0.53%	0.0%	0.0%	0.0%	0.47%	0.18%					
27	"10. ""Аграрная партия России"""	501	8	9	3	3	4	1	2	0	1	8	8	11	14	5	5	1	7	14	10	4	4	5	5	6	3	16	9	8	3	13	4	2	17	7	12	7	15	5	9	11	8	19	8	12	7	13	5	1	3	12	4	17	7	4	11	2	6	11	11	5	9	16	3	9	12	7					
		1.23%	1.49%	1.04%	0.74%	0.92%	1.11%	0.21%	0.73%	0.0%	0.30%	1.27%	1.25%	1.24%	1.34%	1.21%	0.61%	0.14%	1.62%	1.24%	1.87%	1.28%	0.77%	0.95%	0.61%	0.86%	0.39%	1.47%	0.97%	1.19%	0.54%	2.32%	1.19%	0.47%	1.90%	2.06%	2.01%	1.07%	1.48%	1.36%	1.07%	1.40%	0.74%	1.88%	0.64%	1.25%	0.77%	1.06%	0.79%	0.44%	0.67%	1.66%	2.11%	3.72%	1.86%	1.09%	2.28%	0.64%	1.32%	1.60%	2.55%	1.15%	1.61%	2.93%	0.58%	1.65%	1.89%	1.26%					
28	"11. ""Истинные патриоты России"""	18	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	1	1	0	1	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0					
