Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																		
Дата голосования: 07.12.2003 0:00:00																																																																		
																																																																		
Наименование Избирательной комиссии:    Cемилукская																																																																		
																																																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																		
																																																																		
		Сумма	УИК №3501	УИК №3502	УИК №3503	УИК №3504	УИК №3505	УИК №3506	УИК №3507	УИК №3508	УИК №3509	УИК №3510	УИК №3511	УИК №3512	УИК №3513	УИК №3514	УИК №3515	УИК №3516	УИК №3517	УИК №3518	УИК №3519	УИК №3520	УИК №3521	УИК №3522	УИК №3523	УИК №3524	УИК №3525	УИК №3526	УИК №3527	УИК №3528	УИК №3529	УИК №3530	УИК №3531	УИК №3532	УИК №3533	УИК №3534	УИК №3535	УИК №3536	УИК №3537	УИК №3538	УИК №3539	УИК №3540	УИК №3541	УИК №3542	УИК №3543	УИК №3544	УИК №3545	УИК №3546	УИК №3547	УИК №3548	УИК №3549	УИК №3550	УИК №3551	УИК №3552	УИК №3553	УИК №3554	УИК №3555									
1	Число избирателей, внесенных в списки	53626	2754	1411	510	1533	2348	2789	2261	1963	2776	132	1000	511	414	714	450	242	1467	2139	1363	1422	491	146	377	1248	273	805	469	479	347	213	157	461	380	711	700	846	472	489	1875	1421	171	396	219	597	496	569	378	304	1988	2132	2010	326	431	1512	1538									
2	Число бюллетеней, полученных участковыми комиссиями	50000	2600	1300	450	1450	2200	2600	2100	1700	2450	200	850	500	400	680	440	240	1350	2000	1300	1300	500	150	360	1100	270	800	460	470	340	200	150	460	370	700	720	840	470	470	1760	1300	170	380	220	570	490	560	370	300	1900	1900	1800	320	420	1300	1300									
3	Число бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число бюллетеней, выданных избирателям на избирательном участке	22301	1080	607	198	605	1002	1409	1038	890	1415	132	508	172	187	301	161	53	434	672	582	469	135	76	250	383	97	389	245	281	179	157	78	226	125	249	262	336	212	194	734	390	68	214	71	253	151	229	187	180	705	832	632	145	207	766	748									
5	Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования	3662	29	51	45	38	69	29	28	30	51	0	10	87	138	22	71	70	108	174	62	37	149	24	31	171	45	53	54	111	87	29	45	128	123	11	59	116	94	90	19	150	38	54	66	62	132	172	25	40	30	82	42	32	34	74	41									
6	Число погашенных бюллетеней	24037	1491	642	207	807	1129	1162	1034	780	984	68	332	241	75	357	208	117	808	1154	656	794	216	50	79	546	128	358	161	78	74	14	27	106	122	440	399	388	164	186	1007	760	64	112	83	255	207	159	158	80	1165	986	1126	143	179	460	511									
7	Число бюллетеней в переносных ящиках для голосования	3662	29	51	45	38	69	29	28	30	51	0	10	87	138	22	71	70	108	174	62	37	149	24	31	171	45	53	54	111	87	29	45	128	123	11	59	116	94	90	19	150	38	54	66	62	132	172	25	40	30	82	42	32	34	74	41									
8	Число бюллетеней в стационарных ящиках для голосования	22287	1078	607	198	600	1002	1409	1038	890	1415	132	508	172	187	301	161	53	434	672	582	469	135	76	250	383	97	389	245	281	179	157	78	226	125	249	262	336	212	194	734	390	68	214	71	252	151	229	187	180	705	826	632	145	207	766	748									
9	Число недействительных бюллетеней	437	22	9	9	10	7	52	52	22	8	4	5	4	1	3	4	0	8	17	17	6	11	4	1	9	3	10	7	6	3	5	2	5	1	7	4	10	1	1	8	3	4	2	2	1	0	9	9	3	1	8	14	2	0	9	12									
10	Число действительных бюллетеней	25512	1085	649	234	628	1064	1386	1014	898	1458	128	513	255	324	320	228	123	534	829	627	500	273	96	280	545	139	432	292	386	263	181	121	349	247	253	317	442	305	283	745	537	102	266	135	313	283	392	203	217	734	900	660	175	241	831	777									
