Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																								
Дата голосования: 18.09.2016																																																								
																																																								
Наименование Избирательной комиссии:    Бижбулякская																																																								
																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																								
																																																								
		Сумма	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	18893	851	150	96	696	100	335	1158	955	962	1318	656	318	146	341	339	152	332	264	788	278	208	243	156	114	600	147	327	353	99	794	329	386	987	487	707	73	185	827	128	225	205	622	213	147	96									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19513	865	154	97	748	105	346	1197	996	992	1365	668	324	147	346	347	166	344	278	823	290	206	249	161	117	623	150	339	365	100	861	336	396	1019	506	717	76	198	839	130	227	211	633	214	147	95									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	16440	802	142	67	610	82	290	1000	798	813	1166	569	303	128	298	330	136	300	237	687	235	178	216	137	103	418	140	308	329	74	651	288	356	930	326	619	66	141	778	97	158	183	558	196	117	80									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	929	19	3	19	35	12	18	21	50	13	9	15	11	10	24	0	10	20	11	24	25	9	10	6	5	124	5	14	19	18	26	15	12	19	137	12	0	26	20	18	17	8	23	6	21	10									
6	Число погашенных избирательных бюллетеней	2144	44	9	11	103	11	38	176	148	166	190	84	10	9	24	17	20	24	30	112	30	19	23	18	9	81	5	17	17	8	184	33	28	70	43	86	10	31	41	15	52	20	52	12	9	5									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	929	19	3	19	35	12	18	21	50	13	9	15	11	10	24	0	10	20	11	24	25	9	10	6	5	124	5	14	19	18	26	15	12	19	137	12	0	26	20	18	17	8	23	6	21	10									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	16440	802	142	67	610	82	290	1000	798	813	1166	569	303	128	298	330	136	300	237	687	235	178	216	137	103	418	140	308	329	74	651	288	356	930	326	619	66	141	778	97	158	183	558	196	117	80									
9	Число недействительных избирательных бюллетеней	91	7	2	0	9	0	0	0	0	0	0	11	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	15	0	0	14	0	0	0	0	0	0	28	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	17278	814	143	86	636	94	308	1021	848	826	1175	573	314	138	322	330	144	320	245	711	260	187	226	143	108	542	145	322	348	92	662	303	368	935	463	631	66	167	798	115	147	191	581	202	138	90									
