Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																																																									
Дата голосования: 07.12.2003 0:00:00																																																																																																																																									
																																																																																																																																									
Наименование Избирательной комиссии:    Энгельсская																																																																																																																																									
																																																																																																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																																																									
																																																																																																																																									
		Сумма	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828					
1	"Число избирателей, внесенных в списки"	210077	2107	2305	2230	2378	735	2115	1809	1929	2654	2482	1919	2442	2573	2185	2547	2445	2506	2050	1807	1953	2259	426	1798	2189	754	2132	1755	1901	1657	1502	2463	2150	1927	2239	2312	2121	2048	2375	2836	1950	2596	1807	2383	1845	1950	2354	2294	1536	2128	2180	1708	2102	1761	2467	1560	2436	1736	1968	2124	1680	1646	1160	2257	1595	2211	1812	1890	2198	1807	2194	1794	746	1653	2092	1857	2269	1828	1076	2225	2065	1725	2007	1976	2307	2031	1332	1632	2132	1162	1145	797	1343	1130	1499	2446	584	819	113	340	831	332	1380	1161	2021	1145	996	1095	697	200	354	347	357	136	101	204	512	604	690	667	740	384	466	142	1158	616	863	770	2679	1110	1844					
2	"Число бюллетеней, полученных участковыми комиссиями"	202751	1798	2154	2147	2332	723	2112	1803	1967	2543	2410	1854	2345	2095	2103	2073	2380	2400	2026	1842	1725	2199	426	1704	2159	683	2053	1730	1866	1623	1491	2287	2061	1889	2166	2306	2102	1975	2261	2743	1911	2439	1754	2229	1802	1871	2164	2225	1452	1849	2250	1856	2165	1615	2408	1505	2254	1659	1849	2012	1590	1616	1107	2219	1518	2147	1724	1838	2123	1752	2015	1741	708	1595	2000	1791	2129	1771	1049	2157	1995	1671	1892	1872	2191	1975	1292	1601	2088	1160	1146	817	1325	1099	1491	2433	560	814	115	324	826	338	1400	1160	2051	1142	990	1076	677	200	349	343	353	138	103	203	515	599	689	668	740	379	465	134	1127	619	844	746	2658	1112	1831					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	99517	944	977	832	921	216	874	776	800	1121	1130	797	1155	1414	1177	1402	1287	951	980	946	913	993	147	856	1011	280	922	751	986	885	568	1097	941	929	935	916	1052	924	1080	1308	872	1131	809	1014	771	897	1200	935	859	1117	1198	834	1041	729	1283	646	930	570	849	1016	650	594	472	1125	783	1115	973	937	836	723	934	672	358	676	868	683	713	714	463	920	964	918	999	1189	1187	985	609	735	1159	522	449	508	581	578	904	1168	327	469	88	278	532	271	664	636	941	646	587	562	441	134	205	266	253	106	76	152	331	424	420	348	547	227	286	87	636	512	763	686	1544	557	956					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	5960	85	46	46	47	500	43	49	26	35	54	27	31	30	38	39	9	36	30	71	26	56	262	103	54	6	21	21	34	27	13	20	27	19	20	32	30	32	20	61	78	25	50	63	60	34	68	145	60	34	40	26	26	112	26	53	60	64	60	50	49	98	59	20	31	31	49	26	48	57	67	72	17	19	31	24	106	30	31	58	39	19	21	17	54	46	26	87	98	47	56	22	96	14	66	149	21	36	18	0	46	12	10	17	99	47	32	51	25	18	31	16	19	5	5	8	53	22	18	35	19	14	15	10	46	10	34	23	24	37	44					
6	Число погашенных бюллетеней	97270	769	1131	1269	1364	7	1195	978	1141	1387	1226	1030	1159	651	888	632	1084	1413	1016	825	786	1150	17	745	1094	397	1110	958	846	711	910	1170	1093	941	1211	1356	1020	1019	1161	1374	961	1283	895	1152	971	940	896	1145	533	698	1012	996	1098	774	1099	806	1264	1025	940	946	891	924	576	1074	704	1001	702	875	1239	972	1014	995	333	900	1101	1084	1310	1027	555	1179	992	734	872	666	950	944	657	779	831	591	641	287	648	507	521	1116	212	309	9	46	248	55	726	507	1011	449	371	463	211	48	113	61	81	27	22	43	131	153	251	285	174	138	164	37	445	97	47	37	1090	518	831					
7	Число бюллетеней в переносных ящиках для голосования	5918	85	46	46	47	500	43	49	26	35	53	27	31	30	38	39	9	36	32	71	26	56	262	103	54	6	21	21	34	27	13	20	27	19	20	32	30	32	20	61	78	25	50	63	60	34	68	145	60	34	40	26	25	112	26	53	60	64	60	50	49	98	59	20	31	31	49	26	48	57	67	72	17	19	31	24	106	30	31	58	39	19	21	17	54	46	26	87	98	47	56	22	96	14	66	149	21	36	18	0	46	12	10	17	57	47	32	51	25	18	31	16	19	5	5	8	53	22	18	35	19	14	15	10	46	10	34	23	24	37	44					
8	Число бюллетеней в стационарных ящиках для голосования	99487	944	977	832	921	216	874	775	800	1121	1130	797	1155	1405	1170	1412	1285	950	943	942	913	993	147	856	1011	280	922	751	952	885	568	1097	947	927	935	916	1052	924	1080	1308	872	1157	809	1014	770	897	1200	935	858	1117	1196	834	1038	727	1282	646	930	570	846	1016	650	594	472	1125	783	1115	972	937	836	723	934	672	358	675	868	683	713	714	463	920	964	918	999	1189	1187	985	609	735	1159	522	449	508	581	578	904	1168	327	469	88	278	532	271	664	636	983	646	587	562	441	134	205	266	253	106	76	152	331	424	420	348	547	227	286	87	636	512	763	686	1542	557	956					
9	Число недействительных бюллетеней	1906	25	18	40	59	94	10	10	15	18	11	14	12	11	20	21	6	15	6	16	12	13	5	6	25	4	8	5	23	16	13	5	6	8	8	16	11	10	7	22	16	46	10	9	21	17	9	1	16	9	13	8	5	10	7	8	15	12	19	10	27	30	12	9	5	31	13	23	13	27	13	8	5	9	22	25	24	14	13	13	15	18	24	21	42	40	14	11	12	13	22	8	14	10	14	22	4	12	1	2	7	1	25	11	57	22	22	15	15	0	0	13	7	3	1	7	3	2	10	4	4	10	8	2	17	11	3	0	35	16	15					
10	Число действительных бюллетеней	103499	1004	1005	838	909	622	907	814	811	1138	1172	810	1174	1424	1188	1430	1288	971	969	997	927	1036	404	953	1040	282	935	767	963	896	568	1112	968	938	947	932	1071	946	1093	1347	934	1136	849	1068	809	914	1259	1079	902	1142	1223	852	1058	829	1301	691	975	622	887	1056	672	662	519	1136	809	1115	1008	940	871	753	988	736	370	685	877	682	795	730	481	965	988	919	996	1185	1199	991	621	811	1245	556	483	522	663	582	956	1295	344	493	105	276	571	282	649	642	983	671	597	598	451	152	236	269	265	108	80	153	381	444	428	379	562	231	293	95	665	511	794	709	1531	578	985					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	3435	45	41	46	46	0	51	46	43	0	65	30	46	45	40	43	50	38	35	28	40	50	0	25	45	15	60	6	40	25	30	45	43	43	35	43	40	40	41	60	45	46	35	40	35	86	60	53	35	40	71	34	55	22	52	25	35	20	20	35	35	35	20	70	40	40	30	40	35	20	24	18	5	18	29	18	23	18	5	27	29	24	23	23	38	25	15	15	40	15	15	20	10	10	5	25	5	5	5	5	5	5	20	15	20	10	5	15	5	5	5	5	5	0	0	5	5	5	5	0	5	5	5	5	10	5	5	5	15	5	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	3185	45	41	45	46	0	47	45	38	0	65	28	46	43	40	43	50	38	33	26	39	45	0	23	40	9	51	35	40	25	28	45	43	43	34	43	40	40	41	60	42	46	31	39	32	57	50	51	35	33	68	30	51	21	52	17	33	18	20	31	32	34	19	61	29	38	28	40	34	20	23	18	5	14	29	13	18	18	3	27	29	24	23	19	38	23	15	15	40	8	13	20	10	10	5	16	3	3	0	1	5	5	17	15	19	10	4	10	5	1	1	3	2	0	0	1	2	1	1	5	1	1	3	0	10	4	3	2	15	5	16					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	3852	15	110	10	13	429	3	2	7	0	13	9	1020	6	6	6	13	19	19	25	8	10	409	13	15	61	12	6	32	14	17	18	31	3	8	7	7	22	34	18	34	6	8	22	17	86	28	38	25	248	29	13	9	50	13	11	6	6	42	14	8	16	7	4	12	7	73	8	9	7	98	7	17	10	23	4	21	7	7	4	10	33	31	69	21	15	5	4	6	4	2	5	27	3	7	8	7	6	0	1	7	1	1	0	3	2	2	4	1	0	1	2	1	0	0	0	0	2	1	3	3	2	0	0	10	3	1	3	6	2	3					
14	Число погашенных открепительных удостоверений	518	0	0	1	0	0	4	1	5	0	0	2	1	2	0	0	0	0	2	0	1	5	0	2	5	6	9	0	0	0	2	0	0	0	1	0	0	0	0	0	3	0	4	1	3	9	10	2	0	7	3	4	4	1	0	8	2	2	0	4	3	1	1	9	11	2	2	0	1	0	1	0	0	4	0	5	5	0	2	0	0	0	0	4	0	2	0	0	0	7	2	0	0	0	0	9	2	2	5	4	248	0	3	0	1	0	1	5	0	4	4	2	3	5	0	4	3	4	4	2	4	4	2	5	0	1	2	3	0	0	4					
15	Число открепительных удостоверений выданных ТИК	99	3	0	0	1	0	1	0	1	0	1	0	0	2	0	0	1	1	0	0	0	1	0	0	2	0	1	2	0	0	1	0	0	0	0	1	2	1	1	1	0	2	1	1	2	1	0	2	1	1	0	1	2	0	0	3	0	0	2	1	1	0	1	1	1	0	1	1	1	0	2	0	1	1	1	0	2	2	0	2	3	1	1	0	2	2	2	0	1	0	1	0	0	2	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0	5	0	0	2	0	4					
16	Число утраченных бюллетеней	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																																																									
18	"1. ""ЕДИНЕНИЕ"""	1068	15	9	4	6	25	3	1	7	8	4	5	15	17	7	24	11	9	6	6	4	11	1	6	11	5	6	9	6	4	8	4	11	12	6	7	12	8	5	11	3	13	2	6	8	6	6	6	2	10	6	7	6	11	6	3	4	7	7	5	3	14	6	5	6	11	3	4	4	9	10	5	3	7	12	4	10	4	4	9	12	9	9	12	12	15	13	5	9	3	6	19	9	11	14	18	3	4	0	2	4	8	14	17	17	19	13	18	12	11	3	4	10	3	0	7	13	8	9	4	19	5	5	6	8	6	9	3	17	11	14					
