Выборы Президента Российской Федерации																																																																			
Дата голосования: 02.03.2008																																																																			
																																																																			
"Наименование Избирательной комиссии:    Набережные Челны, Центральная"																																																																			
																																																																			
Сводная таблица результатов выборов																																																																			
																																																																			
	Число участковых избирательных комиссий	60																																																																	
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	60																																																																	
																																																																			
		Сумма	УИК №2010	УИК №2092	УИК №2093	УИК №2094	УИК №2095	УИК №2096	УИК №2097	УИК №2098	УИК №2099	УИК №2100	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124	УИК №2125	УИК №2126	УИК №2127	УИК №2128	УИК №2129	УИК №2130	УИК №2131	УИК №2132	УИК №2133	УИК №2134	УИК №2135	УИК №2136	УИК №2137	УИК №2138	УИК №2139	УИК №2140	УИК №2141	УИК №2142	УИК №2143	УИК №2144	УИК №2145	УИК №2146	УИК №2147	УИК №2148	УИК №2149	УИК №2150					
1	"Число избирателей, включенных в списки избирателей"	141197	2037	2649	2805	2378	2653	2535	2676	2684	2660	1769	2701	2800	1966	2264	2668	2926	2700	2470	1871	2318	1584	2532	2707	2308	2456	2718	1902	1856	2056	2741	2754	1805	2094	2436	2338	2456	2575	2510	2530	2174	2520	2028	2663	2709	2620	2258	2335	2070	1147	1614	2740	2136	2275	1824	2576	2467	2321	2635	2435	1762					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	141600	1800	2500	2800	2300	2600	2300	2800	2800	2600	1500	2700	2900	1700	2200	2700	2700	2600	2800	1700	2300	1500	2500	2800	2300	2300	2700	1900	1700	2600	2800	2600	1800	2200	2300	2200	2600	2600	2700	2700	2100	2600	2600	2800	2800	2800	2200	2300	2000	1300	1700	2800	2200	2300	1900	2500	2400	2400	2700	2500	1600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	103888	1744	1818	2101	1751	1880	1921	1918	1898	1766	1244	2124	2046	1306	1793	1824	1795	1777	2020	1403	1728	1231	1832	2000	1686	1907	1822	1386	1515	1992	2011	1646	1237	1576	1755	1626	1881	1730	1828	1868	1513	2147	1995	2303	2105	1930	1593	1733	1346	958	1194	2102	1592	1663	1312	1781	1860	1635	1761	1762	1217					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	2769	23	51	27	17	39	32	32	9	29	212	29	24	276	44	49	32	29	42	20	15	10	25	40	22	29	36	26	27	64	56	42	27	27	28	24	26	48	49	89	21	48	33	35	34	47	33	19	28	41	35	43	15	49	39	28	60	35	49	61	290					
6	Число погашенных избирательных бюллетеней	34943	33	631	672	532	681	347	850	893	805	44	547	830	118	363	827	873	794	738	277	557	259	643	760	592	364	842	488	158	544	733	912	536	597	517	550	693	822	823	743	566	405	572	462	661	823	574	548	626	301	471	655	593	588	549	691	480	730	890	677	93					
