Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																					
Дата голосования: 07.12.2003 0:00:00																																					
																																					
Наименование Избирательной комиссии:    Мглинская																																					
																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																					
																																					
		Сумма	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704					
1	"Число избирателей, внесенных в списки"	16556	241	405	557	339	217	332	355	193	507	393	282	477	183	314	143	249	606	969	600	224	501	336	384	294	244	535	416	2252	2276	1732					
2	"Число бюллетеней, полученных участковыми комиссиями"	15450	230	380	520	300	190	320	550	180	460	360	270	450	190	290	140	240	570	900	530	220	490	320	350	270	230	490	390	2010	2030	1580					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	7349	70	156	298	155	121	205	291	103	257	191	159	175	114	168	88	92	296	297	246	117	166	191	227	159	133	322	181	902	803	666					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1490	93	77	22	42	13	42	64	23	43	58	14	126	41	48	26	95	41	55	89	12	154	18	10	18	0	41	82	67	40	36					
6	Число погашенных бюллетеней	6611	67	147	200	103	56	73	195	54	160	111	97	149	35	74	26	53	233	548	195	91	170	111	113	93	97	127	127	1041	1187	878					
7	Число бюллетеней в переносных ящиках для голосования	1490	93	77	22	42	13	42	64	23	43	58	14	126	41	48	26	95	41	55	89	12	154	18	10	18	0	41	82	67	40	36					
8	Число бюллетеней в стационарных ящиках для голосования	7347	70	156	298	155	121	205	291	103	257	191	159	175	114	168	88	92	296	297	246	117	166	191	227	159	133	322	181	902	801	666					
9	Число недействительных бюллетеней	239	3	5	10	3	1	0	2	1	11	8	5	5	3	0	0	1	2	27	14	1	20	9	14	11	11	13	6	12	21	20					
10	Число действительных бюллетеней	8598	160	228	310	194	133	247	353	125	289	241	168	296	152	216	114	186	335	325	321	128	300	200	223	166	122	350	257	957	820	682					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	300	5	7	10	6	5	6	10	5	9	6	5	8	5	5	5	5	10	20	10	5	10	6	8	5	5	10	10	35	35	29					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	51	0	1	1	0	0	1	1	0	2	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	2	24	5	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	54	3	2	3	1	2	1	3	3	1	2	1	1	2	1	0	2	0	2	3	2	0	3	3	2	0	0	0	4	6	1					
14	Число погашенных открепительных удостоверений	249	5	6	9	6	5	5	9	5	7	6	5	7	5	5	4	5	9	20	10	5	9	6	8	5	5	10	8	11	30	19					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																					
