Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																								
Дата голосования: 18.09.2016																																																																								
																																																																								
Наименование Избирательной комиссии:    Усть-Лабинская																																																																								
																																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																																								
																																																																								
		Сумма	УИК №5601	УИК №5602	УИК №5603	УИК №5604	УИК №5605	УИК №5606	УИК №5607	УИК №5608	УИК №5609	УИК №5610	УИК №5611	УИК №5612	УИК №5613	УИК №5614	УИК №5615	УИК №5616	УИК №5617	УИК №5618	УИК №5619	УИК №5620	УИК №5621	УИК №5622	УИК №5623	УИК №5624	УИК №5625	УИК №5626	УИК №5627	УИК №5628	УИК №5629	УИК №5630	УИК №5631	УИК №5632	УИК №5633	УИК №5634	УИК №5635	УИК №5636	УИК №5637	УИК №5638	УИК №5639	УИК №5640	УИК №5641	УИК №5642	УИК №5643	УИК №5644	УИК №5645	УИК №5646	УИК №5647	УИК №5648	УИК №5649	УИК №5650	УИК №5651	УИК №5652	УИК №5653	УИК №5654	УИК №5655	УИК №5657	УИК №5658	УИК №5659	УИК №5660	УИК №5661	УИК №5662									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	80672	1092	2605	2219	1979	1621	1761	1207	1471	1299	1212	1972	1270	1027	2095	960	2015	1348	1947	1723	409	949	1718	322	609	304	1219	405	402	395	1067	510	1140	1502	1302	781	1832	1565	1513	1286	213	394	1557	1289	1359	2182	1697	2423	1494	942	1448	2117	274	639	1368	1272	1839	1963	2128	814	1721	1486									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	73460	1000	2000	2000	2000	1500	1500	1000	1500	1000	1000	2000	1000	1000	2000	1000	2000	1000	2000	1500	420	1000	1500	320	600	300	1000	400	400	400	1000	500	1000	1500	1000	800	1500	1500	1500	1000	220	400	1500	1000	1000	2000	1500	2000	1500	1000	1500	2000	300	600	1000	1000	1500	2000	2000	800	1500	1500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	39027	398	1000	739	632	573	594	699	678	395	672	1025	680	600	706	496	1057	645	883	716	409	631	775	233	390	216	711	216	250	253	706	367	734	959	604	370	439	445	605	833	156	262	963	870	507	1209	679	679	558	541	869	1143	176	426	834	906	1063	1520	650	338	735	609									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	6554	45	146	218	152	109	58	169	153	25	53	77	39	76	219	64	99	114	97	148	0	136	144	20	31	26	87	85	70	50	183	77	160	250	81	30	99	97	97	132	25	45	245	119	115	145	196	251	60	135	25	33	21	35	145	52	150	162	28	212	140	299									
6	Число погашенных избирательных бюллетеней	27879	557	854	1043	1216	818	848	132	669	580	275	898	281	324	1075	440	844	241	1020	636	11	233	581	67	179	58	202	99	80	97	111	56	106	291	315	400	962	958	798	35	39	93	292	11	378	646	625	1070	882	324	606	824	103	139	21	42	287	318	1322	250	625	592									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	6554	45	146	218	152	109	58	169	153	25	53	77	39	76	219	64	99	114	97	148	0	136	144	20	31	26	87	85	70	50	183	77	160	250	81	30	99	97	97	132	25	45	245	119	115	145	196	251	60	135	25	33	21	35	145	52	150	162	28	212	140	299									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	39027	398	1000	739	632	573	594	699	678	395	672	1025	680	600	706	496	1057	645	883	716	409	631	775	233	390	216	711	216	250	253	706	367	734	959	604	370	439	445	605	833	156	262	963	870	507	1209	679	679	558	541	869	1143	176	426	834	906	1063	1520	650	338	735	609									
9	Число недействительных избирательных бюллетеней	567	13	28	3	8	4	13	7	14	5	4	14	6	6	18	14	9	18	17	22	0	0	27	3	3	0	3	0	0	3	0	2	5	11	9	5	10	14	18	13	1	7	7	11	6	20	12	9	14	6	5	14	1	0	3	0	8	41	19	2	17	15									
10	Число действительных избирательных бюллетеней	45014	430	1118	954	776	678	639	861	817	415	721	1088	713	670	907	546	1147	741	963	842	409	767	892	250	418	242	795	301	320	300	889	442	889	1198	676	395	528	528	684	952	180	300	1201	978	616	1334	863	921	604	670	889	1162	196	461	976	958	1205	1641	659	548	858	893									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	697	10	20	20	15	15	10	10	15	10	10	20	10	10	20	10	20	15	20	10	5	10	30	5	5	5	10	5	5	5	10	10	5	10	10	5	10	10	10	10	5	5	10	10	10	20	15	20	10	10	10	20	5	5	10	10	10	20	20	5	10	12									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	636	5	20	20	11	14	8	10	15	7	10	20	10	10	20	9	20	14	14	5	0	10	30	5	5	5	8	5	5	5	10	10	5	8	10	5	6	10	10	10	5	5	10	10	10	20	15	20	5	8	7	12	5	5	10	10	10	20	18	5	10	12									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	270	7	19	9	12	3	5	5	1	7	10	6	4	10	5	2	8	6	13	10	0	3	16	6	2	2	6	2	2	0	5	2	2	2	2	3	3	5	3	4	4	0	1	10	3	7	3	3	1	2	2	1	3	5	2	3	3	0	4	0	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	61	5	0	0	4	1	2	0	0	3	0	0	0	0	0	1	0	1	6	5	5	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	5	2	3	8	0	0	0	0	0	0	2	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	47	1	0	3	2	1	2	0	2	3	1	0	0	0	2	2	2	2	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	1	1	1	2	2	1	2	1	0	0	0	0	1	0	2	0	3	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	549	7	26	22	14	9	6	11	12	13	3	10	12	10	26	8	19	17	14	14	4	4	13	2	8	0	14	1	1	0	10	5	5	4	11	4	5	8	10	8	13	3	4	3	7	17	14	10	5	5	15	13	1	1	9	6	11	9	11	4	7	11									
		1.20%	1.58%	2.27%	2.30%	1.79%	1.32%	0.92%	1.27%	1.44%	3.10%	0.41%	0.91%	1.67%	1.48%	2.81%	1.43%	1.64%	2.24%	1.43%	1.62%	0.98%	0.52%	1.41%	0.79%	1.90%	0.00%	1.75%	0.33%	0.31%	0.00%	1.12%	1.13%	0.56%	0.33%	1.61%	1.00%	0.93%	1.48%	1.42%	0.83%	7.18%	0.98%	0.33%	0.30%	1.13%	1.26%	1.60%	1.08%	0.81%	0.74%	1.68%	1.11%	0.51%	0.22%	0.92%	0.63%	0.91%	0.54%	1.62%	0.73%	0.80%	1.21%									
