Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																
Дата голосования: 18.09.2016																																
																																
Наименование Избирательной комиссии:    Песчанокопская																																
																																
Сводная таблица итогов голосования по федеральному избирательному округу																																
																																
		Сумма	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	25447	1947	1967	1796	1961	1822	850	468	1738	1238	740	763	1043	876	576	1024	727	1115	1146	988	1174	1488									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23500	1750	1750	1650	1750	1650	800	450	1650	1150	700	700	1000	800	550	950	650	1050	1050	950	1100	1400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15847	809	873	717	838	798	648	345	1326	940	519	600	793	659	484	778	593	699	808	645	814	1161									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2143	215	170	127	185	150	73	52	129	115	110	96	144	123	17	93	26	80	40	51	36	111									
6	Число погашенных избирательных бюллетеней	5510	726	707	806	727	702	79	53	195	95	71	4	63	18	49	79	31	271	202	254	250	128									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2143	215	170	127	185	150	73	52	129	115	110	96	144	123	17	93	26	80	40	51	36	111									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15844	809	873	716	838	798	648	345	1326	938	519	600	793	659	484	778	593	699	808	645	814	1161									
9	Число недействительных избирательных бюллетеней	141	29	17	33	27	0	0	0	0	4	7	0	9	0	3	5	1	0	0	2	0	4									
10	Число действительных избирательных бюллетеней	17846	995	1026	810	996	948	721	397	1455	1049	622	696	928	782	498	866	618	779	848	694	850	1268									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	300	23	23	23	23	23	23	6	17	17	6	10	17	10	6	10	6	10	10	10	10	17									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	70	12	8	8	2	2	4	2	2	2	4	4	1	0	2	3	3	3	1	3	0	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	31	11	4	1	1	1	2	0	0	2	0	0	1	0	1	3	2	0	0	0	0	2									
14	Число погашенных неиспользованных открепительных удостоверений	230	11	15	15	21	21	19	4	15	15	2	6	16	10	4	7	3	7	9	7	10	13									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	17	3	3	1	2	1	0	0	0	1	0	0	0	0	1	0	1	1	0	1	1	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	134	8	6	8	10	40	4	9	5	3	1	3	3	0	2	0	4	6	15	5	0	2									
		0.74%	0.78%	0.58%	0.95%	0.98%	4.22%	0.55%	2.27%	0.34%	0.28%	0.16%	0.43%	0.32%	0.00%	0.40%	0.00%	0.65%	0.77%	1.77%	0.72%	0.00%	0.16%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	362	45	30	38	34	22	14	5	8	23	10	5	10	0	10	0	13	16	16	17	22	24									
		2.01%	4.39%	2.88%	4.51%	3.32%	2.32%	1.94%	1.26%	0.55%	2.18%	1.59%	0.72%	1.07%	0.00%	1.99%	0.00%	2.10%	2.05%	1.89%	2.44%	2.59%	1.89%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	182	17	22	21	14	16	8	1	6	5	2	4	6	0	7	0	8	4	11	8	10	12									
		1.01%	1.66%	2.11%	2.49%	1.37%	1.69%	1.11%	0.25%	0.41%	0.47%	0.32%	0.57%	0.64%	0.00%	1.40%	0.00%	1.29%	0.51%	1.30%	1.15%	1.18%	0.94%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	13207	539	587	388	604	682	509	324	1193	840	521	661	774	667	406	655	467	597	616	520	634	1023									
		73.43%	52.64%	56.28%	46.03%	59.04%	71.94%	70.60%	81.61%	81.99%	79.77%	82.83%	94.97%	82.60%	85.29%	81.04%	75.20%	75.44%	76.64%	72.64%	74.71%	74.59%	80.42%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	36	3	6	6	2	2	0	0	1	0	0	2	2	0	4	0	1	0	2	5	0	0									
		0.20%	0.29%	0.58%	0.71%	0.20%	0.21%	0.00%	0.00%	0.07%	0.00%	0.00%	0.29%	0.21%	0.00%	0.80%	0.00%	0.16%	0.00%	0.24%	0.72%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	25	1	3	2	4	0	1	0	1	3	0	1	1	0	1	0	0	0	4	1	0	2									
		0.14%	0.10%	0.29%	0.24%	0.39%	0.00%	0.14%	0.00%	0.07%	0.28%	0.00%	0.14%	0.11%	0.00%	0.20%	0.00%	0.00%	0.00%	0.47%	0.14%	0.00%	0.16%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1650	167	146	120	139	81	80	26	69	85	29	5	56	69	39	123	71	58	75	57	63	92									
		9.17%	16.31%	13.99%	14.23%	13.59%	8.54%	11.10%	6.55%	4.74%	8.07%	4.61%	0.72%	5.98%	8.82%	7.78%	14.12%	11.47%	7.45%	8.84%	8.19%	7.41%	7.23%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	28	2	4	2	2	0	2	0	2	0	1	2	0	0	0	0	2	0	6	2	0	1									
		0.16%	0.20%	0.38%	0.24%	0.20%	0.00%	0.28%	0.00%	0.14%	0.00%	0.16%	0.29%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.71%	0.29%	0.00%	0.08%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	58	14	7	16	3	2	0	0	3	1	1	2	0	0	0	1	0	0	5	2	0	1									
		0.32%	1.37%	0.67%	1.90%	0.29%	0.21%	0.00%	0.00%	0.21%	0.09%	0.16%	0.29%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.59%	0.29%	0.00%	0.08%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	11	2	2	1	0	0	0	0	2	0	1	0	1	0	0	0	0	0	2	0	0	0									
		0.06%	0.20%	0.19%	0.12%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.16%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	68	5	14	7	12	1	3	0	10	2	0	2	0	0	1	0	1	2	2	6	0	0									
		0.38%	0.49%	1.34%	0.83%	1.17%	0.11%	0.42%	0.00%	0.69%	0.19%	0.00%	0.29%	0.00%	0.00%	0.20%	0.00%	0.16%	0.26%	0.24%	0.86%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1806	168	171	177	156	79	94	22	134	79	45	6	68	38	24	85	41	86	77	61	111	84									
		10.04%	16.41%	16.40%	20.99%	15.25%	8.33%	13.04%	5.54%	9.21%	7.50%	7.15%	0.86%	7.26%	4.86%	4.79%	9.76%	6.62%	11.04%	9.08%	8.76%	13.06%	6.60%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	20	1	0	2	3	5	1	0	2	1	1	0	0	0	1	0	1	0	1	1	0	0									
