Выборы Президента Российской Федерации																																																					
																																																					
"Наименование Избирательной комиссии:    Брянск, Советская"																																																					
																																																					
Итоги голосования 																																																					
																																																					
		Сумма	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169					
1	"Число избирателей, внесенных в список"	98953	1937	1440	2596	2462	1787	2485	2486	2540	796	1942	1852	2270	2009	2107	1435	1818	1426	2338	2594	2510	2125	2299	2682	2684	2470	2370	1905	1693	2361	2173	2072	2476	2632	2636	2534	2210	1631	2358	2102	2474	2457	2564	1451	2577	2663	524					
2	Число полученных избирательных бюллетеней	96950	1900	1450	2500	2400	1700	2500	2450	2550	770	1900	1850	2000	2000	2100	1350	1750	1400	2300	2500	2500	2100	2300	2650	2650	2400	2300	2050	1700	2350	2150	2000	2450	2600	2600	2500	2200	1600	2300	2100	2450	2400	2250	1380	2400	2600	600					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	54775	1084	792	1427	1220	715	1484	1456	1496	355	1045	1010	1399	1203	1182	851	1018	739	1175	1465	1612	1310	1313	1642	1511	1408	1073	1079	999	1314	1308	1169	1338	1536	1408	1364	1217	938	1340	1219	1456	1149	1087	791	1326	1228	524					
5	"Число избирательных бюллетеней, выданных вне помещения"	2442	92	73	47	95	103	54	45	63	36	27	28	70	41	22	28	75	34	53	95	42	24	55	27	55	50	84	21	42	27	33	36	17	29	32	33	19	16	10	19	18	55	291	55	154	117	0					
6	Число погашенных избирательных бюллетеней	39733	724	585	1026	1085	882	962	949	991	379	828	812	531	756	896	471	657	627	1072	940	846	766	932	981	1084	942	1143	950	659	1009	809	795	1095	1035	1160	1103	964	646	950	862	976	1196	872	534	920	1255	76					
7	Число избирательных бюллетеней в переносных ящиках	2441	92	73	47	95	103	54	45	63	36	27	28	70	41	22	28	75	34	53	95	42	24	54	27	55	50	84	21	42	27	33	36	17	29	32	33	19	16	10	19	18	55	291	55	154	117	0					
8	Число бюллетеней в стационарных ящиках для голосования	54746	1084	791	1427	1220	715	1484	1456	1496	355	1044	1010	1395	1203	1182	851	1018	738	1175	1464	1611	1309	1312	1642	1510	1405	1073	1079	997	1314	1308	1169	1338	1535	1408	1360	1216	938	1340	1215	1456	1149	1085	791	1326	1228	524					
9	Число недействительных избирательных бюллетеней	389	0	10	11	5	10	18	6	8	3	7	10	16	7	5	6	6	1	13	15	15	5	4	6	9	10	17	2	12	6	14	15	8	4	10	11	5	6	11	2	12	8	10	0	17	7	6					
10	Число действительных избирательных бюллетеней	56798	1176	854	1463	1310	808	1520	1495	1551	388	1064	1028	1449	1237	1199	873	1087	771	1215	1544	1638	1328	1362	1663	1556	1445	1140	1098	1027	1335	1327	1190	1347	1560	1430	1382	1230	948	1339	1232	1462	1196	1366	846	1463	1338	518					
