Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																
Дата голосования: 07.12.2003 0:00:00																																																
																																																
Наименование Избирательной комиссии:    Батайская																																																
																																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																
																																																
		Сумма	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №2542	УИК №2543	УИК №2582	УИК №2583	УИК №2584	УИК №2601	УИК №2602	УИК №2603	УИК №2604	УИК №2605					
1	"Число избирателей, внесенных в списки"	79900	1841	1723	2033	2476	1943	1935	1740	2378	1491	2326	2157	1890	2201	1598	2206	2127	1947	1813	2520	1746	2119	2048	1751	1926	1630	1790	2182	2186	2490	2567	1835	1594	1743	1448	2038	1849	1821	1945	1722	1267	1858					
2	"Число бюллетеней, полученных участковыми комиссиями"	79834	1831	1707	2060	2487	1958	1936	1765	2353	1432	2324	2168	1889	2217	1587	2213	2143	1971	1813	2522	1740	2129	2065	1760	1953	1611	1801	2203	2158	2545	2334	1843	1586	1757	1450	2051	1860	1814	1966	1722	1259	1851					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	39999	836	825	991	998	989	989	999	1321	832	1170	1118	882	1218	744	1000	1057	955	860	1488	822	998	837	813	726	808	769	1183	1074	1312	1494	1063	742	1045	717	897	832	981	1109	943	704	858					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1414	22	21	39	38	33	55	23	26	17	46	18	39	36	33	21	43	38	68	30	49	43	31	27	92	48	46	20	40	14	13	22	78	26	36	23	43	4	41	20	25	27					
6	Число погашенных бюллетеней	38421	973	861	1030	1451	936	892	743	1006	583	1108	1032	968	963	810	1192	1043	978	885	1004	869	1088	1197	920	1135	755	986	1000	1044	1219	827	758	766	686	697	1131	985	829	816	759	530	966					
7	Число бюллетеней в переносных ящиках для голосования	1414	22	21	39	38	33	55	23	26	17	46	18	39	36	33	21	43	38	68	30	49	43	31	27	92	48	46	20	40	14	13	22	78	26	36	23	43	4	41	20	25	27					
8	Число бюллетеней в стационарных ящиках для голосования	39974	835	825	991	998	989	989	999	1320	828	1170	1118	882	1218	744	999	1057	955	860	1485	822	998	836	813	726	808	769	1183	1074	1309	1494	1063	742	1045	717	897	831	971	1109	943	704	858					
9	Число недействительных бюллетеней	832	15	28	19	27	25	16	26	27	6	25	9	25	17	14	28	15	63	0	18	22	29	26	17	9	23	15	14	12	15	24	15	19	21	21	38	20	18	23	9	17	22					
10	Число действительных бюллетеней	40556	842	818	1011	1009	997	1028	996	1319	839	1191	1127	896	1237	763	992	1085	930	928	1497	849	1012	841	823	809	833	800	1189	1102	1308	1483	1070	801	1050	732	882	854	957	1127	954	712	863					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	999	24	24	24	25	24	24	24	26	24	26	24	24	24	24	24	24	24	24	26	24	24	24	24	26	24	24	24	24	26	28	24	24	22	24	26	24	24	24	24	24	24					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	538	8	10	14	7	17	14	14	11	8	8	21	7	16	8	12	22	12	10	11	8	17	14	10	18	16	9	18	8	22	24	12	6	17	7	15	16	18	22	9	8	14					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	322	8	10	9	6	10	8	12	43	2	2	5	9	5	9	7	15	4	7	12	9	8	6	4	10	12	2	3	3	10	7	5	7	8	3	6	7	6	10	2	4	7					
14	Число погашенных открепительных удостоверений	461	16	14	10	18	7	10	10	15	16	18	3	17	8	16	12	2	12	14	15	16	7	10	14	8	8	15	6	16	4	4	12	18	5	17	11	8	6	2	15	16	10					
