Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																															
Дата голосования: 02.12.2007																																															
																																															
"Наименование Избирательной комиссии:    Орел, Советская"																																															
																																															
Сводная таблица результатов выборов																																															
																																															
		Сумма	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №818	УИК №820	УИК №821					
1	"Число избирателей, внесенных в списки избирателей"	73488	1607	1696	1601	2528	2334	2599	1707	1577	1519	1438	2340	2745	2379	2559	2560	2582	2511	2743	2503	2285	2371	2023	2307	1927	1964	2535	2543	1868	1522	2110	2135	934	414	161	116	150	742	1618	1073	1162					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	67676	1400	1500	1450	2300	2100	2300	1500	1500	1350	1250	2300	2500	2100	2300	2300	2300	2400	2500	2200	2100	2100	1800	2100	1700	1700	2300	2350	1700	1350	2200	2100	940	400	220	210	200	760	1900	896	1100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	49229	1117	1156	1188	1967	1604	1838	1144	1078	904	907	1384	1835	1634	1780	1599	1677	1676	1728	1808	1414	1417	1211	1451	1259	1048	1651	1538	1047	885	1651	2015	567	400	127	114	150	663	1140	661	796					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1522	34	36	56	72	55	30	31	54	40	35	54	33	28	61	34	28	25	15	17	24	45	30	24	33	14	33	14	12	41	13	71	349	0	27	0	0	2	30	6	16					
6	Число погашенных избирательных бюллетеней	16925	249	308	206	261	441	432	325	368	406	308	862	632	438	459	667	595	699	757	375	662	638	559	625	408	638	616	798	641	424	536	14	24	0	66	96	50	95	730	229	288					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1522	34	36	56	72	55	30	31	54	40	35	54	33	28	61	34	28	25	15	17	24	45	30	24	33	14	33	14	12	41	13	71	349	0	27	0	0	2	30	6	16					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	49152	1117	1156	1188	1967	1604	1838	1142	1078	904	907	1384	1835	1633	1771	1596	1677	1673	1728	1808	1414	1416	1209	1448	1259	1048	1648	1538	1047	885	1604	2015	567	400	127	114	150	663	1137	661	796					
9	Число недействительных избирательных бюллетеней	682	19	11	15	17	9	14	13	15	9	8	16	60	12	16	27	29	27	37	22	14	13	16	22	14	15	18	41	11	14	23	24	14	7	3	1	2	19	11	12	12					
10	Число действительных избирательных бюллетеней	49992	1132	1181	1229	2022	1650	1854	1160	1117	935	934	1422	1808	1649	1816	1603	1676	1671	1706	1803	1424	1448	1223	1450	1278	1047	1663	1511	1048	912	1594	2062	902	393	151	113	148	646	1156	655	800					
