Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																							
Дата голосования: 02.12.2007																							
																							
Наименование Избирательной комиссии:    Куйбышевская районная																							
																							
Сводная таблица результатов выборов																							
																							
		Сумма	УИК №724	УИК №2335	УИК №2336	УИК №2337	УИК №2338	УИК №2339	УИК №2340	УИК №2341	УИК №2342	УИК №2343	УИК №2344	УИК №2345	УИК №2463	УИК №2534	УИК №2535	УИК №2536					
1	"Число избирателей, внесенных в списки избирателей"	12012	219	2605	2677	414	390	300	1018	950	512	213	1081	702	197	409	169	156					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	10843	200	2293	2400	376	360	300	940	870	474	180	960	650	182	368	150	140					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	6530	124	1286	1547	284	230	177	509	424	332	110	594	385	98	251	98	81					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	573	21	49	85	19	24	19	55	67	36	27	63	34	13	36	8	17					
6	Число погашенных избирательных бюллетеней	3737	55	955	768	73	106	104	376	379	106	43	303	231	71	81	44	42					
7	Число избирательных бюллетеней в переносных ящиках для голосования	573	21	49	85	19	24	19	55	67	36	27	63	34	13	36	8	17					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6527	124	1283	1547	284	230	177	509	424	332	110	594	385	98	251	98	81					
9	Число недействительных избирательных бюллетеней	66	0	16	26	2	0	2	2	5	2	4	4	1	0	0	1	1					
10	Число действительных избирательных бюллетеней	7034	145	1316	1606	301	254	194	562	486	366	133	653	418	111	287	105	97					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	298	10	60	61	10	10	10	20	20	14	10	20	14	10	9	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	125	0	25	38	5	10	4	10	11	6	0	8	8	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	47	2	8	10	2	2	0	4	1	3	3	2	3	2	2	1	2					
14	Число погашенных неиспользованных открепительных удостоверений	173	10	35	23	5	0	6	10	9	8	10	12	6	10	9	10	10					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																							
18	1.Политическая партия «Аграрная партия России»	291	5	38	58	4	8	17	27	31	16	6	26	35	5	6	5	4					
		4.10%	3.45%	2.85%	3.55%	1.32%	3.15%	8.67%	4.79%	6.31%	4.35%	4.38%	3.96%	8.35%	4.50%	2.09%	4.72%	4.08%					
19	2.Всероссийская политическая партия «Гражданская Сила»	21	0	8	4	0	0	0	0	1	6	0	1	1	0	0	0	0					
		0.30%	0.00%	0.60%	0.25%	0.00%	0.00%	0.00%	0.00%	0.20%	1.63%	0.00%	0.15%	0.24%	0.00%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
