Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																														
Дата голосования: 04.12.2011																																																														
																																																														
Наименование Избирательной комиссии:    Киселевская городская																																																														
																																																														
Сводная таблица результатов выборов																																																														
																																																														
		Сумма	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427					
1	"Число избирателей, внесенных в список избирателей"	81264	1287	651	1027	1723	1274	2144	1171	2360	817	1834	2140	2226	1067	1228	1280	832	1992	1093	1946	2029	1626	1769	1389	1071	1218	581	1935	1108	1950	899	1735	2070	1569	1473	298	1877	1624	1346	1948	1448	1475	1842	1772	1826	1395	895	1491	1115	2373	974	1141	1400	1152	2240	1118					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	75810	1180	580	930	1590	1170	1950	1080	2160	750	1680	1960	2150	1020	1200	1390	790	1960	990	1790	1890	1460	1610	1320	990	1130	530	1890	1000	2000	930	1640	1910	1460	1380	250	1790	1580	1260	1810	1350	1370	1710	1580	1670	1310	810	1410	1100	2050	860	1010	1140	1160	2120	1010					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	61959	1032	468	919	1399	1039	1792	861	1842	653	1196	1849	1755	606	681	750	594	1594	882	1561	1798	1142	1265	1213	872	1041	309	1516	749	1831	508	1477	1819	1281	1213	161	1241	1352	1196	1450	918	1270	1480	754	1286	944	748	1015	666	1920	721	792	1028	872	1708	930					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	5868	134	21	11	107	44	110	55	77	44	202	70	139	60	267	130	102	143	29	57	50	156	157	30	75	41	109	120	198	74	304	103	61	50	39	34	86	69	60	39	84	100	58	333	194	209	31	243	240	53	66	127	95	186	112	80					
6	Число погашенных избирательных бюллетеней	7983	14	91	0	84	87	48	164	241	53	282	41	256	354	252	510	94	223	79	172	42	162	188	77	43	48	112	254	53	95	118	60	30	129	128	55	463	159	4	321	348	0	172	493	190	157	31	152	194	77	73	91	17	102	300	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	5868	134	21	11	107	44	110	55	77	44	202	70	139	60	267	130	102	143	29	57	50	156	157	30	75	41	109	120	198	74	304	103	61	50	39	34	86	69	60	39	84	100	58	333	194	209	31	243	240	53	66	127	95	186	112	80					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	61819	1032	468	919	1399	1039	1792	861	1842	653	1196	1849	1755	606	681	750	594	1594	882	1561	1798	1142	1265	1213	872	1041	309	1516	749	1831	508	1477	1819	1281	1213	161	1239	1352	1196	1450	908	1270	1480	754	1286	944	748	1015	666	1920	721	665	1028	871	1708	930					
9	Число недействительных избирательных бюллетеней	575	10	3	0	0	0	9	53	28	0	2	3	0	14	10	16	2	0	15	7	0	22	11	16	10	21	7	44	48	19	23	14	3	0	0	2	25	24	4	9	9	0	16	13	10	8	7	0	2	0	10	9	0	17	0	0					
10	Число действительных избирательных бюллетеней	67112	1156	486	930	1506	1083	1893	863	1891	697	1396	1916	1894	652	938	864	694	1737	896	1611	1848	1276	1411	1227	937	1061	411	1592	899	1886	789	1566	1877	1331	1252	193	1300	1397	1252	1480	983	1370	1522	1074	1470	1145	772	1258	904	1973	777	783	1123	1040	1820	1010					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2117	30	10	17	32	33	50	35	43	16	38	25	55	38	25	30	15	47	13	35	64	37	47	35	22	30	15	51	30	67	20	60	61	64	60	10	91	62	41	55	35	60	64	29	35	45	21	30	25	62	25	32	25	40	50	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	2112	30	10	17	32	33	50	35	43	16	38	25	55	38	24	30	15	47	13	35	64	37	47	35	22	30	15	51	30	67	20	60	61	64	60	10	91	62	41	55	35	60	64	29	35	45	21	30	25	61	25	29	25	40	50	30					
