Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																
Дата голосования: 02.12.2007																																																																
																																																																
Наименование Избирательной комиссии:    Киселевская городская																																																																
																																																																
Сводная таблица результатов выборов																																																																
																																																																
		Сумма	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415					
1	"Число избирателей, внесенных в списки избирателей"	80472	1392	705	1170	1165	1318	1272	1263	2388	836	1882	2313	2269	1165	1644	1514	509	1009	1030	1162	1900	2132	1629	1810	1380	1165	1399	898	1994	1196	2114	1110	1523	1933	2786	268	1972	1719	1380	1380	1480	1605	1861	608	786	295	1137	1487	939	1610	1031	2270	859	1055	1229	1125	2294	1107					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	84190	1400	700	1000	1800	1300	1900	1200	2300	800	1900	2200	2300	1200	2000	1500	700	1100	1100	1100	1900	2200	1700	1800	1400	1100	1600	800	2000	1200	2300	1100	1800	1800	2700	260	2000	1800	1400	1900	1500	1500	1900	770	850	310	1900	1500	1000	1700	1100	2300	1000	1000	1200	1000	2300	1100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	59652	798	531	968	1023	821	1160	872	2148	583	1055	1471	2002	1027	921	936	412	668	679	926	1611	1698	1311	1158	1014	669	1202	683	1294	816	1741	731	1173	1530	2131	205	1488	1353	1081	1320	1151	1165	1516	543	602	184	1055	1036	623	1143	787	1645	626	689	699	694	1508	776					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	6569	317	109	30	142	90	112	70	102	105	140	199	131	72	147	149	97	157	114	25	67	92	153	131	94	194	58	34	83	127	340	313	350	39	99	37	70	108	75	60	61	22	84	65	50	76	82	101	51	157	164	197	74	54	118	266	76	39					
6	Число погашенных избирательных бюллетеней	17969	285	60	2	635	389	628	258	50	112	705	530	167	101	932	415	191	275	307	149	222	410	236	511	292	237	340	83	623	257	219	56	277	231	470	18	442	339	244	520	288	313	300	162	198	50	763	363	326	400	149	458	300	257	383	40	716	285					
7	Число избирательных бюллетеней в переносных ящиках для голосования	6569	317	109	30	142	90	112	70	102	105	140	199	131	72	147	149	97	157	114	25	67	92	153	131	94	194	58	34	83	127	340	313	350	39	99	37	70	108	75	60	61	22	84	65	50	76	82	101	51	157	164	197	74	54	118	266	76	39					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	59474	798	531	968	1023	821	1160	872	2148	583	1055	1464	2002	1027	921	936	412	668	679	926	1544	1698	1311	1158	1014	669	1202	683	1289	797	1741	731	1173	1530	2059	205	1488	1353	1081	1320	1146	1163	1516	543	602	184	1055	1036	623	1143	787	1645	626	689	698	694	1508	776					
9	Число недействительных избирательных бюллетеней	596	0	14	0	4	0	5	6	4	7	6	7	35	7	15	10	4	76	1	13	11	20	22	7	23	2	19	22	17	8	38	10	2	18	27	1	17	16	8	4	5	4	4	2	0	0	3	8	4	10	12	10	0	8	1	7	4	8					
10	Число действительных избирательных бюллетеней	65447	1115	626	998	1161	911	1267	936	2246	681	1189	1656	2098	1092	1053	1075	505	749	792	938	1600	1770	1442	1282	1085	861	1241	695	1355	916	2043	1034	1521	1551	2131	241	1541	1445	1148	1376	1202	1181	1596	606	652	260	1134	1129	670	1290	939	1832	700	735	815	953	1580	807					
