Выборы Президента Российской Федерации																																																																															
																																																																															
Наименование Избирательной комиссии:    Коломенская городская																																																																															
																																																																															
Итоги голосования 																																																																															
																																																																															
		Сумма	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921					
1	"Число избирателей, внесенных в список"	124936	1559	1088	1350	1483	1552	2562	2573	1706	2844	1230	2017	1579	1372	1934	926	2022	1763	2803	1609	1119	776	1047	2107	1888	1580	997	2537	1477	2069	1966	2385	1899	2262	1795	2839	1198	2063	1530	1572	1758	1986	2205	2397	1887	2375	1560	1733	1020	2470	2446	1977	2208	1519	2410	2019	2369	2325	2791	2005	1619	2149	1093	291	102	285	45	39	47	1389	2587	2556	2196					
2	Число полученных избирательных бюллетеней	125078	1130	1160	1267	1488	1613	2555	2547	1622	2846	1272	2037	1592	1333	1913	921	2019	1766	2818	1636	1132	780	1050	2128	1913	1587	1008	2517	1478	2062	2044	2413	1928	2304	1813	2857	1202	2040	1543	1569	1755	2013	2231	2421	1898	2406	1573	1742	983	2543	2488	2023	2165	1546	2442	2040	2382	2323	2730	1994	1624	2153	1060	294	102	239	45	43	49	1418	2635	2598	2217					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	66056	996	614	672	674	442	1663	1434	743	1527	592	994	904	739	968	430	1189	845	1509	837	499	376	450	1113	894	884	536	1409	745	973	997	1262	1066	1242	1098	1599	632	1075	776	872	828	1110	1245	1353	961	1354	828	946	509	1418	1347	1000	1203	734	1285	986	1278	1038	1855	884	932	1032	398	248	101	235	45	36	45	723	1295	1348	1186					
5	"Число избирательных бюллетеней, выданных вне помещения"	4516	112	31	98	42	578	66	48	83	88	155	127	43	39	65	35	64	42	35	15	67	72	57	42	79	41	32	47	76	75	73	62	16	51	10	39	43	78	64	75	132	72	75	43	64	57	37	58	30	52	52	61	33	44	34	33	82	146	43	133	70	73	105	0	0	0	0	0	0	29	22	47	24					
6	Число погашенных избирательных бюллетеней	54506	22	515	497	772	593	826	1065	796	1231	525	916	645	555	880	456	766	879	1274	784	566	332	543	973	940	662	440	1061	657	1014	974	1089	846	1011	705	1219	527	887	703	622	795	831	911	1025	873	995	708	738	444	1073	1089	962	929	768	1123	1021	1022	1139	832	977	622	1048	557	46	1	4	0	7	4	666	1318	1203	1007					
7	Число избирательных бюллетеней в переносных ящиках	4516	112	31	98	42	578	66	48	83	88	155	127	43	39	65	35	64	42	35	15	67	72	57	42	79	41	32	47	76	75	73	62	16	51	10	39	43	78	64	75	132	72	75	43	64	57	37	58	30	52	52	61	33	44	34	33	82	146	43	133	70	73	105	0	0	0	0	0	0	29	22	47	24					
8	Число бюллетеней в стационарных ящиках для голосования	66007	996	614	672	674	442	1661	1434	741	1526	592	991	903	739	968	430	1189	844	1508	836	497	376	450	1112	894	884	536	1398	745	972	997	1262	1066	1242	1096	1599	631	1075	769	872	828	1110	1243	1352	961	1354	828	946	509	1418	1347	1000	1203	731	1285	986	1278	1038	1851	884	932	1032	398	248	101	233	45	36	45	723	1295	1348	1186					
9	Число недействительных избирательных бюллетеней	504	0	11	7	4	11	13	7	7	3	15	4	2	7	12	14	6	5	4	4	5	2	4	11	3	4	5	8	8	12	9	7	4	5	5	9	4	3	7	9	6	7	5	7	5	9	5	11	7	10	16	4	5	2	17	5	11	9	9	8	10	12	2	4	0	6	0	1	1	5	13	16	16					
10	Число действительных избирательных бюллетеней	70019	1108	634	763	712	1009	1714	1475	817	1611	732	1114	944	771	1021	451	1247	881	1539	847	559	446	503	1143	970	921	563	1437	813	1035	1061	1317	1078	1288	1101	1629	670	1150	826	938	954	1175	1313	1388	1020	1402	860	993	532	1460	1383	1057	1231	773	1302	1014	1349	1175	1885	1009	992	1093	501	244	101	227	45	35	44	747	1304	1379	1194					
