Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																												
Дата голосования: 04.12.2011																																												
																																												
Наименование Избирательной комиссии:    Грязовецкая																																												
																																												
Сводная таблица результатов выборов																																												
																																												
		Сумма	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493					
1	"Число избирателей, внесенных в список избирателей"	28900	2286	2506	2304	2101	1891	1111	1953	1319	2178	676	167	157	254	269	117	384	503	537	57	1019	214	305	445	532	387	175	211	606	297	622	393	608	479	187	884	185	581					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	24795	1800	2300	1800	1700	1500	900	1600	1000	1700	600	155	145	250	260	110	380	480	500	55	900	200	300	420	510	370	160	190	580	270	600	360	590	430	180	800	170	530					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	14187	1222	1505	1135	1207	893	577	733	580	1022	311	80	52	133	116	57	212	283	255	15	551	112	125	195	293	117	82	87	244	127	353	183	220	240	95	425	96	254					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2582	138	66	117	104	87	32	91	46	69	33	15	39	37	70	27	46	71	103	25	111	38	78	76	76	84	37	59	138	85	114	79	104	37	18	118	10	104					
6	Число погашенных избирательных бюллетеней	8026	440	729	548	389	520	291	776	374	609	256	60	54	80	74	26	122	126	142	15	238	50	97	149	141	169	41	44	198	58	133	98	266	153	67	257	64	172					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2582	138	66	117	104	87	32	91	46	69	33	15	39	37	70	27	46	71	103	25	111	38	78	76	76	84	37	59	138	85	114	79	104	37	18	118	10	104					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	14185	1222	1505	1135	1207	893	577	733	580	1022	311	80	52	133	116	57	212	283	255	15	551	112	125	195	292	117	82	87	244	127	353	183	220	239	95	425	96	254					
9	Число недействительных избирательных бюллетеней	275	30	28	23	21	18	10	3	14	28	11	1	1	3	1	0	1	2	5	1	11	2	0	2	9	5	0	3	2	4	10	1	5	6	2	5	0	7					
10	Число действительных избирательных бюллетеней	16492	1330	1543	1229	1290	962	599	821	612	1063	333	94	90	167	185	84	257	352	353	39	651	148	203	269	359	196	119	143	380	208	457	261	319	270	111	538	106	351					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	892	45	50	30	50	25	25	40	25	40	20	10	10	10	10	10	45	45	45	5	45	10	20	20	30	17	10	10	20	10	20	30	30	10	10	30	10	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	732	35	32	27	42	21	22	19	21	36	20	1	0	4	0	0	42	43	45	2	45	10	20	18	27	12	10	10	16	10	16	28	30	10	10	22	6	20					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	329	41	19	32	22	17	11	25	7	22	4	6	2	0	2	1	8	5	11	1	8	3	5	4	7	3	2	9	8	3	6	4	5	3	5	11	3	4					
14	Число погашенных неиспользованных открепительных удостоверений	160	10	18	3	8	4	3	21	4	4	0	9	10	6	10	10	3	2	0	3	0	0	0	2	3	5	0	0	4	0	4	2	0	0	0	8	4	0					
