Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																				
Дата голосования: 07.12.2003 0:00:00																																																				
																																																				
Наименование Избирательной комиссии:    Первомайская																																																				
																																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																				
																																																				
		Сумма	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252					
1	"Число избирателей, внесенных в списки"	36492	627	131	84	1227	307	201	2178	1923	195	275	178	795	106	346	94	2093	2973	1964	615	2004	567	359	983	1145	100	1402	322	265	289	825	177	190	1433	2760	1188	349	277	1831	384	1182	1081	268	405	273	121					
2	"Число бюллетеней, полученных участковыми комиссиями"	34944	580	130	77	1150	300	192	2100	1850	194	275	177	770	120	310	94	2020	2750	1950	550	1950	530	330	920	1060	97	1360	320	290	280	810	182	182	1370	2650	1150	330	240	1820	375	1092	1000	260	395	220	142					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	19219	393	80	54	674	160	128	1193	911	119	156	116	429	67	228	71	964	1381	871	335	977	237	193	592	622	50	831	173	180	129	499	108	133	768	1443	512	233	207	1084	226	607	502	194	150	118	121					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1165	26	10	9	31	4	6	54	71	6	10	3	22	5	11	2	51	125	83	21	62	22	10	30	36	12	42	6	7	4	26	8	0	33	41	25	7	5	101	20	30	32	0	11	45	0					
6	Число погашенных бюллетеней	14558	161	40	14	445	136	58	853	868	69	109	58	319	48	71	21	1005	1244	996	194	911	271	127	298	400	35	487	141	103	147	285	66	49	569	1166	613	90	28	635	129	455	466	66	234	57	21					
7	Число бюллетеней в переносных ящиках для голосования	1164	26	10	9	31	4	6	54	71	6	10	3	22	5	11	2	51	125	83	21	62	22	10	30	36	12	42	6	7	4	26	8	0	33	41	25	7	5	100	20	30	32	0	11	45	0					
8	Число бюллетеней в стационарных ящиках для голосования	19203	393	80	54	673	160	128	1193	910	119	156	116	429	67	227	71	964	1379	871	335	977	237	193	592	622	50	831	173	180	129	488	108	133	768	1443	512	233	207	1085	226	607	501	194	150	118	121					
9	Число недействительных бюллетеней	260	3	8	1	10	4	2	13	15	3	2	1	4	0	5	0	4	15	13	5	13	4	9	9	14	2	9	9	3	2	6	5	0	4	14	5	5	0	15	4	3	13	2	1	1	0					
10	Число действительных бюллетеней	20107	416	82	62	694	160	132	1234	966	122	164	118	447	72	233	73	1011	1489	941	351	1026	255	194	613	644	60	864	170	184	131	508	111	133	797	1470	532	235	212	1170	242	634	520	192	160	162	121					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	295	5	2	2	10	2	2	16	15	2	3	2	6	2	3	2	16	22	15	6	16	4	3	8	8	2	12	3	2	2	7	2	2	10	22	10	3	2	14	4	9	8	2	3	2	2					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	129	2	0	0	5	1	0	5	2	0	1	0	2	1	1	0	15	5	11	5	6	0	0	5	8	0	9	1	0	1	3	2	0	5	14	2	0	0	9	3	4	1	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	226	2	0	0	1	3	1	2	5	0	1	0	0	0	0	0	34	20	6	8	10	12	2	6	4	1	7	1	1	1	3	1	4	20	3	1	3	1	6	3	12	15	1	5	17	3					
14	Число погашенных открепительных удостоверений	166	3	2	2	5	1	2	11	13	2	2	2	4	1	2	2	1	17	4	1	10	4	3	3	0	2	3	2	2	1	4	0	2	5	8	8	3	2	5	1	5	7	2	3	2	2					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																				
18	"1. ""ЕДИНЕНИЕ"""	288	4	2	0	9	0	0	11	13	1	0	2	1	0	1	2	20	23	9	8	12	2	5	5	7	0	16	1	5	1	5	3	5	12	43	15	7	3	12	1	7	4	1	4	5	1					
		1.41%	0.95%	2.22%	0.0%	1.27%	0.0%	0.0%	0.88%	1.32%	0.8%	0.0%	1.68%	0.22%	0.0%	0.42%	2.73%	1.97%	1.52%	0.94%	2.24%	1.15%	0.77%	2.46%	0.80%	1.06%	0.0%	1.83%	0.55%	2.67%	0.75%	0.97%	2.58%	3.75%	1.49%	2.89%	2.79%	2.91%	1.41%	1.01%	0.40%	1.09%	0.75%	0.51%	2.48%	3.06%	0.82%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	514	1	1	2	15	1	1	20	17	7	2	0	3	1	1	1	16	42	28	7	38	3	6	11	24	0	66	2	8	2	4	0	2	6	58	34	4	28	13	6	14	10	2	2	3	2					
		2.52%	0.23%	1.11%	3.17%	2.13%	0.60%	0.74%	1.60%	1.73%	5.6%	1.20%	0.0%	0.66%	1.38%	0.42%	1.36%	1.57%	2.79%	2.93%	1.96%	3.65%	1.15%	2.95%	1.76%	3.64%	0.0%	7.56%	1.11%	4.27%	1.50%	0.77%	0.0%	1.50%	0.74%	3.90%	6.33%	1.66%	13.20%	1.09%	2.43%	2.19%	1.87%	1.03%	1.24%	1.84%	1.65%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	471	6	0	0	22	7	2	30	28	2	4	2	7	2	2	0	27	44	20	10	17	10	4	10	9	9	18	3	4	6	19	2	2	16	32	12	2	6	22	9	17	14	5	5	2	1					
