Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																									
Дата голосования: 04.12.2011																									
																									
Наименование Избирательной комиссии:    Анивская																									
																									
Сводная таблица результатов выборов																									
																									
		Сумма	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №361	УИК №362	УИК №363					
1	"Число избирателей, внесенных в список избирателей"	12846	1199	360	166	282	237	356	217	977	702	340	139	2038	1587	1348	313	324	1131	1130					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13330	1320	370	140	270	240	360	215	1025	700	330	140	2200	1600	1370	300	320	1130	1300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	7417	638	192	97	151	164	224	138	482	425	237	102	1401	903	708	131	176	551	697					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	497	17	18	11	7	23	16	18	20	48	27	8	95	34	51	37	30	13	24					
6	Число погашенных избирательных бюллетеней	5416	665	160	32	112	53	120	59	523	227	66	30	704	663	611	132	114	566	579					
7	Число избирательных бюллетеней в переносных ящиках для голосования	497	17	18	11	7	23	16	18	20	48	27	8	95	34	51	37	30	13	24					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7412	638	192	97	151	164	223	138	482	425	237	102	1401	903	706	131	176	549	697					
9	Число недействительных избирательных бюллетеней	118	10	4	2	3	4	2	2	10	13	3	2	21	17	10	1	0	5	9					
10	Число действительных избирательных бюллетеней	7791	645	206	106	155	183	237	154	492	460	261	108	1475	920	747	167	206	557	712					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	212	27	3	3	2	5	5	2	26	16	6	4	28	20	22	3	2	20	18					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	210	27	3	3	2	5	5	2	26	16	6	4	27	20	22	3	2	20	17					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	82	6	2	7	7	3	4	3	4	8	3	4	5	6	7	1	3	4	5					
14	Число погашенных неиспользованных открепительных удостоверений	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	1	0	0	0	0	0	0	0	1	0	0	0	3	1	0	1	0	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																									
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	865	69	33	9	13	28	22	19	68	37	31	13	115	114	91	14	19	78	92					
		10.94%	10.53%	15.71%	8.33%	8.23%	14.97%	9.21%	12.18%	13.55%	7.82%	11.74%	11.82%	7.69%	12.17%	12.02%	8.33%	9.22%	13.88%	12.76%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1393	112	37	32	33	24	32	29	86	68	50	7	325	164	130	26	30	99	109					
		17.61%	17.10%	17.62%	29.63%	20.89%	12.83%	13.39%	18.59%	17.13%	14.38%	18.94%	6.36%	21.72%	17.50%	17.17%	15.48%	14.56%	17.62%	15.12%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	101	12	1	1	1	0	1	1	7	4	3	2	12	16	13	2	7	11	7					
		1.28%	1.83%	0.48%	0.93%	0.63%	0.00%	0.42%	0.64%	1.39%	0.85%	1.14%	1.82%	0.80%	1.71%	1.72%	1.19%	3.40%	1.96%	0.97%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1632	162	29	28	32	41	38	27	119	110	54	29	248	210	136	32	43	114	180					
		20.63%	24.73%	13.81%	25.93%	20.25%	21.93%	15.90%	17.31%	23.71%	23.26%	20.45%	26.36%	16.58%	22.41%	17.97%	19.05%	20.87%	20.28%	24.97%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	155	24	4	1	3	1	3	2	10	4	5	1	35	15	15	2	6	7	17					
		1.96%	3.66%	1.90%	0.93%	1.90%	0.53%	1.26%	1.28%	1.99%	0.85%	1.89%	0.91%	2.34%	1.60%	1.98%	1.19%	2.91%	1.25%	2.36%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3592	262	100	35	72	89	141	76	198	236	117	56	730	393	352	91	100	245	299					
		45.42%	40.00%	47.62%	32.41%	45.57%	47.59%	58.99%	48.72%	39.44%	49.89%	44.32%	50.91%	48.80%	41.94%	46.50%	54.17%	48.54%	43.59%	41.47%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	53	4	2	0	1	0	0	0	4	1	1	0	10	8	10	0	1	3	8					
		0.67%	0.61%	0.95%	0.00%	0.63%	0.00%	0.00%	0.00%	0.80%	0.21%	0.38%	0.00%	0.67%	0.85%	1.32%	0.00%	0.49%	0.53%	1.11%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
