Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																														
Дата голосования: 04.12.2011																																																														
																																																														
Наименование Избирательной комиссии:    Ухтинская городская																																																														
																																																														
Сводная таблица результатов выборов																																																														
																																																														
		Сумма	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398					
1	"Число избирателей, внесенных в список избирателей"	98212	2731	715	1728	2290	2108	1873	2040	1826	1947	2662	2740	1366	1173	1407	818	651	1581	2226	2296	1616	2184	2383	2612	2034	1780	2080	1518	1683	1667	1894	2115	2144	1783	1916	1506	2131	2071	1761	1118	2262	1973	1875	2274	601	675	1934	293	2164	1678	1850	1783	1287	1857	1765	1767					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	90075	2400	700	1600	2100	1900	1800	1900	1700	1800	2400	2500	1200	1100	1300	800	630	1400	2000	2000	1500	2000	2200	2300	1800	1600	1900	1400	1600	1500	1800	2000	2000	1700	1700	1400	2000	1900	1600	1000	2100	1900	1700	2100	450	500	1800	295	2000	1600	1700	1700	1200	1700	1600	1600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	2235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1145	36	352	0	347	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	69181	1905	439	1395	2005	1529	1359	1848	1340	1354	1760	2013	720	819	975	661	196	1127	1635	1625	1093	1229	1255	2165	1658	1252	1189	1341	1328	1057	1562	1496	1868	1348	1535	1118	1707	1432	1330	986	1560	1045	1324	1702	399	439	374	211	1384	894	1018	786	1027	1648	1399	1317					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1561	40	110	6	24	20	22	38	45	52	46	33	25	28	44	15	0	22	31	21	10	30	26	39	47	15	25	22	11	3	17	94	30	14	8	50	27	16	7	7	29	18	4	32	0	12	13	0	69	60	56	54	25	41	10	18					
6	Число погашенных избирательных бюллетеней	17098	455	151	199	71	351	419	14	315	394	594	454	455	253	281	124	79	251	334	354	397	741	919	96	95	333	686	37	261	440	221	410	102	338	157	232	266	452	263	7	511	837	372	366	51	49	268	48	195	646	279	860	148	11	191	265					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3796	40	110	6	24	20	22	38	45	52	46	33	25	28	44	15	355	22	31	21	10	30	26	39	47	15	25	22	11	3	17	94	30	14	8	50	27	16	7	7	29	18	4	32	0	12	1158	36	421	60	403	54	25	41	10	18					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	69049	1901	439	1395	2005	1520	1359	1847	1339	1354	1750	2011	720	816	973	661	196	1107	1632	1623	1093	1216	1255	2160	1658	1252	1189	1341	1317	1054	1562	1496	1860	1347	1527	1116	1707	1416	1330	986	1560	1045	1322	1702	399	439	374	211	1381	891	1018	786	1027	1648	1399	1317					
9	Число недействительных избирательных бюллетеней	927	10	23	13	7	28	11	26	16	50	19	14	15	24	19	13	4	6	15	18	15	31	35	14	9	13	50	19	15	19	16	10	5	9	10	17	16	12	22	7	5	21	10	59	2	5	13	5	7	25	15	14	24	12	20	15					
10	Число действительных избирательных бюллетеней	71918	1931	526	1388	2022	1512	1370	1859	1368	1356	1777	2030	730	820	998	663	547	1123	1648	1626	1088	1215	1246	2185	1696	1254	1164	1344	1313	1038	1563	1580	1885	1352	1525	1149	1718	1420	1315	986	1584	1042	1316	1675	397	446	1519	242	1795	926	1406	826	1028	1677	1389	1320					
