Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																															
Дата голосования: 02.12.2007																																																															
																																																															
Наименование Избирательной комиссии:    Ухтинская городская																																																															
																																																															
Сводная таблица результатов выборов																																																															
																																																															
		Сумма	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301					
1	"Число избирателей, внесенных в списки избирателей"	98234	2836	676	1720	2526	2201	1993	2167	1864	1882	2323	2908	1371	1217	1519	839	396	1628	2218	2239	1575	2268	2396	2887	1382	528	1803	2260	1648	1822	1613	2022	2371	1875	2753	1076	1667	2030	2302	1827	923	2806	1882	1908	3141	777	280	1833	1702	1424	108	1903	1213	2137	141	1863	1565					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	89322	2600	650	1600	2200	2000	1800	2000	1700	1700	2100	2600	1300	1100	1400	800	350	1500	2000	2000	1400	2100	2200	2800	1172	500	1800	2000	1500	1500	1500	2000	2000	1800	2500	1000	1500	1900	2100	1600	800	2500	1700	1700	2700	750	250	1700	1500	1400	120	1700	1000	2000	130	1700	1400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	60305	1759	345	914	1277	1392	1215	1319	1220	1154	1409	1696	752	702	956	529	299	876	1155	1203	891	1351	1438	2618	1130	294	1149	1439	1024	1088	1007	1248	1399	1145	1739	707	988	1306	1448	1074	572	1654	1147	1108	2390	397	250	960	956	829	63	956	622	1400	65	1269	1012					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1730	51	36	15	24	31	25	38	38	38	26	56	37	27	34	19	0	20	61	33	21	28	29	25	34	10	21	25	30	22	9	15	26	30	24	2	13	22	31	16	11	22	20	10	303	18	0	50	41	32	17	45	28	50	0	19	22					
6	Число погашенных избирательных бюллетеней	27287	790	269	671	899	577	560	643	442	508	665	848	511	371	410	252	51	604	784	764	488	721	733	157	8	196	630	536	446	390	484	737	575	625	737	291	499	572	621	510	217	824	533	582	7	335	0	690	503	539	40	699	350	550	65	412	366					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1729	51	36	15	24	31	25	38	38	38	26	56	37	27	34	19	0	20	61	33	21	28	29	25	34	10	21	25	30	22	9	15	26	30	24	2	13	22	31	16	11	22	20	10	302	18	0	50	41	32	17	45	28	50	0	19	22					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	60226	1759	345	914	1277	1392	1212	1319	1220	1154	1409	1696	751	702	955	529	299	876	1152	1201	891	1351	1436	2618	1130	294	1149	1439	1024	1086	1001	1248	1399	1145	1738	707	988	1306	1426	1058	572	1654	1145	1108	2377	397	250	957	956	829	63	956	622	1399	65	1269	1011					
9	Число недействительных избирательных бюллетеней	606	12	9	8	13	16	17	11	13	18	15	18	4	10	11	5	1	6	19	8	9	17	15	20	14	4	6	16	6	10	5	11	17	16	18	2	9	12	12	11	6	9	12	7	13	5	3	17	10	8	1	12	7	24	0	11	17					
10	Число действительных избирательных бюллетеней	61349	1798	372	921	1288	1407	1220	1346	1245	1174	1420	1734	784	719	978	543	298	890	1194	1226	903	1362	1450	2623	1150	300	1164	1448	1048	1098	1005	1252	1408	1159	1744	707	992	1316	1445	1063	577	1667	1153	1111	2666	410	247	990	987	853	79	989	643	1425	65	1277	1016					
