Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																						
Дата голосования: 04.12.2011																																																						
																																																						
Наименование Избирательной комиссии:    Кантемировская																																																						
																																																						
Сводная таблица результатов выборов																																																						
																																																						
		Сумма	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847					
1	"Число избирателей, внесенных в список избирателей"	29942	1282	1250	1367	928	999	877	1527	58	580	451	566	223	830	207	60	671	367	373	336	743	1182	643	707	1258	138	356	695	214	407	1087	1146	290	387	171	454	270	1193	761	316	1182	123	655	225	193	255	1009	930					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	30610	1300	1200	1370	920	1030	930	1550	70	600	470	600	230	830	210	60	680	380	390	370	750	1190	670	730	1280	150	370	740	210	420	1100	1200	310	390	170	480	290	1210	800	320	1200	130	660	230	210	260	1050	900					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	15506	726	653	594	466	428	469	853	31	310	250	305	165	369	76	35	328	211	208	175	380	519	311	363	602	74	178	340	94	230	609	552	184	171	120	282	174	793	439	172	509	65	347	128	147	118	469	484					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	4597	101	81	129	85	84	136	101	10	141	96	107	39	271	76	12	101	87	67	48	40	123	61	55	69	17	61	90	54	73	280	242	75	150	23	40	54	218	154	81	369	32	117	48	25	59	59	156					
6	Число погашенных избирательных бюллетеней	10507	473	466	647	369	518	325	596	29	149	124	188	26	190	58	13	251	82	115	147	330	548	298	312	609	59	131	310	62	117	211	406	51	69	27	158	62	199	207	67	322	33	196	54	38	83	522	260					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4597	101	81	129	85	84	136	101	10	141	96	107	39	271	76	12	101	87	67	48	40	123	61	55	69	17	61	90	54	73	280	242	75	150	23	40	54	218	154	81	369	32	117	48	25	59	59	156					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	15496	726	653	594	461	428	469	853	31	310	250	305	165	369	76	35	328	211	208	175	379	519	310	363	602	74	178	340	94	230	606	552	184	171	120	282	174	793	439	172	509	65	347	128	147	118	469	484					
9	Число недействительных избирательных бюллетеней	239	11	9	11	7	11	9	8	0	3	1	7	0	3	1	0	8	2	3	0	8	17	3	6	15	3	4	2	1	4	5	8	6	5	1	8	2	8	5	5	0	1	3	0	4	2	13	6					
10	Число действительных избирательных бюллетеней	19854	816	725	712	539	501	596	946	41	448	345	405	204	637	151	47	421	296	272	223	411	625	368	412	656	88	235	428	147	299	881	786	253	316	142	314	226	1003	588	248	878	96	461	176	168	175	515	634					
