Выборы Президента Российской Федерации																																																																	
																																																																	
"Наименование Избирательной комиссии:    Челябинск, Тракторозаводская"																																																																	
																																																																	
Итоги голосования 																																																																	
																																																																	
		Сумма	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №2198					
1	"Число избирателей, внесенных в список"	119199	2420	1492	1308	2599	1595	1784	1120	1733	1712	1765	1745	2493	1622	1559	1611	2196	2083	2493	1516	2113	1901	1585	1603	2338	2506	2338	1980	2699	2796	2453	1557	1593	1963	2365	2186	2192	2699	2505	2611	2082	1925	2074	2336	1675	1746	2553	2620	2612	2940	2366	2525	2495	2425	2749	1978	1641	1124	504					
2	Число полученных избирательных бюллетеней	109050	2200	1390	1220	2380	1420	1640	1060	1620	1560	1610	1580	2230	1480	1420	1450	2190	1990	2290	1380	1920	1670	1440	1450	2160	2270	2130	1810	2450	2530	2250	1410	1450	1780	2150	2020	2040	2470	2450	2350	1900	1730	1880	2120	1530	1530	2330	2400	2360	2650	2150	2290	2270	2240	2540	1760	1490	1040	530					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	66467	1499	966	765	1475	911	988	636	925	909	928	1101	1378	894	891	973	1333	1256	1448	820	1042	1124	892	840	1347	1398	1412	1172	1736	1647	1387	824	931	1169	1315	1238	1241	1471	1496	1319	1109	938	1274	1469	899	832	1370	1408	1420	1502	1343	1465	1372	1315	1573	883	683	505	10					
5	"Число избирательных бюллетеней, выданных вне помещения"	3626	46	41	28	71	26	17	21	57	58	48	50	51	31	33	63	32	57	21	43	44	48	51	18	86	100	49	46	53	49	51	115	43	49	60	60	30	80	20	57	46	46	25	47	40	102	77	172	66	100	37	43	28	112	66	111	84	27	494					
6	Число погашенных избирательных бюллетеней	38957	655	383	427	834	483	635	403	638	593	634	429	801	555	496	414	825	677	821	517	834	498	497	592	727	772	669	592	661	834	812	471	476	562	775	722	769	919	934	974	745	746	581	604	591	596	883	820	874	1048	770	782	870	813	901	766	723	508	26					
7	Число избирательных бюллетеней в переносных ящиках	3626	46	41	28	71	26	17	21	57	58	48	50	51	31	33	63	32	57	21	43	44	48	51	18	86	100	49	46	53	49	51	115	43	49	60	60	30	80	20	57	46	46	25	47	40	102	77	172	66	100	37	43	28	112	66	111	84	27	494					
8	Число бюллетеней в стационарных ящиках для голосования	66414	1499	966	763	1475	911	988	635	925	907	928	1100	1376	894	891	973	1333	1255	1448	817	1041	1124	892	840	1347	1393	1412	1170	1736	1642	1385	824	931	1168	1313	1238	1241	1471	1496	1315	1109	937	1271	1469	899	832	1370	1406	1420	1502	1342	1465	1369	1314	1573	883	675	505	10					
9	Число недействительных избирательных бюллетеней	629	15	11	2	10	0	13	10	12	8	5	14	9	9	2	6	23	24	6	8	12	7	5	9	13	11	12	11	17	21	12	18	15	15	18	6	14	29	21	11	3	6	5	11	2	17	8	16	11	11	5	12	11	13	7	13	6	7	1					
10	Число действительных избирательных бюллетеней	69411	1530	996	789	1536	937	992	646	970	957	971	1136	1418	916	922	1030	1342	1288	1463	852	1073	1165	938	849	1420	1482	1449	1205	1772	1670	1424	921	959	1202	1355	1292	1257	1522	1495	1361	1152	977	1291	1505	937	917	1439	1562	1475	1591	1374	1496	1386	1413	1632	981	753	525	503					
11	Число полученных открепительных  удостоверений	2590	50	40	40	50	40	40	40	40	40	40	40	50	40	40	40	50	50	50	40	50	40	40	40	50	50	50	40	50	50	50	40	40	40	50	50	50	50	50	50	50	40	50	50	40	40	50	50	50	50	50	50	50	50	50	40	40	40	0					
12	Число выданных открепительных удостоверений	1176	33	16	17	30	18	17	14	17	11	20	16	18	19	20	18	40	19	40	20	20	20	14	14	30	33	27	23	36	20	26	24	15	17	18	20	23	25	26	15	10	11	26	27	13	3	20	27	17	24	20	27	16	27	30	11	11	7	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1108	51	23	26	23	19	13	12	22	10	18	20	27	11	12	21	25	20	21	17	17	33	15	18	14	31	14	13	31	25	11	12	9	20	16	20	16	23	16	16	25	14	22	14	11	23	9	16	24	17	24	16	10	26	11	46	12	4	23					
14	Число неиспользованных открепительных удостоверений	1414	17	24	23	20	22	23	26	23	29	20	24	32	21	20	22	10	31	10	20	30	20	26	26	20	17	23	17	14	30	24	16	25	23	32	30	27	25	24	35	40	29	24	23	27	37	30	23	33	26	30	23	34	23	20	29	29	33	0					
