Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Южноуральская городская																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №2198	УИК №2199	УИК №2200	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	29448	1373	1559	1477	1379	1453	1457	1543	1505	1580	1453	1413	1479	1512	1464	1377	1389	1533	1401	1589	1512									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	26000	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13547	439	527	721	642	656	722	673	728	666	703	669	713	716	633	723	646	760	727	773	710									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	365	16	22	12	10	17	19	24	12	21	13	57	12	17	39	8	21	7	20	2	16									
6	Число погашенных избирательных бюллетеней	12087	845	751	567	648	627	559	603	560	613	584	574	575	567	628	569	633	533	552	525	574									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	365	16	22	12	10	17	19	24	12	21	13	57	12	17	39	8	21	7	20	2	16									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13535	439	527	721	642	656	722	673	725	666	703	667	712	715	631	722	646	760	727	771	710									
9	Число недействительных избирательных бюллетеней	377	16	16	17	17	9	22	21	21	15	6	26	24	21	14	26	18	36	22	16	14									
10	Число действительных избирательных бюллетеней	13523	439	533	716	635	664	719	676	716	672	710	698	700	711	656	704	649	731	725	757	712									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	201	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	11									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	101	4	1	5	3	5	5	7	9	4	6	7	5	3	4	2	4	7	6	8	6									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	84	0	2	1	4	7	8	4	5	8	5	6	1	3	8	0	2	3	10	3	4									
