Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																	
Дата голосования: 18.09.2016																																																																																	
																																																																																	
Наименование Избирательной комиссии:    Анапская																																																																																	
																																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																	
																																																																																	
		Сумма	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	129738	2446	2552	2497	2623	2653	2065	2428	2874	2767	2297	2531	2030	2779	2224	2457	2791	2863	1714	533	3031	2637	2313	2437	1520	1752	2017	374	993	1144	2044	2709	1784	2180	1403	643	2663	1182	936	2245	2039	2600	1556	415	1354	1035	437	535	503	2903	1246	635	2261	1300	809	1092	952	1360	2765	2043	1414	2027	657	1487	2200	2758	2101	2658	1690	1741	2034									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	114713	2140	1925	2052	1992	2717	1686	2013	2226	2300	2168	2350	1667	2476	1915	2246	2322	2552	1193	445	2573	2287	1981	2156	1354	1534	1901	364	827	965	1787	2134	1479	2282	989	598	2267	1040	819	2112	1908	2346	1597	507	1481	915	389	644	558	2538	1209	611	2111	1317	757	1062	811	1140	2343	1729	1300	1744	625	1544	2120	2315	1708	2332	1691	1651	1876									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	60499	827	1320	1543	941	1589	717	804	2099	598	1271	1521	995	1419	730	883	1163	1055	902	134	1047	1037	690	1453	296	727	1521	243	316	935	1080	1192	762	960	686	221	1025	534	282	982	694	588	1078	150	592	605	201	259	197	1679	500	343	695	1275	574	860	411	332	1274	873	846	1225	498	932	1925	1214	671	1002	1108	694	704									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1914	102	23	19	29	29	24	25	25	11	12	8	16	53	3	19	23	19	11	20	59	26	25	28	8	12	22	0	5	25	18	30	14	20	39	15	23	4	20	19	59	31	28	8	48	11	23	59	87	18	135	50	18	0	9	12	17	12	78	16	41	34	0	23	29	27	36	16	28	24	54									
6	Число погашенных избирательных бюллетеней	52300	1211	582	490	1022	1099	945	1184	102	1691	885	821	656	1004	1182	1344	1136	1478	280	291	1467	1224	1266	675	1050	795	358	121	506	5	689	912	703	1302	264	362	1219	502	517	1111	1155	1727	491	349	841	299	165	326	274	841	574	218	1398	42	174	190	383	796	991	840	413	485	127	589	166	1074	1001	1314	555	933	1118									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1914	102	23	19	29	29	24	25	25	11	12	8	16	53	3	19	23	19	11	20	59	26	25	28	8	12	22	0	5	25	18	30	14	20	39	15	23	4	20	19	59	31	28	8	48	11	23	59	87	18	135	50	18	0	9	12	17	12	78	16	41	34	0	23	29	27	36	16	28	24	54									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	60442	827	1320	1543	941	1589	717	804	2099	598	1271	1521	995	1419	730	883	1163	1055	881	134	1046	1037	690	1453	296	727	1521	243	316	935	1080	1158	762	960	686	221	1025	534	282	982	694	588	1078	150	592	605	201	259	197	1679	500	343	694	1275	574	860	411	332	1274	873	846	1225	498	932	1925	1214	671	1002	1108	694	704									
9	Число недействительных избирательных бюллетеней	671	14	15	29	8	25	17	2	0	12	2	10	25	15	14	2	32	9	8	2	12	17	5	101	10	0	5	0	5	0	31	16	6	18	13	25	7	10	2	0	0	3	8	1	3	0	0	4	4	17	0	2	12	0	0	0	6	4	16	0	8	0	0	5	7	8	8	9	6	5	11									
10	Число действительных избирательных бюллетеней	61685	915	1328	1533	962	1593	724	827	2124	597	1281	1519	986	1457	719	900	1154	1065	884	152	1093	1046	710	1380	294	739	1538	243	316	960	1067	1172	770	962	712	211	1041	528	300	1001	753	616	1098	157	637	616	224	314	280	1680	635	391	700	1275	583	872	422	340	1336	889	879	1259	498	950	1947	1233	699	1009	1130	713	747									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1087	15	15	15	25	20	15	30	20	20	27	40	15	20	15	20	20	25	10	5	30	20	20	20	15	15	15	5	10	10	15	15	15	20	10	10	20	10	10	15	15	20	15	5	15	10	5	5	5	25	10	5	15	15	10	10	10	10	20	15	15	15	10	15	15	20	15	25	15	15	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	691	8	11	10	20	12	10	27	18	14	27	31	9	16	10	15	13	25	6	2	20	11	20	7	6	11	15	5	2	1	6	5	2	17	10	8	6	0	0	15	15	20	3	1	9	10	0	3	3	21	6	1	6	5	4	3	9	3	11	10	3	6	2	7	15	4	10	21	9	8	12									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2765	237	78	68	256	189	68	49	118	22	46	27	30	22	31	86	13	25	465	7	64	7	12	10	1	0	10	0	116	2	50	188	19	11	1	2	1	1	3	6	4	1	7	7	2	3	1	35	4	35	5	25	13	4	8	0	6	11	7	13	26	107	0	7	5	40	14	11	4	7	12									
14	Число погашенных неиспользованных открепительных удостоверений	396	7	4	5	5	8	5	3	2	6	0	9	6	4	5	5	7	0	4	3	10	9	0	13	9	4	0	0	8	9	9	10	13	3	0	2	14	10	10	0	0	0	12	4	6	0	5	2	2	4	4	4	9	10	6	7	1	7	9	5	12	9	8	8	0	16	5	4	6	7	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	114	1	0	6	0	3	3	0	9	2	2	7	1	5	8	4	4	3	0	0	5	0	2	1	1	2	3	0	0	0	0	1	0	3	0	0	0	0	0	1	0	1	1	0	0	2	0	0	0	8	0	0	1	1	0	2	0	1	2	1	2	0	0	3	2	2	2	4	1	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	800	22	26	35	16	16	16	19	10	34	2	5	4	23	23	19	24	14	36	1	19	20	9	13	8	0	10	0	3	5	25	14	16	14	9	3	6	5	1	7	2	2	2	0	5	9	0	2	0	26	7	6	20	0	1	3	4	1	11	40	7	1	1	4	14	9	15	16	23	19	18									
		1.28%	2.37%	1.94%	2.24%	1.65%	0.99%	2.16%	2.29%	0.47%	5.58%	0.16%	0.33%	0.40%	1.56%	3.14%	2.11%	2.02%	1.30%	4.04%	0.65%	1.72%	1.88%	1.26%	0.88%	2.63%	0.00%	0.65%	0.00%	0.93%	0.52%	2.28%	1.18%	2.06%	1.43%	1.24%	1.27%	0.57%	0.93%	0.33%	0.70%	0.27%	0.32%	0.18%	0.00%	0.78%	1.46%	0.00%	0.63%	0.00%	1.53%	1.10%	1.53%	2.81%	0.00%	0.17%	0.34%	0.93%	0.29%	0.81%	4.50%	0.79%	0.08%	0.20%	0.42%	0.72%	0.73%	2.12%	1.57%	2.02%	2.65%	2.37%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	784	14	19	17	17	9	17	16	0	8	3	5	0	18	17	18	9	11	20	3	14	20	8	15	4	10	19	0	4	10	23	21	3	17	14	4	26	9	6	9	6	0	3	2	13	13	0	5	4	20	11	5	19	0	1	62	4	8	21	15	2	2	6	6	12	17	0	6	42	15	7									
		1.26%	1.51%	1.41%	1.09%	1.75%	0.56%	2.29%	1.93%	0.00%	1.31%	0.23%	0.33%	0.00%	1.22%	2.32%	1.99%	0.76%	1.02%	2.24%	1.95%	1.27%	1.88%	1.12%	1.01%	1.32%	1.35%	1.23%	0.00%	1.25%	1.04%	2.09%	1.77%	0.39%	1.73%	1.93%	1.69%	2.48%	1.67%	1.99%	0.90%	0.80%	0.00%	0.27%	1.27%	2.03%	2.11%	0.00%	1.57%	1.41%	1.18%	1.73%	1.27%	2.67%	0.00%	0.17%	7.11%	0.93%	2.33%	1.55%	1.69%	0.23%	0.16%	1.20%	0.63%	0.61%	1.37%	0.00%	0.59%	3.70%	2.09%	0.92%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	806	31	14	23	24	7	14	21	20	14	0	6	0	16	24	13	23	9	21	5	20	14	10	19	4	11	13	0	5	10	18	16	10	8	8	3	12	0	5	12	2	0	9	2	11	8	0	6	5	30	5	8	18	2	1	9	11	2	29	23	8	2	1	4	17	9	2	21	38	16	24									
		1.29%	3.34%	1.04%	1.47%	2.47%	0.43%	1.89%	2.53%	0.94%	2.30%	0.00%	0.39%	0.00%	1.09%	3.27%	1.44%	1.94%	0.84%	2.35%	3.25%	1.81%	1.32%	1.40%	1.28%	1.32%	1.49%	0.84%	0.00%	1.56%	1.04%	1.64%	1.35%	1.29%	0.82%	1.10%	1.27%	1.15%	0.00%	1.66%	1.20%	0.27%	0.00%	0.81%	1.27%	1.72%	1.30%	0.00%	1.89%	1.76%	1.77%	0.79%	2.04%	2.53%	0.16%	0.17%	1.03%	2.57%	0.58%	2.14%	2.59%	0.90%	0.16%	0.20%	0.42%	0.87%	0.73%	0.28%	2.06%	3.35%	2.23%	3.17%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	43290	383	897	1058	409	1181	407	405	1785	276	947	1334	758	984	303	396	791	704	467	78	593	684	530	1060	154	531	1234	198	203	811	651	814	575	675	466	118	868	398	210	731	573	439	794	102	355	440	181	206	191	1250	461	316	380	1110	466	699	277	220	930	488	692	1135	453	716	1636	957	397	671	767	431	490									
