Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																
Дата голосования: 18.09.2016																																
																																
Наименование Избирательной комиссии:    Камбарская																																
																																
Сводная таблица итогов голосования по федеральному избирательному округу																																
																																
		Сумма	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14830	957	984	1095	1077	1008	1139	925	936	534	222	235	701	929	851	1006	518	381	540	325	137	330									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11050	700	700	800	800	750	800	700	650	400	200	200	500	700	600	750	400	300	500	250	100	250									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7226	532	541	485	581	463	480	520	402	248	124	113	418	449	392	460	263	149	247	173	70	116									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	523	22	30	21	20	19	28	13	25	15	11	31	15	24	57	50	18	38	34	13	10	29									
6	Число погашенных избирательных бюллетеней	3301	146	129	294	199	268	292	167	223	137	65	56	67	227	151	240	119	113	219	64	20	105									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	523	22	30	21	20	19	28	13	25	15	11	31	15	24	57	50	18	38	34	13	10	29									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7225	532	541	484	581	463	480	520	402	248	124	113	418	449	392	460	263	149	247	173	70	116									
9	Число недействительных избирательных бюллетеней	199	21	17	14	24	11	16	11	8	9	3	4	14	8	4	10	5	5	6	4	1	4									
10	Число действительных избирательных бюллетеней	7549	533	554	491	577	471	492	522	419	254	132	140	419	465	445	500	276	182	275	182	79	141									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	210	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	40	4	2	2	2	3	2	2	1	0	0	0	8	2	5	2	2	0	0	2	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	30	1	3	2	2	13	1	0	0	0	0	0	1	0	1	4	0	1	1	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	170	6	8	8	8	7	8	8	9	10	10	10	2	8	5	8	8	10	10	8	9	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	24	3	6	4	1	2	2	1	0	1	0	0	1	0	0	2	0	0	0	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	76	5	4	5	8	5	9	3	6	2	2	0	2	2	6	6	2	1	2	4	2	0									
