Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																												
Дата голосования: 18.09.2016																																												
																																												
Наименование Избирательной комиссии:    Кваркенская																																												
																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																												
																																												
		Сумма	УИК №526	УИК №528	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №552	УИК №553	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	15070	728	99	514	644	107	437	223	2046	1119	303	237	826	104	573	208	192	1328	850	305	425	99	656	77	647	489	393	165	157	171	186	477	151	134									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15433	753	97	534	664	112	447	222	2072	1149	310	238	859	110	597	213	200	1371	871	294	434	99	662	83	657	504	385	171	175	176	192	490	155	137									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6843	266	35	265	346	66	172	59	888	529	124	106	358	49	224	102	100	523	380	154	148	37	297	35	321	207	251	100	78	114	88	287	77	57									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	459	42	2	15	13	4	16	25	21	11	5	3	17	4	26	4	21	28	12	22	19	0	0	0	8	51	18	1	8	6	7	16	14	20									
6	Число погашенных избирательных бюллетеней	8131	445	60	254	305	42	259	138	1163	609	181	129	484	57	347	107	79	820	479	118	267	62	365	48	328	246	116	70	89	56	97	187	64	60									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	459	42	2	15	13	4	16	25	21	11	5	3	17	4	26	4	21	28	12	22	19	0	0	0	8	51	18	1	8	6	7	16	14	20									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6843	266	35	265	346	66	172	59	888	529	124	106	358	49	224	102	100	523	380	154	148	37	297	35	321	207	251	100	78	114	88	287	77	57									
9	Число недействительных избирательных бюллетеней	203	3	1	7	6	0	8	2	30	13	1	2	10	0	5	9	1	24	19	7	3	1	8	2	14	4	6	1	0	5	4	2	0	5									
10	Число действительных избирательных бюллетеней	7099	305	36	273	353	70	180	82	879	527	128	107	365	53	245	97	120	527	373	169	164	36	289	33	315	254	263	100	86	115	91	301	91	72									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	274	15	0	8	6	1	10	5	34	17	6	5	11	2	12	4	4	30	19	5	9	0	15	2	14	6	6	3	1	4	3	11	3	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	230	15	0	7	6	1	10	2	20	17	6	4	11	2	12	4	4	30	19	4	9	0	4	2	1	6	6	3	1	4	3	11	3	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	77	3	4	1	3	1	4	5	10	3	1	5	0	1	1	2	1	2	2	3	2	3	2	3	0	0	3	3	1	1	1	1	1	4									
14	Число погашенных неиспользованных открепительных удостоверений	44	0	0	1	0	0	0	3	14	0	0	1	0	0	0	0	0	0	0	1	0	0	11	0	13	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	75	1	0	10	11	2	0	0	6	8	0	0	10	0	1	0	0	0	1	1	0	0	0	0	0	5	2	0	16	0	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	59	1	0	3	1	0	3	0	8	2	1	1	2	1	2	0	0	5	1	1	4	0	5	0	5	1	2	3	0	1	1	3	1	1									
		0.81%	0.32%	0.00%	1.07%	0.28%	0.00%	1.60%	0.00%	0.88%	0.37%	0.78%	0.92%	0.53%	1.89%	0.80%	0.00%	0.00%	0.91%	0.26%	0.57%	2.40%	0.00%	1.68%	0.00%	1.52%	0.39%	0.74%	2.97%	0.00%	0.83%	1.05%	0.99%	1.10%	1.30%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	257	11	1	14	5	1	16	3	31	26	3	7	15	1	11	1	2	21	12	4	9	2	10	2	11	6	4	3	2	4	1	14	1	3									
		3.52%	3.57%	2.70%	5.00%	1.39%	1.43%	8.51%	3.57%	3.41%	4.81%	2.33%	6.42%	4.00%	1.89%	4.40%	0.94%	1.65%	3.81%	3.06%	2.27%	5.39%	5.41%	3.37%	5.71%	3.34%	2.33%	1.49%	2.97%	2.33%	3.33%	1.05%	4.62%	1.10%	3.90%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	132	3	0	3	2	1	6	2	9	18	0	1	9	0	10	4	0	4	11	4	4	0	7	1	6	5	3	1	3	2	3	6	2	2									
		1.81%	0.97%	0.00%	1.07%	0.56%	1.43%	3.19%	2.38%	0.99%	3.33%	0.00%	0.92%	2.40%	0.00%	4.00%	3.77%	0.00%	0.73%	2.81%	2.27%	2.40%	0.00%	2.36%	2.86%	1.82%	1.94%	1.12%	0.99%	3.49%	1.67%	3.16%	1.98%	2.20%	2.60%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3133	136	28	103	213	54	58	37	295	183	69	48	161	27	105	56	80	145	130	59	82	16	102	14	171	146	153	54	45	58	35	176	68	26									
		42.91%	44.16%	75.68%	36.79%	59.33%	77.14%	30.85%	44.05%	32.45%	33.89%	53.49%	44.04%	42.93%	50.94%	42.00%	52.83%	66.12%	26.32%	33.16%	33.52%	49.10%	43.24%	34.34%	40.00%	51.98%	56.59%	56.88%	53.47%	52.33%	48.33%	36.84%	58.09%	74.73%	33.77%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	28	6	0	0	0	0	3	0	1	4	0	1	2	0	1	0	0	0	1	0	1	0	2	0	0	0	0	1	0	2	0	3	0	0									
		0.38%	1.95%	0.00%	0.00%	0.00%	0.00%	1.60%	0.00%	0.11%	0.74%	0.00%	0.92%	0.53%	0.00%	0.40%	0.00%	0.00%	0.00%	0.26%	0.00%	0.60%	0.00%	0.67%	0.00%	0.00%	0.00%	0.00%	0.99%	0.00%	1.67%	0.00%	0.99%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	14	0	0	0	0	0	0	0	1	3	0	0	1	0	0	0	2	1	0	0	1	0	1	0	0	1	2	0	0	1	0	0	0	0									
		0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.56%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	1.65%	0.18%	0.00%	0.00%	0.60%	0.00%	0.34%	0.00%	0.00%	0.39%	0.74%	0.00%	0.00%	0.83%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1803	76	6	90	49	4	33	20	295	136	19	19	106	15	62	22	16	204	123	65	35	10	100	9	67	46	33	9	18	22	31	34	12	17									
		24.69%	24.68%	16.22%	32.14%	13.65%	5.71%	17.55%	23.81%	32.45%	25.19%	14.73%	17.43%	28.27%	28.30%	24.80%	20.75%	13.22%	37.02%	31.38%	36.93%	20.96%	27.03%	33.67%	25.71%	20.36%	17.83%	12.27%	8.91%	20.93%	18.33%	32.63%	11.22%	13.19%	22.08%									
