Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																	
Дата голосования: 18.09.2016																																	
																																	
Наименование Избирательной комиссии:    Красносельская																																	
																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																	
																																	
		Сумма	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	15736	2258	2280	2261	643	750	352	297	495	160	187	228	519	515	653	837	254	201	1422	441	259	566	158									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15065	2200	2200	2200	600	700	350	250	450	170	195	200	500	500	600	800	200	200	1400	400	250	550	150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6674	924	927	974	301	350	137	88	133	87	84	81	206	206	252	411	100	76	711	181	134	224	87									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	556	14	17	14	13	27	42	47	24	12	7	27	66	45	8	26	3	16	7	48	15	73	5									
6	Число погашенных избирательных бюллетеней	7835	1262	1256	1212	286	323	171	115	293	71	104	92	228	249	340	363	97	108	682	171	101	253	58									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	556	14	17	14	13	27	42	47	24	12	7	27	66	45	8	26	3	16	7	48	15	73	5									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6671	923	925	974	301	350	137	88	133	87	84	81	206	206	252	411	100	76	711	181	134	224	87									
9	Число недействительных избирательных бюллетеней	146	18	30	14	7	9	0	5	0	2	2	2	5	7	5	6	0	2	16	5	3	4	4									
10	Число действительных избирательных бюллетеней	7081	919	912	974	307	368	179	130	157	97	89	106	267	244	255	431	103	90	702	224	146	293	88									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	160	10	10	10	10	5	5	5	5	5	5	10	10	10	10	5	5	5	10	5	5	5	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	45	1	1	5	2	0	0	0	3	4	2	2	5	2	0	1	1	0	0	0	5	1	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	47	1	4	0	3	3	0	2	1	0	0	3	0	4	2	3	0	1	4	0	4	4	8									
14	Число погашенных неиспользованных открепительных удостоверений	115	9	9	5	8	5	5	5	2	1	3	8	5	8	10	4	4	5	10	5	0	4	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	179	26	25	32	11	9	3	1	2	0	1	1	2	6	11	16	3	1	19	0	1	8	1									
		2.48%	2.77%	2.65%	3.24%	3.50%	2.39%	1.68%	0.74%	1.27%	0.00%	1.10%	0.93%	0.74%	2.39%	4.23%	3.66%	2.91%	1.09%	2.65%	0.00%	0.67%	2.69%	1.09%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	247	27	31	24	13	10	4	1	9	6	2	2	7	16	8	13	6	2	35	22	4	3	2									
		3.42%	2.88%	3.29%	2.43%	4.14%	2.65%	2.23%	0.74%	5.73%	6.06%	2.20%	1.85%	2.57%	6.37%	3.08%	2.97%	5.83%	2.17%	4.87%	9.61%	2.68%	1.01%	2.17%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	163	18	27	25	3	9	3	2	2	2	1	4	11	3	2	14	5	5	11	3	4	8	1									
		2.26%	1.92%	2.87%	2.53%	0.96%	2.39%	1.68%	1.48%	1.27%	2.02%	1.10%	3.70%	4.04%	1.20%	0.77%	3.20%	4.85%	5.43%	1.53%	1.31%	2.68%	2.69%	1.09%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3087	343	395	390	159	205	102	60	54	59	36	53	121	118	106	185	36	44	274	103	68	128	48									
		42.71%	36.61%	41.93%	39.47%	50.64%	54.38%	56.98%	44.44%	34.39%	59.60%	39.56%	49.07%	44.49%	47.01%	40.77%	42.33%	34.95%	47.83%	38.16%	44.98%	45.64%	43.10%	52.17%									
