Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																
Дата голосования: 07.12.2003 0:00:00																																
																																
Наименование Избирательной комиссии:    Куйбышевская городская																																
																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																
																																
		Сумма	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400					
1	"Число избирателей, внесенных в списки"	36896	1385	1843	1417	1595	1266	1374	1356	1459	1363	1416	1525	1365	1552	1575	1494	1498	1581	1634	1450	1481	1530	1361	1582	1414	1380					
2	"Число бюллетеней, полученных участковыми комиссиями"	35500	1350	1550	1350	1580	1200	1300	1300	1400	1290	1380	1460	1360	1500	1540	1480	1470	1540	1460	1400	1460	1500	1350	1540	1380	1360					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	18120	579	663	700	836	563	661	597	630	615	656	814	832	886	711	846	808	822	743	744	791	775	829	580	730	709					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1125	13	341	33	28	26	25	44	46	15	0	26	30	36	15	34	20	22	153	35	23	20	26	39	29	46					
6	Число погашенных бюллетеней	16255	758	546	617	716	611	614	659	724	660	724	620	498	578	814	600	642	696	564	621	646	705	495	921	621	605					
7	Число бюллетеней в переносных ящиках для голосования	1125	13	341	33	28	26	25	44	46	15	0	26	30	36	15	34	20	22	153	35	23	20	26	39	29	46					
8	Число бюллетеней в стационарных ящиках для голосования	18123	579	663	700	836	563	661	597	630	615	656	814	839	886	710	846	807	822	743	743	791	775	828	580	730	709					
9	Число недействительных бюллетеней	305	18	23	7	13	12	19	4	16	11	14	6	10	12	4	12	16	17	16	7	12	8	17	3	17	11					
10	Число действительных бюллетеней	18943	574	981	726	851	577	667	637	660	619	642	834	859	910	721	868	811	827	880	771	802	787	837	616	742	744					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	397	16	16	16	16	15	16	15	16	15	16	16	13	19	16	16	16	16	16	16	16	16	16	16	16	16					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	103	6	1	9	4	1	0	3	4	1	1	3	8	19	4	6	3	6	2	4	3	8	2	2	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	68	2	2	5	1	2	1	1	2	1	3	5	8	6	3	4	5	5	0	0	1	1	4	0	5	1					
14	Число погашенных открепительных удостоверений	294	10	15	7	12	14	16	12	12	14	15	13	5	0	12	10	13	10	14	12	13	8	14	14	16	13					
15	Число открепительных удостоверений выданных ТИК	3	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																
18	"1. ""ЕДИНЕНИЕ"""	283	10	21	8	24	9	22	10	15	13	4	11	12	10	13	5	7	19	12	6	7	10	9	7	3	16					
		1.47%	1.68%	2.09%	1.09%	2.77%	1.52%	3.20%	1.56%	2.21%	2.06%	0.60%	1.30%	1.38%	1.08%	1.79%	0.56%	0.84%	2.25%	1.33%	0.77%	0.85%	1.25%	1.05%	1.13%	0.39%	2.11%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	371	6	18	15	25	19	8	9	10	5	6	24	16	19	16	23	18	14	20	15	10	13	23	11	15	13					
		1.92%	1.01%	1.79%	2.04%	2.89%	3.22%	1.16%	1.40%	1.47%	0.79%	0.91%	2.85%	1.84%	2.06%	2.20%	2.61%	2.17%	1.65%	2.23%	1.92%	1.22%	1.63%	2.69%	1.77%	1.97%	1.72%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	431	6	28	12	23	19	9	12	25	8	4	21	15	22	8	21	20	29	24	10	30	15	25	14	10	21					
		2.23%	1.01%	2.78%	1.63%	2.66%	3.22%	1.31%	1.87%	3.69%	1.26%	0.60%	2.5%	1.72%	2.38%	1.10%	2.38%	2.41%	3.43%	2.67%	1.28%	3.68%	1.88%	2.92%	2.26%	1.31%	2.78%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	614	12	25	16	34	13	13	19	25	8	9	38	34	45	14	26	43	24	41	22	31	31	27	14	29	21					
		3.18%	2.02%	2.49%	2.18%	3.93%	2.20%	1.89%	2.96%	3.69%	1.26%	1.37%	4.52%	3.91%	4.88%	1.93%	2.95%	5.19%	2.84%	4.57%	2.82%	3.80%	3.89%	3.16%	2.26%	3.82%	2.78%					
22	"5. ""За Русь Святую"""	107	3	6	3	2	0	3	3	4	6	2	6	7	8	8	6	6	5	10	2	5	1	1	2	4	4					
		0.55%	0.50%	0.59%	0.40%	0.23%	0.0%	0.43%	0.46%	0.59%	0.95%	0.30%	0.71%	0.80%	0.86%	1.10%	0.68%	0.72%	0.59%	1.11%	0.25%	0.61%	0.12%	0.11%	0.32%	0.52%	0.52%					
23	"6. ""Объединенная Российская партия ""Русь"""	46	2	8	0	0	0	0	2	2	4	0	0	2	1	1	2	0	4	4	1	1	3	1	6	2	0					
		0.23%	0.33%	0.79%	0.0%	0.0%	0.0%	0.0%	0.31%	0.29%	0.63%	0.0%	0.0%	0.23%	0.10%	0.13%	0.22%	0.0%	0.47%	0.44%	0.12%	0.12%	0.37%	0.11%	0.96%	0.26%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	109	4	9	2	8	3	6	5	3	6	5	5	9	4	5	3	5	7	4	2	3	6	1	0	4	0					
		0.56%	0.67%	0.89%	0.27%	0.92%	0.50%	0.87%	0.78%	0.44%	0.95%	0.76%	0.59%	1.03%	0.43%	0.68%	0.34%	0.60%	0.82%	0.44%	0.25%	0.36%	0.75%	0.11%	0.0%	0.52%	0.0%					
25	"8. ""Народно-республиканская партия России"""	37	0	2	1	0	0	2	2	2	0	1	3	8	1	2	0	2	1	4	1	1	0	3	0	1	0					
		0.19%	0.0%	0.19%	0.13%	0.0%	0.0%	0.29%	0.31%	0.29%	0.0%	0.15%	0.35%	0.92%	0.10%	0.27%	0.0%	0.24%	0.11%	0.44%	0.12%	0.12%	0.0%	0.35%	0.0%	0.13%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	52	0	3	6	3	2	0	2	1	1	1	1	2	0	2	1	1	4	1	0	2	4	5	9	0	1					
