Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																															
Дата голосования: 18.09.2016																																																															
																																																															
Наименование Избирательной комиссии:    Выксунская																																																															
																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																															
																																																															
		Сумма	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	70385	2148	1530	1952	2120	1029	1228	2278	1538	1549	1561	2215	1622	1555	1424	1491	2716	288	2478	2330	1288	1980	1845	1667	1393	2236	1146	1203	1663	903	1639	1613	2353	2118	1128	1135	1062	627	1515	1792	338	739	1104	1125	688	738	261	414	148	749	174	244	305									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	66800	2150	1500	1850	2100	1000	1200	2100	1500	1500	1500	2050	1600	1450	1400	1500	2500	250	2400	2250	1250	1600	1800	1650	1400	2200	1100	1000	1600	800	1600	1600	2200	2000	1000	1000	950	550	1500	1650	300	700	900	1000	650	650	250	400	150	700	150	200	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	33988	1117	842	911	1056	473	577	1037	857	849	842	1061	787	743	730	719	1403	111	1149	1018	651	713	940	877	810	1135	561	651	769	365	759	741	1091	911	475	565	568	343	745	852	229	303	519	504	345	328	103	129	69	322	83	124	126									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1392	7	1	11	40	30	8	28	6	3	15	80	23	15	12	8	19	0	7	11	14	21	15	7	9	12	33	10	25	40	42	27	61	63	31	31	9	12	8	26	18	46	37	43	38	46	22	68	13	29	12	21	179									
6	Число погашенных избирательных бюллетеней	31417	1026	657	928	1004	497	615	1035	637	648	643	909	790	692	658	773	1078	139	1244	1221	585	866	845	766	581	1053	506	339	806	395	799	832	1048	1023	494	404	373	195	747	772	53	351	344	453	267	276	125	203	68	349	55	55	195									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1392	7	1	11	40	30	8	28	6	3	15	80	23	15	12	8	19	0	7	11	14	21	15	7	9	12	33	10	25	40	42	27	61	63	31	31	9	12	8	26	18	46	37	43	38	46	22	68	13	29	12	21	179									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	33982	1117	842	911	1056	473	577	1037	855	849	842	1061	787	743	730	719	1403	111	1149	1018	651	709	940	877	810	1135	561	651	769	365	759	741	1091	911	475	565	568	343	745	852	229	303	519	504	345	328	103	129	69	322	83	124	126									
9	Число недействительных избирательных бюллетеней	940	18	10	24	43	21	16	17	21	22	18	21	20	8	17	12	25	3	33	26	18	15	37	42	28	22	10	15	22	10	18	21	28	26	12	12	18	12	23	18	5	5	14	9	13	9	7	10	2	12	5	3	64									
10	Число действительных избирательных бюллетеней	34434	1106	833	898	1053	482	569	1048	840	830	839	1120	790	750	725	715	1397	108	1123	1003	647	715	918	842	791	1125	584	646	772	395	783	747	1124	948	494	584	559	343	730	860	242	344	542	538	370	365	118	187	80	339	90	142	241									
