Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Сретенская																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК  754	УИК  755	УИК  756	УИК  757	УИК  758	УИК  759	УИК  760	УИК  761	УИК  762	УИК  763	УИК  764	УИК  765	УИК  766	УИК  767	УИК  768	УИК  769	УИК  770	УИК  771	УИК  772	УИК  773	УИК  774	УИК  775	УИК  776	УИК  777	УИК  778	УИК  779	УИК  780	УИК  781	УИК  782	УИК  783	УИК  784	УИК  785	УИК  786	УИК  787	УИК  788	УИК  789	УИК  790	УИК  791	УИК  792	УИК  793					
1	"Число избирателей, внесенных в список"	19365	567	392	780	420	803	514	1073	402	533	2285	2394	1914	73	136	767	39	327	425	201	501	47	300	71	93	393	229	316	390	66	82	169	308	60	187	156	78	673	641	497	63					
2	Число полученных избирательных бюллетеней	18980	550	380	800	390	745	500	1000	380	510	2100	2200	2000	60	130	760	45	310	430	200	460	50	310	75	100	400	230	315	395	70	85	165	335	65	210	180	100	680	645	520	100					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11552	271	238	401	218	390	281	704	320	252	1172	1190	1187	41	115	423	39	217	227	100	353	47	221	49	93	245	179	269	282	63	74	133	206	57	141	139	71	355	340	399	50					
5	"Число избирательных бюллетеней, выданных вне помещения"	1103	56	5	33	8	38	24	27	0	69	62	68	57	8	0	39	0	10	59	50	22	0	36	5	0	64	32	20	44	3	0	8	39	3	14	10	0	94	83	0	13					
6	Число погашенных избирательных бюллетеней	6325	223	137	366	164	317	195	269	60	189	866	942	756	11	15	298	6	83	144	50	85	3	53	21	7	91	19	26	69	4	11	24	90	5	55	31	29	231	222	121	37					
7	Число избирательных бюллетеней в переносных ящиках	1103	56	5	33	8	38	24	27	0	69	62	68	57	8	0	39	0	10	59	50	22	0	36	5	0	64	32	20	44	3	0	8	39	3	14	10	0	94	83	0	13					
8	Число бюллетеней в стационарных ящиках для голосования	11552	271	238	401	218	390	281	704	320	252	1172	1190	1187	41	115	423	39	217	227	100	353	47	221	49	93	245	179	269	282	63	74	133	206	57	141	139	71	355	340	399	50					
9	Число недействительных избирательных бюллетеней	121	2	3	9	2	3	1	1	8	0	13	7	17	1	0	6	0	7	6	0	1	1	1	0	0	4	0	1	3	0	2	2	0	0	1	0	1	3	10	5	0					
10	Число действительных избирательных бюллетеней	12534	325	240	425	224	425	304	730	312	321	1221	1251	1227	48	115	456	39	220	280	150	374	46	256	54	93	305	211	288	323	66	72	139	245	60	154	149	70	446	413	394	63					
11	Число полученных открепительных  удостоверений	290	5	10	9	10	10	7	5	5	9	30	32	45	3	3	5	2	5	5	2	5	2	3	2	2	3	3	2	5	2	2	2	5	2	5	2	3	15	10	10	3					
12	Число выданных открепительных удостоверений	116	2	3	3	5	5	3	1	0	3	13	22	32	0	1	4	1	0	5	1	2	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	5	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	45	2	3	3	3	0	1	2	0	1	11	1	5	4	0	0	0	0	1	0	0	0	0	0	2	1	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0					
14	Число неиспользованных открепительных удостоверений	174	3	7	6	5	5	4	4	5	6	17	10	13	3	2	1	1	5	0	1	3	2	3	2	1	3	3	2	5	2	2	2	2	2	5	2	3	10	10	9	3					
15	"Число открепительных удостоверений, выданных в ТИК"	6	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																															
18	. Глазьев Сергей Юрьевич	327	7	3	9	4	8	4	13	10	6	58	53	28	0	5	8	4	6	7	2	8	0	2	0	3	5	2	1	4	1	3	3	2	1	2	2	6	16	18	9	4					
		2.58%	2.14%	1.23%	2.07%	1.77%	1.87%	1.31%	1.78%	3.12%	1.87%	4.70%	4.21%	2.25%	0.00%	4.35%	1.73%	10.26%	2.64%	2.45%	1.33%	2.13%	0.00%	0.78%	0.00%	3.23%	1.62%	0.95%	0.35%	1.23%	1.52%	4.05%	2.13%	0.82%	1.67%	1.29%	1.34%	8.45%	3.56%	4.26%	2.26%	6.35%					
19	. Малышкин Олег Александрович	381	12	9	11	2	5	5	16	13	3	34	35	26	3	5	21	3	4	9	4	3	0	3	0	6	13	8	11	10	4	3	7	5	5	3	23	19	9	8	18	3					
		3.01%	3.67%	3.70%	2.53%	0.88%	1.17%	1.64%	2.19%	4.06%	0.93%	2.76%	2.78%	2.09%	6.12%	4.35%	4.55%	7.69%	1.76%	3.15%	2.67%	0.80%	0.00%	1.17%	0.00%	6.45%	4.21%	3.79%	3.81%	3.07%	6.06%	4.05%	4.96%	2.04%	8.33%	1.94%	15.44%	26.76%	2.00%	1.89%	4.51%	4.76%					
20	. Миронов Сергей Михайлович	140	3	3	6	2	2	1	6	1	6	20	18	6	0	1	6	0	0	5	5	0	0	1	0	2	4	2	2	6	0	1	1	15	0	2	0	0	1	7	3	2					
		1.11%	0.92%	1.23%	1.38%	0.88%	0.47%	0.33%	0.82%	0.31%	1.87%	1.62%	1.43%	0.48%	0.00%	0.87%	1.30%	0.00%	0.00%	1.75%	3.33%	0.00%	0.00%	0.39%	0.00%	2.15%	1.29%	0.95%	0.69%	1.84%	0.00%	1.35%	0.71%	6.12%	0.00%	1.29%	0.00%	0.00%	0.22%	1.65%	0.75%	3.17%					
21	. Путин Владимир Владимирович	9090	217	193	290	181	309	239	590	214	255	771	789	1013	39	83	348	28	158	228	107	307	38	186	52	72	226	176	245	195	55	43	91	170	37	113	102	24	330	282	252	42					
		71.83%	66.36%	79.42%	66.82%	80.09%	72.20%	78.36%	80.71%	66.88%	79.44%	62.48%	62.72%	81.43%	79.59%	72.17%	75.32%	71.79%	69.60%	79.72%	71.33%	81.87%	80.85%	72.37%	96.30%	77.42%	73.14%	83.41%	84.78%	59.82%	83.33%	58.11%	64.54%	69.39%	61.67%	72.90%	68.46%	33.80%	73.50%	66.67%	63.16%	66.67%					
22	. Хакамада Ирина Муцуовна	169	4	4	8	6	8	5	15	1	7	13	16	22	0	0	3	0	4	1	3	8	0	5	0	2	0	4	1	5	0	0	3	3	1	0	4	2	4	3	3	1					
		1.34%	1.22%	1.65%	1.84%	2.65%	1.87%	1.64%	2.05%	0.31%	2.18%	1.05%	1.27%	1.77%	0.00%	0.00%	0.65%	0.00%	1.76%	0.35%	2.00%	2.13%	0.00%	1.95%	0.00%	2.15%	0.00%	1.90%	0.35%	1.53%	0.00%	0.00%	2.13%	1.22%	1.67%	0.00%	2.68%	2.82%	0.89%	0.71%	0.75%	1.59%					
23	. Харитонов Николай Михайлович	2266	80	23	95	28	87	45	86	72	41	309	313	110	5	13	67	3	47	29	29	46	6	55	2	4	56	18	27	100	6	18	32	48	15	32	16	19	83	92	98	11					
		17.91%	24.46%	9.47%	21.89%	12.39%	20.33%	14.75%	11.76%	22.50%	12.77%	25.04%	24.88%	8.84%	10.20%	11.30%	14.50%	7.69%	20.70%	10.14%	19.33%	12.27%	12.77%	21.40%	3.70%	4.30%	18.12%	8.53%	9.34%	30.67%	9.09%	24.32%	22.70%	19.59%	25.00%	20.65%	10.74%	26.76%	18.49%	21.75%	24.56%	17.46%					
																																															
24	Против всех	161	2	5	6	1	6	5	4	1	3	16	27	22	1	8	3	1	1	1	0	2	2	4	0	4	1	1	1	3	0	4	2	2	1	2	2	0	3	3	11	0					
		1.27%	0.61%	2.06%	1.38%	0.44%	1.40%	1.64%	0.55%	0.31%	0.93%	1.30%	2.15%	1.77%	2.04%	6.96%	0.65%	2.56%	0.44%	0.35%	0.00%	0.53%	4.26%	1.56%	0.00%	4.30%	0.32%	0.47%	0.35%	0.92%	0.00%	5.41%	1.42%	0.82%	1.67%	1.29%	1.34%	0.00%	0.67%	0.71%	2.76%	0.00%					
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
