Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																														
Дата голосования: 18.09.2016																														
																														
Наименование Избирательной комиссии:    Советская																														
																														
Сводная таблица итогов голосования по федеральному избирательному округу																														
																														
		Сумма	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	37813	2040	1762	1613	2767	2429	2478	2261	2679	2664	1872	1939	2866	1285	1467	1350	2056	696	1858	1731									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	37000	2040	1760	1600	2670	2370	2370	2230	2620	2560	1840	1890	2800	1270	1410	1300	2040	680	1830	1720									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	16704	836	700	928	1283	978	961	891	1053	1085	824	679	1264	632	738	668	957	351	955	921									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	452	30	22	30	16	11	10	17	37	57	12	12	13	11	47	21	38	4	55	9									
6	Число погашенных избирательных бюллетеней	19844	1174	1038	642	1371	1381	1399	1322	1530	1418	1004	1199	1523	627	625	611	1045	325	820	790									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	452	30	22	30	16	11	10	17	37	57	12	12	13	11	47	21	38	4	55	9									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	16684	836	700	928	1280	978	957	889	1053	1085	824	669	1264	632	738	667	957	351	955	921									
9	Число недействительных избирательных бюллетеней	848	61	29	32	66	59	61	45	59	54	42	19	58	24	43	39	58	21	49	29									
10	Число действительных избирательных бюллетеней	16288	805	693	926	1230	930	906	861	1031	1088	794	662	1219	619	742	649	937	334	961	901									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	662	32	20	20	50	50	50	50	50	50	30	30	50	20	20	20	40	20	30	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	138	14	6	16	2	7	7	6	8	11	3	4	4	0	5	0	27	1	8	9									
