Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																					
Дата голосования: 04.12.2011																																																					
																																																					
Наименование Избирательной комиссии:    Нелидовская																																																					
																																																					
Сводная таблица результатов выборов																																																					
																																																					
		Сумма	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687					
1	"Число избирателей, внесенных в список избирателей"	25784	429	1041	810	1508	150	1106	343	399	1180	1123	1084	1074	741	894	1335	622	869	452	854	482	1291	362	1276	909	237	291	763	552	199	136	153	82	111	118	396	155	136	171	292	178	273	138	160	352	251	306					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23850	400	1000	800	1410	140	1000	300	300	1100	1100	1000	1000	700	800	1250	500	800	400	800	450	1200	300	1200	850	200	250	700	500	200	130	150	70	100	100	380	140	130	160	280	170	240	120	150	340	240	300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	12742	153	659	410	761	40	622	202	267	659	615	595	640	355	418	659	172	462	246	440	220	621	157	607	202	69	109	366	249	67	84	30	43	49	66	147	43	69	101	182	99	179	59	66	180	140	163					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2475	108	72	37	105	47	44	43	12	114	44	78	80	47	76	38	115	20	27	56	27	64	6	88	71	91	20	63	84	54	4	79	21	35	30	106	48	23	17	32	50	26	43	46	67	62	55					
6	Число погашенных избирательных бюллетеней	8633	139	269	353	544	53	334	55	21	327	441	327	280	298	306	553	213	318	127	304	203	515	137	505	577	40	121	271	167	79	42	41	6	16	4	127	49	38	42	66	21	35	18	38	93	38	82					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2475	108	72	37	105	47	44	43	12	114	44	78	80	47	76	38	115	20	27	56	27	64	6	88	71	91	20	63	84	54	4	79	21	35	30	106	48	23	17	32	50	26	43	46	67	62	55					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	12742	153	659	410	761	40	622	202	267	659	615	595	640	355	418	659	172	462	246	440	220	621	157	607	202	69	109	366	249	67	84	30	43	49	66	147	43	69	101	182	99	179	59	66	180	140	163					
9	Число недействительных избирательных бюллетеней	245	4	8	7	8	2	12	0	3	13	7	40	2	6	5	11	1	8	1	5	6	6	5	21	0	3	0	3	4	1	0	0	0	0	6	2	0	0	3	0	7	2	1	1	1	11	19					
10	Число действительных избирательных бюллетеней	14972	257	723	440	858	85	654	245	276	760	652	633	718	396	489	686	286	474	272	491	241	679	158	674	273	157	129	426	329	120	88	109	64	84	90	251	91	92	115	214	142	203	101	111	246	191	199					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	600	11	20	24	27	2	16	7	2	7	37	8	10	6	17	23	2	14	6	26	17	21	0	21	8	1	2	6	3	4	2	0	2	4	7	56	4	11	17	24	29	8	15	7	22	23	21					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	600	11	20	24	27	2	16	7	2	7	37	8	10	6	17	23	2	14	6	26	17	21	0	21	8	1	2	6	3	4	2	0	2	4	7	56	4	11	17	24	29	8	15	7	22	23	21					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	298	6	9	7	7	6	16	2	37	12	3	6	7	4	3	10	3	7	6	11	3	4	3	15	1	4	2	6	1	0	4	2	2	3	5	14	7	2	2	9	4	25	3	3	4	8	0					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
