Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																													
Дата голосования: 07.12.2003 0:00:00																																																																																													
																																																																																													
Наименование Избирательной комиссии:    Псковская городская																																																																																													
																																																																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																													
																																																																																													
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86					
1	"Число избирателей, внесенных в списки"	170209	1290	1906	1994	1842	1581	1000	2710	1568	2081	1626	2761	1679	1626	995	2670	1872	684	1555	2443	2179	1804	1202	2255	2491	1633	1821	1877	2258	2351	1526	1626	2015	1763	2530	1492	2122	2327	2163	1875	1613	1894	2481	2378	2475	2435	2620	2241	2351	2325	1922	2433	2457	2626	2207	2175	2222	2092	2355	2728	2718	2230	2092	2022	1367	2014	1877	2514	1298	2693	2288	2110	2049	2428	1454	2094	1785	1742	1762	1892	2599	1564	1930	2360	1630	235	239					
2	"Число бюллетеней, полученных участковыми комиссиями"	167940	1140	1870	1740	1820	1580	980	2710	1560	2030	1620	2750	1670	1580	980	2650	1830	610	1540	2380	2170	1780	1200	2240	2480	1630	1830	1820	1850	2340	1520	1510	2010	1760	2520	1400	2110	2340	2150	1860	1590	1890	1940	2380	2490	2450	2510	2230	2320	2330	1940	2450	2450	2600	2200	2170	2190	2080	2330	2740	2720	2210	2100	1990	1360	2010	1820	2510	1270	2660	2290	2100	2060	2420	1450	2090	1790	1740	1780	1900	2610	1550	1930	2350	1590	400	400					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	88540	633	1004	942	988	833	521	1522	854	917	657	1284	791	671	397	1557	811	227	580	1206	991	913	680	1230	1330	923	997	863	1004	1257	777	687	1072	918	1337	981	1128	1089	1150	1093	959	1079	1600	1316	1350	1387	1324	1203	1332	1323	1076	1436	1348	1444	1152	1218	1195	1186	1229	1418	1479	1262	1189	1157	789	1029	844	1104	448	1295	1188	987	1041	1240	840	1015	986	943	946	988	1387	846	991	1158	728	65	205					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2327	52	19	243	25	17	19	41	20	58	25	25	9	7	33	11	22	82	12	19	3	17	2	24	43	27	29	40	51	24	25	80	9	21	20	19	13	9	17	11	10	6	34	30	17	21	17	17	14	12	15	16	13	30	27	23	22	11	23	31	22	25	15	19	11	14	23	10	71	25	29	26	23	35	19	17	17	22	30	12	25	8	5	17	13	148	34					
6	Число погашенных бюллетеней	77073	455	847	555	807	730	440	1147	686	1055	938	1441	870	902	550	1082	997	301	948	1155	1176	850	518	986	1107	680	804	917	795	1059	718	743	929	821	1163	400	969	1242	983	756	621	805	306	1034	1123	1042	1169	1010	974	995	849	998	1089	1126	1021	929	973	883	1078	1291	1219	923	896	814	560	967	953	1396	751	1340	1073	1087	996	1145	591	1058	787	775	804	900	1198	696	934	1175	849	187	161					
7	Число бюллетеней в переносных ящиках для голосования	2327	52	19	243	25	17	19	41	20	58	25	25	9	7	33	11	22	82	12	19	3	17	2	24	43	27	29	40	51	24	25	80	9	21	20	19	13	9	17	11	10	6	34	30	17	21	17	17	14	12	15	16	13	30	27	23	22	11	23	31	22	25	15	19	11	14	23	10	71	25	29	26	23	35	19	17	17	22	30	12	25	8	5	17	13	148	34					
8	Число бюллетеней в стационарных ящиках для голосования	88481	632	1001	942	988	832	521	1521	853	917	657	1284	791	671	396	1555	809	227	580	1206	991	913	680	1230	1330	920	997	863	991	1256	777	687	1072	918	1335	981	1128	1089	1149	1092	959	1079	1598	1316	1349	1387	1322	1203	1331	1321	1076	1436	1348	1444	1152	1217	1195	1186	1228	1415	1479	1261	1189	1157	789	1029	843	1104	447	1292	1188	987	1038	1240	840	1015	986	943	946	988	1387	846	991	1155	728	65	204					
9	Число недействительных бюллетеней	768	2	14	12	7	5	9	6	8	10	7	17	8	10	11	5	12	4	20	13	13	8	2	15	8	10	16	7	15	8	7	9	13	13	15	11	6	6	5	8	4	14	27	12	8	6	4	6	6	7	6	7	4	6	3	5	6	3	7	8	18	7	15	5	10	5	11	4	12	11	14	7	6	4	11	24	8	6	4	5	10	13	7	13	9	1	4					
10	Число действительных бюллетеней	90040	682	1006	1173	1006	844	531	1556	865	965	675	1292	792	668	418	1561	819	305	572	1212	981	922	680	1239	1365	937	1010	896	1027	1272	795	758	1068	926	1340	989	1135	1092	1161	1095	965	1071	1605	1334	1358	1402	1335	1214	1339	1326	1085	1445	1357	1468	1176	1235	1211	1194	1244	1438	1483	1279	1189	1171	790	1038	855	1110	506	1306	1203	1006	1055	1271	848	1008	995	959	972	995	1402	841	989	1159	732	212	234					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	2930	50	30	40	30	30	15	40	30	40	30	40	30	30	15	40	30	15	30	40	40	30	30	40	40	30	30	30	30	40	30	30	40	30	40	15	40	40	40	30	30	30	30	40	40	40	40	40	40	40	30	40	40	40	40	40	40	40	40	40	40	40	40	40	30	40	30	40	30	40	40	40	40	40	30	40	30	30	30	30	40	30	30	40	30	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	1105	41	11	15	8	9	6	16	13	16	6	17	10	15	3	31	14	2	1	11	5	15	6	9	17	15	11	20	7	11	8	11	10	9	24	6	5	14	15	10	10	16	16	17	17	18	9	23	18	30	18	19	15	19	13	9	16	14	8	14	14	8	17	6	13	7	11	17	2	10	11	6	10	15	10	14	14	13	30	15	19	10	12	13	16	0	0					
