Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																								
Дата голосования: 18.09.2016																																								
																																								
Наименование Избирательной комиссии:    Токаревская																																								
																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																								
																																								
		Сумма	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14557	1415	1591	666	1922	407	567	283	148	274	196	324	245	806	300	321	467	376	394	108	421	112	163	264	466	99	578	294	852	498									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14640	1400	1600	660	1950	420	470	290	150	280	200	330	250	820	310	320	490	380	400	110	430	110	150	270	490	100	590	300	870	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9307	950	1301	526	1254	203	214	184	105	171	130	235	191	366	172	224	273	278	261	69	271	77	109	137	233	64	342	206	389	372									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1951	110	116	26	182	65	200	60	15	30	27	53	31	125	47	55	85	43	51	11	88	16	23	65	34	16	88	31	159	99									
6	Число погашенных избирательных бюллетеней	3382	340	183	108	514	152	56	46	30	79	43	42	28	329	91	41	132	59	88	30	71	17	18	68	223	20	160	63	322	29									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1951	110	116	26	182	65	200	60	15	30	27	53	31	125	47	55	85	43	51	11	88	16	23	65	34	16	88	31	159	99									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9307	950	1301	526	1254	203	214	184	105	171	130	235	191	366	172	224	273	278	261	69	271	77	109	137	233	64	342	206	389	372									
9	Число недействительных избирательных бюллетеней	128	0	18	3	13	7	0	0	5	0	1	1	0	2	0	7	4	3	7	3	6	2	1	0	9	0	8	0	17	11									
10	Число действительных избирательных бюллетеней	11130	1060	1399	549	1423	261	414	244	115	201	156	287	222	489	219	272	354	318	305	77	353	91	131	202	258	80	422	237	531	460									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	220	21	24	10	29	6	7	4	2	4	3	4	4	12	5	5	7	6	6	2	6	2	3	4	7	2	9	4	13	9									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	43	5	7	2	5	0	0	0	0	0	0	1	3	3	1	1	2	3	3	0	4	0	0	0	1	0	1	0	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	21	4	1	0	1	1	0	0	0	0	0	0	0	5	0	0	0	0	2	0	0	0	1	1	0	0	1	2	1	1									
