Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																									
Дата голосования: 04.12.2011																																																									
																																																									
Наименование Избирательной комиссии:    Батайская городская																																																									
																																																									
Сводная таблица результатов выборов																																																									
																																																									
		Сумма	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №2451	УИК №2452	УИК №2457	УИК №2460	УИК №2464	УИК №2465	УИК №2466	УИК №2472	УИК №2473	УИК №2542	УИК №2543	УИК №2582	УИК №2583	УИК №2584	УИК №2601	УИК №2602	УИК №2603	УИК №2604	УИК №2605					
1	"Число избирателей, внесенных в список избирателей"	87224	1867	1893	1630	1541	1889	1749	1896	1788	1775	1986	1409	1984	1323	1869	2560	1825	1875	1843	1494	2278	1764	1642	1673	1549	1417	1767	2123	1119	1626	1992	1770	1590	1683	1594	1536	1648	2531	1704	1698	1464	1661	1586	1450	1572	1431	2140	1714	1882	1825	1599					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	79400	1692	1706	1458	1406	1716	1557	1783	1611	1795	1801	1292	1788	1324	1680	2315	1634	1694	1688	1337	2065	1625	1481	1520	1395	1276	1616	1947	986	1486	1822	1623	1438	1511	1445	1391	1497	2295	1554	1539	1326	1507	1433	1319	1430	1297	1955	1549	1699	1642	1454					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	49544	1608	1470	734	1014	1283	949	1122	915	907	1036	998	836	774	1100	1188	940	1386	889	818	947	1001	807	772	676	660	725	1382	565	1082	1530	999	730	964	917	876	1246	1301	748	1181	860	693	872	781	738	918	1015	1262	1659	925	745					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2316	38	33	50	33	17	53	19	25	336	47	13	34	13	27	22	44	29	47	83	22	47	45	140	34	45	184	8	18	31	4	10	51	43	29	37	29	10	117	6	14	40	32	15	94	49	6	33	23	24	113					
6	Число погашенных избирательных бюллетеней	27539	46	203	674	359	416	555	642	671	552	718	281	918	537	553	1105	650	279	752	436	1096	577	629	608	685	571	707	557	403	373	288	614	657	503	499	478	222	984	689	352	452	774	529	523	598	330	934	254	17	693	596					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2304	38	33	50	33	17	53	19	14	336	47	13	34	13	27	22	44	29	47	83	22	47	45	140	34	45	184	8	18	31	4	10	50	43	29	37	29	10	117	6	14	40	32	15	94	49	6	33	23	24	113					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	49513	1608	1470	734	1014	1274	949	1122	915	907	1036	998	836	774	1100	1188	940	1386	888	818	947	1001	807	772	676	660	725	1382	565	1082	1530	999	718	963	917	874	1246	1301	748	1181	860	693	872	781	738	918	1009	1262	1659	925	745					
9	Число недействительных избирательных бюллетеней	486	2	15	7	0	8	27	25	0	20	12	8	0	8	19	20	0	3	15	0	0	2	0	13	0	9	8	23	0	0	16	12	13	17	3	13	0	20	15	2	3	28	16	5	2	14	48	15	0	0	0					
10	Число действительных избирательных бюллетеней	51331	1644	1488	777	1047	1283	975	1116	929	1223	1071	1003	870	779	1108	1190	984	1412	920	901	969	1046	852	899	710	696	901	1367	583	1113	1518	997	755	989	943	898	1275	1291	850	1185	871	705	888	791	830	953	967	1280	1682	949	858					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2296	27	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	35	45	65	25	45	101	45	45	45	20	45	45	70	45	42	45	45	45	45	45	45	66	45	45	45	45					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1495	23	30	20	23	20	25	33	23	30	23	35	23	36	20	39	23	17	37	33	32	29	20	24	29	27	30	53	17	22	100	41	21	21	13	30	20	58	43	39	22	20	25	16	21	27	64	26	43	25	24					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1056	16	26	19	11	11	31	151	39	42	15	11	11	27	8	17	16	11	8	45	15	6	10	9	11	13	14	20	44	7	25	10	21	21	10	16	13	36	22	31	12	11	26	9	8	27	26	18	17	22	11					
14	Число погашенных неиспользованных открепительных удостоверений	801	4	15	25	22	25	20	12	22	15	22	10	22	9	25	6	22	28	8	12	13	16	25	21	16	8	15	12	8	23	1	4	24	24	7	15	25	12	2	3	23	25	20	29	24	18	2	19	2	20	21					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																									
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	5398	155	5	148	106	153	143	239	121	231	206	121	106	131	56	182	67	142	134	161	22	103	71	62	90	89	85	73	34	45	86	0	139	85	104	69	75	224	118	67	80	106	158	73	65	83	77	162	120	115	111					
