Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																					
Дата голосования: 18.09.2016																																					
																																					
Наименование Избирательной комиссии:    Кинельская																																					
																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																					
																																					
		Сумма	УИК №4601	УИК №4602	УИК №4603	УИК №4604	УИК №4605	УИК №4606	УИК №4607	УИК №4608	УИК №4609	УИК №4610	УИК №4611	УИК №4612	УИК №4613	УИК №4614	УИК №4615	УИК №4616	УИК №4617	УИК №4618	УИК №4619	УИК №4620	УИК №4621	УИК №4622	УИК №4623	УИК №4624	УИК №4625	УИК №4626									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	20211	610	1325	423	939	330	2582	357	105	238	94	1439	314	1376	262	2435	120	146	188	105	1376	1386	983	456	440	1510	672									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20436	612	1334	417	914	353	2603	414	107	246	102	1441	313	1372	278	2521	120	142	202	103	1356	1422	1011	461	415	1512	665									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15755	543	770	314	675	231	2120	284	81	114	82	1187	248	1206	171	2074	74	96	154	79	858	1101	699	342	342	1340	570									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2115	64	252	21	79	38	305	56	12	82	7	156	25	118	86	117	22	28	30	19	115	126	83	51	53	107	63									
6	Число погашенных избирательных бюллетеней	2566	5	312	82	160	84	178	74	14	50	13	98	40	48	21	330	24	18	18	5	383	195	229	68	20	65	32									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2115	64	252	21	79	38	305	56	12	82	7	156	25	118	86	117	22	28	30	19	115	126	83	51	53	107	63									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15725	543	770	314	675	231	2120	284	81	114	82	1187	248	1206	171	2044	74	96	154	79	858	1101	699	342	342	1340	570									
9	Число недействительных избирательных бюллетеней	308	16	16	17	16	15	67	18	2	5	5	6	0	11	4	10	1	2	0	0	30	21	13	8	4	19	2									
10	Число действительных избирательных бюллетеней	17532	591	1006	318	738	254	2358	322	91	191	84	1337	273	1313	253	2151	95	122	184	98	943	1206	769	385	391	1428	631									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	445	5	25	18	13	10	30	13	8	5	10	23	0	33	13	83	1	3	19	0	10	43	10	12	5	30	23									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	443	4	25	18	13	10	30	13	8	5	10	23	0	33	13	83	1	2	19	0	10	43	10	12	5	30	23									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	365	3	53	15	11	5	14	3	1	5	2	18	2	65	3	30	1	8	7	1	17	21	6	13	5	26	30									
