Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																					
Дата голосования: 18.09.2016																																					
																																					
Наименование Избирательной комиссии:    Иловлинская																																					
																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																					
																																					
		Сумма	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22889	1413	1588	1430	1579	1580	875	345	834	342	1304	1406	487	539	194	594	394	349	985	923	1130	195	1606	428	760	861	748									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21800	1300	1500	1400	1500	1400	750	300	800	350	1200	1300	500	550	200	600	700	350	900	850	1000	200	1500	400	700	800	750									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9876	608	669	574	704	536	340	124	289	111	616	613	241	311	104	312	336	105	574	293	531	73	468	128	337	541	338									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2227	19	79	78	127	73	61	71	40	47	80	165	83	115	11	75	58	82	118	73	213	25	96	54	125	141	118									
6	Число погашенных избирательных бюллетеней	9697	673	752	748	669	791	349	105	471	192	504	522	176	124	85	213	306	163	208	484	256	102	936	218	238	118	294									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2227	19	79	78	127	73	61	71	40	47	80	165	83	115	11	75	58	82	118	73	213	25	96	54	125	141	118									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9876	608	669	574	704	536	340	124	289	111	616	613	241	311	104	312	336	105	574	293	531	73	468	128	337	541	338									
9	Число недействительных избирательных бюллетеней	113	3	13	5	19	6	4	0	2	2	6	0	1	0	2	0	0	7	8	2	0	1	12	1	5	0	14									
10	Число действительных избирательных бюллетеней	11990	624	735	647	812	603	397	195	327	156	690	778	323	426	113	387	394	180	684	364	744	97	552	181	457	682	442									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	364	20	20	24	20	20	10	5	10	5	20	25	10	10	5	15	15	10	20	5	10	5	20	5	20	20	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	364	20	20	24	20	20	10	5	10	5	20	25	10	10	5	15	15	10	20	5	10	5	20	5	20	20	15									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	99	3	9	8	6	6	0	0	2	2	1	1	6	0	2	1	3	2	2	3	5	4	8	19	2	4	0									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	36	5	1	2	7	2	2	0	0	0	0	0	10	2	0	1	2	0	1	1	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
