Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																														
Дата голосования: 07.12.2003 0:00:00																														
																														
Наименование Избирательной комиссии:    Селивановская																														
																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																														
																														
		Сумма	УИК  905	УИК  906	УИК  907	УИК  908	УИК  909	УИК  910	УИК  911	УИК  912	УИК  913	УИК  914	УИК  915	УИК  916	УИК  917	УИК  918	УИК  919	УИК  920	УИК  921	УИК  922	УИК  923	УИК  924	УИК  925	УИК  926	УИК  927					
1	"Число избирателей, внесенных в списки"	17865	613	961	943	259	407	813	457	615	537	537	319	555	412	1116	93	209	375	450	2213	2288	2169	1454	70					
2	"Число бюллетеней, полученных участковыми комиссиями"	17493	600	960	900	260	400	800	460	600	520	520	300	560	410	1100	93	210	370	450	2200	2200	2100	1400	80					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	7387	229	401	364	59	186	312	203	375	212	168	155	197	151	390	30	23	129	196	904	995	1084	554	70					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1516	81	26	67	92	66	66	87	39	40	56	45	106	79	104	33	118	95	88	100	42	41	45	0					
6	Число погашенных бюллетеней	8590	290	533	469	109	148	422	170	186	268	296	100	257	180	606	30	69	146	166	1196	1163	975	801	10					
7	Число бюллетеней в переносных ящиках для голосования	1515	81	26	67	92	66	66	87	39	40	56	45	106	79	104	33	118	95	88	100	42	40	45	0					
8	Число бюллетеней в стационарных ящиках для голосования	7386	229	401	364	59	186	312	203	375	212	168	155	197	151	390	30	23	129	196	903	995	1084	554	70					
9	Число недействительных бюллетеней	167	5	10	7	2	1	13	6	14	0	9	5	4	0	2	0	1	1	8	24	21	14	17	3					
10	Число действительных бюллетеней	8734	305	417	424	149	251	365	284	400	252	215	195	299	230	492	63	140	223	276	979	1016	1110	582	67					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	205	5	10	10	5	5	10	10	5	10	10	5	10	5	10	5	5	5	5	25	20	20	10	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	74	0	1	1	0	1	0	0	2	2	1	0	6	0	1	0	2	1	0	17	15	17	7	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	82	0	2	2	0	3	1	0	2	0	1	3	0	0	1	0	0	1	1	4	4	2	6	49					
14	Число погашенных открепительных удостоверений	131	5	9	9	5	4	10	10	3	8	9	5	4	5	9	5	3	4	5	8	5	3	3	0					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																														
18	"1. ""ЕДИНЕНИЕ"""	79	5	1	4	2	0	2	5	9	3	2	0	6	2	4	0	0	0	6	6	5	11	4	2					
		0.88%	1.61%	0.23%	0.92%	1.32%	0.0%	0.52%	1.72%	2.17%	1.19%	0.89%	0.0%	1.98%	0.86%	0.80%	0.0%	0.0%	0.0%	2.11%	0.59%	0.48%	0.97%	0.66%	2.85%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	72	0	0	2	0	2	1	1	4	1	1	1	1	2	4	0	1	1	5	11	15	13	5	1					
		0.80%	0.0%	0.0%	0.46%	0.0%	0.79%	0.26%	0.34%	0.96%	0.39%	0.44%	0.5%	0.33%	0.86%	0.80%	0.0%	0.70%	0.44%	1.76%	1.09%	1.44%	1.15%	0.83%	1.42%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	226	3	14	5	13	5	10	7	15	10	3	1	4	4	12	1	1	2	4	34	25	37	13	3					
		2.53%	0.96%	3.27%	1.16%	8.60%	1.98%	2.64%	2.41%	3.62%	3.96%	1.33%	0.5%	1.32%	1.73%	2.42%	1.58%	0.70%	0.89%	1.40%	3.38%	2.41%	3.29%	2.17%	4.28%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	180	6	9	2	12	4	7	9	1	3	7	3	6	0	6	1	3	1	4	19	38	29	7	3					
		2.02%	1.93%	2.10%	0.46%	7.94%	1.58%	1.85%	3.10%	0.24%	1.19%	3.12%	1.5%	1.98%	0.0%	1.21%	1.58%	2.12%	0.44%	1.40%	1.89%	3.66%	2.58%	1.16%	4.28%					
22	"5. ""За Русь Святую"""	43	0	1	1	3	1	1	3	0	5	1	1	3	0	2	0	1	0	3	6	2	6	3	0					
		0.48%	0.0%	0.23%	0.23%	1.98%	0.39%	0.26%	1.03%	0.0%	1.98%	0.44%	0.5%	0.99%	0.0%	0.40%	0.0%	0.70%	0.0%	1.05%	0.59%	0.19%	0.53%	0.50%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	31	2	3	1	3	1	1	2	3	0	1	0	0	2	1	0	1	0	1	2	3	3	1	0					
