Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																						
Дата голосования: 04.12.2011																																						
																																						
Наименование Избирательной комиссии:    Ширинская																																						
																																						
Сводная таблица результатов выборов																																						
																																						
		Сумма	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393					
1	"Число избирателей, внесенных в список избирателей"	18940	911	1346	1028	1457	934	190	163	110	1417	1314	261	1259	1185	690	533	113	308	172	710	180	220	514	341	918	481	561	678	137	493	121	195					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19470	1000	1450	1100	1500	1000	200	200	130	1500	1200	250	1100	1000	600	550	120	350	200	650	200	250	650	400	1000	500	600	800	150	500	120	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	45	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	11061	487	622	582	840	553	121	135	100	789	706	94	658	592	245	354	76	220	121	390	131	69	482	250	665	394	305	458	112	287	114	109					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1074	72	69	46	39	30	7	7	4	58	108	45	75	33	49	33	6	48	9	19	13	11	16	57	26	33	25	45	15	30	5	41					
6	Число погашенных избирательных бюллетеней	7217	441	759	472	621	417	72	58	26	653	386	111	367	375	306	163	38	82	70	241	56	97	152	93	309	73	270	297	23	138	1	50					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1192	72	69	46	39	30	7	7	4	58	108	45	75	33	49	33	6	48	9	19	13	84	16	57	26	33	25	45	15	75	5	41					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	11061	487	622	582	840	553	121	135	100	789	706	94	658	592	245	354	76	220	121	390	131	69	482	250	665	394	305	458	112	287	114	109					
9	Число недействительных избирательных бюллетеней	137	2	4	9	9	10	4	0	1	16	0	1	15	7	4	3	0	3	0	4	0	1	1	7	8	3	4	5	9	4	0	3					
10	Число действительных избирательных бюллетеней	12116	557	687	619	870	573	124	142	103	831	814	138	718	618	290	384	82	265	130	405	144	152	497	300	683	424	326	498	118	358	119	147					
