Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																													
Дата голосования: 04.12.2011																																													
																																													
Наименование Избирательной комиссии:    Нерчинская																																													
																																													
Сводная таблица результатов выборов																																													
																																													
		Сумма	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650					
1	"Число избирателей, внесенных в список избирателей"	19435	245	1121	108	701	631	520	598	88	205	212	217	203	691	161	379	151	354	181	1004	121	284	101	362	291	508	189	575	947	821	1123	685	631	733	879	1314	583	887	631					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19428	249	1159	107	705	639	520	597	85	207	211	210	212	700	161	372	154	360	291	988	122	280	98	364	294	513	187	575	954	826	1076	666	627	731	854	1249	573	884	628					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	9192	143	595	65	345	343	266	306	56	105	101	107	125	357	98	244	108	175	148	552	75	149	54	197	166	237	102	216	326	325	490	227	281	319	298	623	239	357	272					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1220	10	54	15	63	68	38	22	7	22	13	8	11	18	10	0	11	43	33	98	13	19	13	23	16	42	18	52	44	26	27	39	26	34	66	113	61	18	26					
6	Число погашенных избирательных бюллетеней	9016	96	510	27	297	228	216	269	22	80	97	95	76	325	53	128	35	142	110	338	34	112	31	144	112	234	67	307	584	475	559	400	320	378	490	513	273	509	330					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1220	10	54	15	63	68	38	22	7	22	13	8	11	18	10	0	11	43	33	98	13	19	13	23	16	42	18	52	44	26	27	39	26	34	66	113	61	18	26					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9192	143	595	65	345	343	266	306	56	105	101	107	125	357	98	244	108	175	148	552	75	149	54	197	166	237	102	216	326	325	490	227	281	319	298	623	239	357	272					
9	Число недействительных избирательных бюллетеней	139	0	6	1	7	14	5	2	2	3	0	2	2	1	2	7	4	4	1	6	1	1	0	0	2	10	4	4	2	4	4	1	1	3	2	13	4	9	5					
10	Число действительных избирательных бюллетеней	10273	153	643	79	401	397	299	326	61	124	114	113	134	374	106	237	115	214	180	644	87	167	67	220	180	269	116	264	368	347	513	265	306	350	362	723	296	366	293					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	364	3	10	5	10	15	8	12	3	5	5	5	5	12	5	5	3	10	5	20	3	3	3	7	5	20	15	20	8	10	25	10	12	12	15	15	15	10	10					
