Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																												
Дата голосования: 04.12.2011																																																												
																																																												
Наименование Избирательной комиссии:    Емельяновская																																																												
																																																												
Сводная таблица результатов выборов																																																												
																																																												
		Сумма	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150					
1	"Число избирателей, внесенных в список избирателей"	32763	2204	1279	2138	904	1471	695	156	383	383	414	804	831	566	1075	567	90	1301	1537	130	341	371	206	1343	594	434	784	2651	905	795	235	139	222	127	107	312	392	265	1083	147	222	189	122	830	243	129	120	63	537	367	269	44	168	1079					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	32163	2127	1220	2000	893	1426	668	154	364	365	413	773	828	549	1070	572	64	1265	1465	127	333	367	203	1327	588	414	770	2617	884	785	240	136	228	130	104	309	399	255	1060	150	192	183	119	819	227	120	121	60	537	362	282	300	156	1043					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	14301	999	562	1023	423	612	338	96	149	184	213	395	266	171	353	234	40	633	650	57	154	162	87	549	258	140	333	904	370	401	105	63	91	48	68	131	164	114	533	73	97	89	78	276	83	64	69	42	345	169	143	44	75	581					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	755	28	14	21	24	17	5	0	7	15	4	9	9	6	10	13	3	18	31	14	8	19	9	20	4	35	19	12	10	20	8	4	7	0	0	9	15	0	82	13	6	9	0	20	23	5	13	3	61	8	10	0	7	48					
6	Число погашенных избирательных бюллетеней	17103	1100	644	956	446	797	325	58	208	166	196	369	553	372	707	325	21	613	782	56	171	186	107	758	325	239	418	1701	504	364	127	69	130	82	36	169	220	141	445	64	89	85	41	523	121	51	39	15	131	185	129	256	74	414					
7	Число избирательных бюллетеней в переносных ящиках для голосования	755	28	14	21	24	17	5	0	7	15	4	9	9	6	10	13	3	18	31	14	8	19	9	20	4	35	19	12	10	20	8	4	7	0	0	9	15	0	82	13	6	9	0	20	23	5	13	3	61	8	10	0	7	48					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	14299	999	562	1023	423	612	338	96	149	184	213	395	266	171	353	234	40	632	650	57	154	162	87	549	258	139	333	904	370	401	105	63	91	48	68	131	164	114	533	73	97	89	78	276	83	64	69	42	345	169	143	44	75	581					
9	Число недействительных избирательных бюллетеней	307	20	16	16	8	16	5	1	3	3	14	8	4	1	2	2	0	16	8	1	5	3	3	14	9	5	5	20	13	5	4	2	4	0	0	2	3	1	15	1	5	0	3	8	1	1	1	0	9	1	3	1	2	14					
10	Число действительных избирательных бюллетеней	14747	1007	560	1028	439	613	338	95	153	196	203	396	271	176	361	245	43	634	673	70	157	178	93	555	253	169	347	896	367	416	109	65	94	48	68	138	176	113	600	85	98	98	75	288	105	68	81	45	397	176	150	43	80	615					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	617	30	15	30	15	15	10	5	5	15	7	15	15	10	20	15	5	20	20	5	5	15	20	30	5	5	15	20	20	15	5	5	5	5	5	5	15	5	15	10	5	10	5	15	5	5	5	5	25	10	15	0	5	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	282	25	10	23	8	14	1	1	2	2	6	6	4	1	12	4	0	7	14	2	1	5	7	7	1	2	5	20	10	8	0	0	0	5	1	2	8	0	4	0	0	0	0	8	4	3	1	0	22	1	9	0	1	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	282	16	9	10	3	4	3	3	6	1	2	13	5	2	10	5	1	14	12	2	2	5	7	8	7	3	5	8	2	4	3	2	1	1	1	4	2	4	3	3	5	2	1	4	7	5	0	4	7	3	0	44	2	2					
14	Число погашенных неиспользованных открепительных удостоверений	335	5	5	7	7	1	9	4	3	13	1	9	11	9	8	11	5	13	6	3	4	10	13	23	4	3	10	0	10	7	5	5	5	0	4	3	7	5	11	10	5	10	5	7	1	2	4	5	3	9	6	0	4	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	0	0	1	1	2	1	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																												
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2533	170	106	230	70	86	67	15	24	19	29	77	44	23	48	26	4	118	127	21	13	28	9	102	42	33	67	192	59	68	8	9	12	3	7	25	32	33	126	8	6	12	5	38	6	16	5	9	82	51	24	9	11	79					
		16.83%	16.55%	18.40%	22.03%	15.66%	13.67%	19.53%	15.63%	15.38%	9.55%	13.36%	19.06%	16.00%	12.99%	13.22%	10.53%	9.30%	18.15%	18.65%	29.58%	8.02%	15.47%	9.38%	17.93%	16.03%	18.97%	19.03%	20.96%	15.53%	16.15%	7.08%	13.43%	12.24%	6.25%	10.29%	17.86%	17.88%	28.95%	20.49%	9.30%	5.83%	12.24%	6.41%	12.84%	5.66%	23.19%	6.10%	20.00%	20.20%	28.81%	15.69%	20.45%	13.41%	12.56%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2897	194	132	214	99	134	60	34	44	48	32	87	59	38	80	42	9	144	108	12	28	19	19	108	40	34	66	131	90	82	26	21	19	11	13	26	34	18	106	20	19	22	10	55	27	13	24	8	56	23	34	9	15	101					
		19.24%	18.89%	22.92%	20.50%	22.15%	21.30%	17.49%	35.42%	28.21%	24.12%	14.75%	21.53%	21.45%	21.47%	22.04%	17.00%	20.93%	22.15%	15.86%	16.90%	17.28%	10.50%	19.79%	18.98%	15.27%	19.54%	18.75%	14.30%	23.68%	19.48%	23.01%	31.34%	19.39%	22.92%	19.12%	18.57%	18.99%	15.79%	17.24%	23.26%	18.45%	22.45%	12.82%	18.58%	25.47%	18.84%	29.27%	17.78%	13.79%	12.99%	22.22%	20.45%	18.29%	16.06%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	154	8	4	6	3	5	2	1	1	1	2	7	3	3	6	6	0	8	8	3	4	1	3	9	2	2	7	8	1	5	2	1	1	0	1	2	2	0	7	0	0	0	0	0	2	0	2	2	4	2	0	0	1	6					
		1.02%	0.78%	0.69%	0.57%	0.67%	0.79%	0.58%	1.04%	0.64%	0.50%	0.92%	1.73%	1.09%	1.69%	1.65%	2.43%	0.00%	1.23%	1.17%	4.23%	2.47%	0.55%	3.13%	1.58%	0.76%	1.15%	1.99%	0.87%	0.26%	1.19%	1.77%	1.49%	1.02%	0.00%	1.47%	1.43%	1.12%	0.00%	1.14%	0.00%	0.00%	0.00%	0.00%	0.00%	1.89%	0.00%	2.44%	4.44%	0.99%	1.13%	0.00%	0.00%	1.22%	0.95%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	3671	259	145	224	118	136	96	18	34	26	44	95	72	60	103	73	10	176	197	9	42	48	27	117	50	34	80	239	83	112	18	9	21	18	22	26	41	26	177	16	37	24	13	97	20	17	11	12	78	23	31	9	22	176					
		24.39%	25.22%	25.17%	21.46%	26.40%	21.62%	27.99%	18.75%	21.79%	13.07%	20.28%	23.51%	26.18%	33.90%	28.37%	29.55%	23.26%	27.08%	28.93%	12.68%	25.93%	26.52%	28.13%	20.56%	19.08%	19.54%	22.73%	26.09%	21.84%	26.60%	15.93%	13.43%	21.43%	37.50%	32.35%	18.57%	22.91%	22.81%	28.78%	18.60%	35.92%	24.49%	16.67%	32.77%	18.87%	24.64%	13.41%	26.67%	19.21%	12.99%	20.26%	20.45%	26.83%	27.98%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	433	44	20	43	16	29	6	0	4	3	9	17	6	3	15	1	3	16	32	1	6	1	2	16	9	7	13	23	17	5	2	1	2	0	0	3	0	3	11	1	0	2	1	9	2	1	1	0	2	5	1	4	4	11					
		2.88%	4.28%	3.47%	4.12%	3.58%	4.61%	1.75%	0.00%	2.56%	1.51%	4.15%	4.21%	2.18%	1.69%	4.13%	0.40%	6.98%	2.46%	4.70%	1.41%	3.70%	0.55%	2.08%	2.81%	3.44%	4.02%	3.69%	2.51%	4.47%	1.19%	1.77%	1.49%	2.04%	0.00%	0.00%	2.14%	0.00%	2.63%	1.79%	1.16%	0.00%	2.04%	1.28%	3.04%	1.89%	1.45%	1.22%	0.00%	0.49%	2.82%	0.65%	9.09%	4.88%	1.75%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4940	327	149	304	128	219	98	25	46	99	86	107	87	49	106	96	17	168	193	23	63	78	33	199	110	54	110	293	114	142	53	22	39	16	25	54	62	31	167	40	36	37	46	88	46	21	38	14	175	71	60	12	26	238					
		32.82%	31.84%	25.87%	29.12%	28.64%	34.82%	28.57%	26.04%	29.49%	49.75%	39.63%	26.49%	31.64%	27.68%	29.20%	38.87%	39.53%	25.85%	28.34%	32.39%	38.89%	43.09%	34.38%	34.97%	41.98%	31.03%	31.25%	31.99%	30.00%	33.73%	46.90%	32.84%	39.80%	33.33%	36.76%	38.57%	34.64%	27.19%	27.15%	46.51%	34.95%	37.76%	58.97%	29.73%	43.40%	30.43%	46.34%	31.11%	43.10%	40.11%	39.22%	27.27%	31.71%	37.84%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	119	5	4	7	5	4	9	2	0	0	1	6	0	0	3	1	0	4	8	1	1	3	0	4	0	5	4	10	3	2	0	2	0	0	0	2	5	2	6	0	0	1	0	1	2	0	0	0	0	1	0	0	1	4					
		0.79%	0.49%	0.69%	0.67%	1.12%	0.64%	2.62%	2.08%	0.00%	0.00%	0.46%	1.49%	0.00%	0.00%	0.83%	0.40%	0.00%	0.62%	1.17%	1.41%	0.62%	1.66%	0.00%	0.70%	0.00%	2.87%	1.14%	1.09%	0.79%	0.48%	0.00%	2.99%	0.00%	0.00%	0.00%	1.43%	2.79%	1.75%	0.98%	0.00%	0.00%	1.02%	0.00%	0.34%	1.89%	0.00%	0.00%	0.00%	0.00%	0.56%	0.00%	0.00%	1.22%	0.64%					
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
