Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																				
Дата голосования: 07.12.2003 0:00:00																																				
																																				
Наименование Избирательной комиссии:    Селижаровская 																																				
																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																				
																																				
		Сумма	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964					
1	"Число избирателей, внесенных в списки"	11710	2795	2116	768	918	252	288	189	197	218	51	112	94	274	103	360	338	134	186	422	164	136	58	387	122	150	152	338	367	21					
2	"Число бюллетеней, полученных участковыми комиссиями"	10943	2500	1900	700	850	250	270	192	197	200	56	114	99	250	105	350	340	138	187	380	162	139	59	350	123	152	190	310	350	30					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	5949	1543	1198	470	482	82	152	64	61	106	21	80	52	132	38	150	134	103	79	167	83	73	23	149	59	71	99	100	164	14					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1446	57	39	14	50	86	48	75	71	34	6	9	16	61	43	102	88	13	37	110	33	24	26	86	40	38	53	115	65	7					
6	Число погашенных бюллетеней	3548	900	663	216	318	82	70	53	65	60	29	25	31	57	24	98	118	22	71	103	46	42	10	115	24	43	38	95	121	9					
7	Число бюллетеней в переносных ящиках для голосования	1446	57	39	14	50	86	48	75	71	34	6	9	16	61	43	102	88	13	37	110	33	24	26	86	40	38	53	115	65	7					
8	Число бюллетеней в стационарных ящиках для голосования	5948	1542	1198	470	482	82	152	64	61	106	21	80	52	132	38	150	134	103	79	167	83	73	23	149	59	71	99	100	164	14					
9	Число недействительных бюллетеней	154	40	30	12	16	0	4	2	0	7	2	2	4	3	1	4	4	0	2	5	0	0	0	10	0	0	0	1	4	1					
10	Число действительных бюллетеней	7240	1559	1207	472	516	168	196	137	132	133	25	87	64	190	80	248	218	116	114	272	116	97	49	225	99	109	152	214	225	20					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	186	25	20	20	15	3	9	4	4	5	2	2	2	5	2	7	6	3	4	8	3	3	1	7	3	5	4	6	8	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	91	21	16	3	7	1	7	0	0	1	1	1	0	0	0	4	2	1	3	3	0	3	1	0	0	5	2	1	8	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	86	15	9	1	3	2	5	1	1	1	1	1	0	1	1	4	2	1	2	1	1	0	3	2	2	0	3	1	1	21					
14	Число погашенных открепительных удостоверений	95	4	4	17	8	2	2	4	4	4	1	1	2	5	2	3	4	2	1	5	3	0	0	7	3	0	2	5	0	0					
15	Число открепительных удостоверений выданных ТИК	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																				
18	"1. ""ЕДИНЕНИЕ"""	145	20	24	13	8	6	6	2	3	2	3	0	5	3	2	7	2	1	0	7	5	1	1	6	3	3	2	7	2	1					
		1.96%	1.25%	1.94%	2.68%	1.50%	3.57%	3.0%	1.43%	2.27%	1.42%	11.11%	0.0%	7.35%	1.55%	2.46%	2.77%	0.90%	0.86%	0.0%	2.52%	4.31%	1.03%	2.04%	2.55%	3.03%	2.75%	1.31%	3.25%	0.87%	4.76%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	168	39	51	13	6	4	1	0	3	4	0	0	0	5	1	2	2	2	0	5	1	1	0	10	4	3	3	2	6	0					
		2.27%	2.43%	4.12%	2.68%	1.12%	2.38%	0.5%	0.0%	2.27%	2.85%	0.0%	0.0%	0.0%	2.59%	1.23%	0.79%	0.90%	1.72%	0.0%	1.80%	0.86%	1.03%	0.0%	4.25%	4.04%	2.75%	1.97%	0.93%	2.62%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	198	39	35	21	11	4	3	1	7	6	0	0	3	8	3	6	1	1	3	3	2	4	1	7	1	7	5	8	7	1					
		2.67%	2.43%	2.82%	4.33%	2.06%	2.38%	1.5%	0.71%	5.30%	4.28%	0.0%	0.0%	4.41%	4.14%	3.70%	2.38%	0.45%	0.86%	2.58%	1.08%	1.72%	4.12%	2.04%	2.97%	1.01%	6.42%	3.28%	3.72%	3.05%	4.76%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	156	36	28	13	9	5	5	4	0	2	0	3	0	1	4	4	6	1	4	4	0	2	3	2	2	0	11	3	2	2					
		2.10%	2.25%	2.26%	2.68%	1.69%	2.97%	2.5%	2.87%	0.0%	1.42%	0.0%	3.37%	0.0%	0.51%	4.93%	1.58%	2.70%	0.86%	3.44%	1.44%	0.0%	2.06%	6.12%	0.85%	2.02%	0.0%	7.23%	1.39%	0.87%	9.52%					
22	"5. ""За Русь Святую"""	105	29	13	5	11	10	1	0	0	6	0	0	1	3	3	3	2	0	1	2	1	1	0	2	1	1	6	0	3	0					
		1.42%	1.81%	1.05%	1.03%	2.06%	5.95%	0.5%	0.0%	0.0%	4.28%	0.0%	0.0%	1.47%	1.55%	3.70%	1.19%	0.90%	0.0%	0.86%	0.72%	0.86%	1.03%	0.0%	0.85%	1.01%	0.91%	3.94%	0.0%	1.31%	0.0%					
