Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																		
Дата голосования: 07.12.2003 0:00:00																																		
																																		
Наименование Избирательной комиссии:    Кунгурская городская																																		
																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																		
																																		
		Сумма	УИК  1901	УИК  1902	УИК  1903	УИК  1904	УИК  1905	УИК  1906	УИК  1907	УИК  1908	УИК  1909	УИК  1910	УИК  1911	УИК  1912	УИК  1913	УИК  1914	УИК  1915	УИК  1916	УИК  1917	УИК  1918	УИК  1919	УИК  1920	УИК  1921	УИК  1922	УИК  1923	УИК  1925	УИК  1926	УИК  1927	УИК  1928					
1	"Число избирателей, внесенных в списки"	51526	2749	2744	1956	1077	2815	2650	2511	2635	1282	1409	1356	1561	2899	2493	1580	1425	1010	1794	2484	2664	2505	1929	999	1777	593	2219	410					
2	"Число бюллетеней, полученных участковыми комиссиями"	50750	2800	2700	2000	1000	2800	2600	2500	2500	1300	1400	1300	1500	2900	2500	1600	1400	1000	1800	2500	2600	2300	1900	1000	1800	550	2100	400					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	28384	1314	1580	1001	656	1651	1671	1542	1671	577	887	719	739	1756	1364	845	750	488	1024	1259	1391	1341	1059	483	891	301	1169	255					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1610	68	78	64	17	121	52	151	65	39	30	28	39	24	41	27	57	42	54	102	187	39	47	30	81	39	67	21					
6	Число погашенных бюллетеней	20756	1418	1042	935	327	1028	877	807	764	684	483	553	722	1120	1095	728	593	470	722	1139	1022	920	794	487	828	210	864	124					
7	Число бюллетеней в переносных ящиках для голосования	1610	68	78	64	17	121	52	151	65	39	30	28	39	24	41	27	57	42	54	102	187	39	47	30	81	39	67	21					
8	Число бюллетеней в стационарных ящиках для голосования	28378	1314	1585	1001	656	1651	1670	1542	1668	577	887	719	737	1756	1364	845	750	487	1024	1259	1391	1337	1059	483	891	301	1169	255					
9	Число недействительных бюллетеней	584	18	12	18	8	29	41	11	23	14	20	7	21	53	51	25	15	18	17	19	21	55	27	8	24	10	17	2					
10	Число действительных бюллетеней	29404	1364	1651	1047	665	1743	1681	1682	1710	602	897	740	755	1727	1354	847	792	511	1061	1342	1557	1321	1079	505	948	330	1219	274					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	836	56	40	21	36	36	42	40	40	21	26	20	25	45	40	25	22	16	44	40	40	37	30	16	28	9	34	7					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	575	38	24	21	31	27	38	26	32	10	22	15	14	39	32	12	10	12	35	25	17	25	20	7	10	5	24	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	361	16	12	0	9	8	14	84	10	16	10	6	3	19	10	3	8	4	14	7	64	11	9	1	6	5	7	5					
14	Число погашенных открепительных удостоверений	261	18	16	0	5	9	4	14	8	11	4	5	11	6	8	13	12	4	9	15	23	12	10	9	18	4	10	3					
15	Число открепительных удостоверений выданных ТИК	29	1	1	6	1	2	1	0	2	2	2	1	0	0	0	1	1	0	0	0	2	3	0	2	0	1	0	0					
