Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																	
Дата голосования: 07.12.2003 0:00:00																																																	
																																																	
Наименование Избирательной комиссии:    Азнакаевская																																																	
																																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																	
																																																	
		Сумма	УИК  526	УИК  527	УИК  528	УИК  529	УИК  530	УИК  531	УИК  532	УИК  533	УИК  534	УИК  535	УИК  536	УИК  537	УИК  538	УИК  539	УИК  540	УИК  541	УИК  542	УИК  543	УИК  544	УИК  545	УИК  546	УИК  547	УИК  548	УИК  549	УИК  550	УИК  551	УИК  552	УИК  553	УИК  554	УИК  555	УИК  556	УИК  557	УИК  558	УИК  559	УИК  560	УИК  561	УИК  562	УИК  563	УИК  564	УИК  565	УИК  566	УИК  567					
1	"Число избирателей, внесенных в списки"	22149	649	2186	1928	2480	537	255	389	379	320	646	449	379	226	213	634	342	452	307	399	428	269	101	447	180	673	243	538	529	199	372	244	1160	546	146	524	429	724	389	334	236	167	101					
2	"Число бюллетеней, полученных участковыми комиссиями"	21953	600	2072	1935	2389	523	256	397	365	323	663	447	380	227	225	678	335	446	313	402	425	267	101	442	170	678	241	537	533	190	374	255	1165	557	146	525	426	716	386	329	240	169	105					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	19484	491	1803	1615	2027	402	250	318	318	301	578	391	331	187	209	598	320	402	258	365	398	244	96	409	161	615	223	494	465	179	329	229	1137	532	143	486	401	629	371	310	210	159	100					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1102	52	42	81	104	21	0	36	15	16	50	42	39	36	4	36	15	27	16	22	15	19	5	13	3	44	14	30	64	11	37	2	7	0	0	27	25	74	10	19	20	8	1					
6	Число погашенных бюллетеней	1367	57	227	239	258	100	6	43	32	6	35	14	10	4	12	44	0	17	39	15	12	4	0	20	6	19	4	13	4	0	8	24	21	25	3	12	0	13	5	0	10	2	4					
7	Число бюллетеней в переносных ящиках для голосования	1102	52	42	81	104	21	0	36	15	16	50	42	39	36	4	36	15	27	16	22	15	19	5	13	3	44	14	30	64	11	37	2	7	0	0	27	25	74	10	19	20	8	1					
8	Число бюллетеней в стационарных ящиках для голосования	19484	491	1803	1615	2027	402	250	318	318	301	578	391	331	187	209	598	320	402	258	365	398	244	96	409	161	615	223	494	465	179	329	229	1137	532	143	486	401	629	371	310	210	159	100					
9	Число недействительных бюллетеней	411	12	37	9	60	11	35	15	4	12	1	2	1	0	6	28	2	15	13	13	2	2	1	3	2	16	2	2	0	15	0	0	43	1	2	9	5	5	0	12	10	3	0					
10	Число действительных бюллетеней	20175	531	1808	1687	2071	412	215	339	329	305	627	431	369	223	207	606	333	414	261	374	411	261	100	419	162	643	235	522	529	175	366	231	1101	531	141	504	421	698	381	317	220	164	101					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	299	8	18	24	28	6	9	6	2	6	15	9	6	6	6	6	1	6	3	6	6	3	6	10	6	6	6	6	2	1	6	2	13	6	3	9	6	6	6	6	6	1	6					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	211	8	18	23	28	6	6	4	1	2	9	9	5	0	1	5	1	6	0	5	1	1	0	8	1	6	1	6	1	1	6	2	11	4	0	8	6	5	2	1	3	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	171	7	11	6	8	6	1	2	10	5	3	8	9	0	2	6	0	5	3	2	3	3	1	5	3	2	2	2	3	6	7	1	4	0	1	5	7	12	4	2	2	2	0					
14	Число погашенных открепительных удостоверений	88	0	0	1	0	0	3	2	1	4	6	0	1	6	5	1	0	0	3	1	5	2	6	2	5	0	5	0	1	0	0	0	2	2	3	1	0	1	4	5	3	1	6					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																	
18	"1. ""ЕДИНЕНИЕ"""	271	11	27	14	33	13	5	6	5	3	14	4	1	1	1	17	2	0	14	5	7	1	4	8	3	0	5	0	0	0	4	1	31	1	0	1	6	15	7	0	1	0	0					
		1.31%	2.02%	1.46%	0.82%	1.54%	3.07%	2.0%	1.69%	1.50%	0.94%	2.22%	0.92%	0.27%	0.44%	0.46%	2.68%	0.59%	0.0%	5.10%	1.29%	1.69%	0.38%	3.96%	1.89%	1.82%	0.0%	2.10%	0.0%	0.0%	0.0%	1.09%	0.43%	2.70%	0.18%	0.0%	0.19%	1.40%	2.13%	1.83%	0.0%	0.43%	0.0%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	81	5	14	10	21	2	0	1	6	0	2	1	0	0	0	2	0	0	3	0	1	0	1	1	1	0	1	0	0	0	0	0	3	1	0	0	1	3	1	0	0	0	0					
		0.39%	0.92%	0.75%	0.58%	0.98%	0.47%	0.0%	0.28%	1.80%	0.0%	0.31%	0.23%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	1.09%	0.0%	0.24%	0.0%	0.99%	0.23%	0.60%	0.0%	0.42%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.18%	0.0%	0.0%	0.23%	0.42%	0.26%	0.0%	0.0%	0.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	147	19	28	17	31	3	0	4	3	0	6	0	0	0	0	6	3	0	5	2	1	0	1	4	1	0	4	0	0	0	1	1	2	1	0	0	0	2	2	0	0	0	0					
		0.71%	3.49%	1.51%	1.00%	1.45%	0.70%	0.0%	1.12%	0.90%	0.0%	0.95%	0.0%	0.0%	0.0%	0.0%	0.94%	0.89%	0.0%	1.82%	0.51%	0.24%	0.0%	0.99%	0.94%	0.60%	0.0%	1.68%	0.0%	0.0%	0.0%	0.27%	0.43%	0.17%	0.18%	0.0%	0.0%	0.0%	0.28%	0.52%	0.0%	0.0%	0.0%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	116	11	19	13	26	2	1	2	6	0	4	0	0	0	2	3	1	1	3	5	2	1	0	1	0	0	0	0	0	0	1	0	1	2	0	0	2	4	3	0	0	0	0					
		0.56%	2.02%	1.02%	0.76%	1.22%	0.47%	0.4%	0.56%	1.80%	0.0%	0.63%	0.0%	0.0%	0.0%	0.93%	0.47%	0.29%	0.23%	1.09%	1.29%	0.48%	0.38%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.27%	0.0%	0.08%	0.37%	0.0%	0.0%	0.46%	0.56%	0.78%	0.0%	0.0%	0.0%	0.0%					
22	"5. ""За Русь Святую"""	22	1	6	3	7	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
		0.10%	0.18%	0.32%	0.17%	0.32%	0.23%	0.4%	0.56%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	21	1	3	3	3	1	0	1	1	0	1	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0					
		0.10%	0.18%	0.16%	0.17%	0.14%	0.23%	0.0%	0.28%	0.30%	0.0%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%	0.0%	0.48%	0.0%	0.0%	0.23%	0.0%	0.0%	0.42%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	69	2	10	9	17	1	2	0	0	2	0	1	0	0	0	3	3	0	0	6	2	0	0	0	0	0	1	0	0	0	0	1	7	1	0	0	0	1	0	0	0	0	0					
		0.33%	0.36%	0.54%	0.53%	0.79%	0.23%	0.8%	0.0%	0.0%	0.63%	0.0%	0.23%	0.0%	0.0%	0.0%	0.47%	0.89%	0.0%	0.0%	1.55%	0.48%	0.0%	0.0%	0.0%	0.0%	0.0%	0.42%	0.0%	0.0%	0.0%	0.0%	0.43%	0.61%	0.18%	0.0%	0.0%	0.0%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	13	1	0	2	5	0	0	1	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.06%	0.18%	0.0%	0.11%	0.23%	0.0%	0.0%	0.28%	0.60%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	15	0	3	1	3	2	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0					
		0.07%	0.0%	0.16%	0.05%	0.14%	0.47%	0.4%	0.28%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	192	6	24	9	25	4	8	11	3	3	10	1	1	0	2	12	1	1	4	8	2	0	4	3	0	5	9	0	1	0	9	2	6	0	0	0	2	14	2	0	0	0	0					
		0.93%	1.10%	1.30%	0.53%	1.17%	0.94%	3.2%	3.10%	0.90%	0.94%	1.59%	0.23%	0.27%	0.0%	0.93%	1.89%	0.29%	0.23%	1.45%	2.06%	0.48%	0.0%	3.96%	0.71%	0.0%	0.75%	3.79%	0.0%	0.18%	0.0%	2.45%	0.86%	0.52%	0.0%	0.0%	0.0%	0.46%	1.99%	0.52%	0.0%	0.0%	0.0%	0.0%					
28	"11. ""Истинные патриоты России"""	27	2	2	1	6	0	1	1	0	0	0	1	0	0	0	2	2	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0					
		0.13%	0.36%	0.10%	0.05%	0.28%	0.0%	0.4%	0.28%	0.0%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.31%	0.59%	0.0%	0.72%	0.0%	0.0%	0.0%	0.0%	0.47%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	131	9	18	2	28	5	2	6	2	2	4	4	0	0	0	28	1	0	1	2	1	0	0	0	0	0	5	0	0	0	0	1	2	0	0	0	0	7	1	0	0	0	0					
		0.63%	1.65%	0.97%	0.11%	1.31%	1.18%	0.8%	1.69%	0.60%	0.63%	0.63%	0.92%	0.0%	0.0%	0.0%	4.41%	0.29%	0.0%	0.36%	0.51%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	2.10%	0.0%	0.0%	0.0%	0.0%	0.43%	0.17%	0.0%	0.0%	0.0%	0.0%	0.99%	0.26%	0.0%	0.0%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	36	1	4	5	7	2	0	0	0	0	2	1	0	0	0	0	4	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0					
