Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																		
Дата голосования: 07.12.2003 0:00:00																																																																		
																																																																		
"Наименование Избирательной комиссии:    Тамбов, Октябрьская"																																																																		
																																																																		
Сводная таблица предварительных итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																		
																																																																		
		Сумма	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917					
1	"Число избирателей, внесенных в списки"	128231	2774	77	162	1007	36	2189	3114	2528	2650	2741	2417	2954	2311	2702	571	2932	2373	2023	2814	2131	1837	1694	2475	2831	3028	2839	2263	2189	2224	1639	2905	2853	1972	1796	1822	2054	1426	2951	2543	2005	2573	2569	2583	2890	2845	2160	2539	1962	1967	34	44	2428	2581	2779	2603	2638	2858	2771	1555					
2	"Число бюллетеней, полученных участковыми комиссиями"	125670	2500	150	600	1000	100	2200	2700	2500	2650	2600	2350	2900	2300	2600	520	2850	2350	2050	2800	2100	1800	1550	2350	2850	2950	2800	2250	2200	2200	1500	2850	2850	2000	1700	1800	2000	2350	2850	2500	1800	2500	2700	2500	2500	2800	2100	2500	1900	1900	100	100	2300	2550	2550	2550	2550	2800	2500	1300					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	65251	1368	0	66	430	31	1216	1799	1383	1475	959	1205	1304	1291	1401	254	1420	1074	903	1376	1110	818	876	1374	1374	1545	1428	1110	1230	1253	551	1466	1488	1038	924	875	1187	1375	1498	1420	925	1300	1428	1349	1398	1327	1001	1289	939	900	27	41	1181	1262	1394	1334	1415	1565	1561	720					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	3466	43	51	65	18	0	39	204	77	57	19	64	24	42	36	239	84	71	34	36	62	72	44	39	58	62	26	24	88	65	392	73	87	112	65	60	54	51	22	27	74	38	32	43	45	19	20	22	84	66	0	0	18	32	80	65	19	25	48	50					
6	Число погашенных бюллетеней	56953	1089	99	469	552	69	945	697	1040	1118	1622	1081	1572	967	1163	27	1346	1205	1113	1388	928	910	630	937	1418	1343	1346	1116	882	882	557	1311	1275	850	711	865	759	924	1330	1053	801	1162	1240	1108	1057	1454	1079	1189	877	934	73	59	1101	1256	1076	1151	1116	1210	891	530					
7	Число бюллетеней в переносных ящиках для голосования	3466	43	51	65	18	0	39	204	77	57	19	64	24	42	36	239	84	71	34	36	62	72	44	39	58	62	26	24	88	65	392	73	87	112	65	60	54	51	22	27	74	38	32	43	45	19	20	22	84	66	0	0	18	32	80	65	19	25	48	50					
8	Число бюллетеней в стационарных ящиках для голосования	65131	1367	0	66	430	31	1215	1796	1379	1472	959	1205	1302	1287	1397	254	1420	1074	901	1372	1110	818	857	1335	1370	1544	1426	1110	1230	1252	549	1466	1485	1038	924	876	1187	1374	1488	1436	921	1300	1428	1345	1398	1327	1001	1289	939	900	27	41	1168	1260	1394	1333	1412	1565	1561	720					
9	Число недействительных бюллетеней	1238	22	1	4	7	0	17	20	21	15	3	34	18	33	16	14	30	16	23	35	17	35	19	16	29	16	9	16	27	18	42	28	25	11	33	11	49	21	24	31	19	19	19	39	23	34	18	29	34	28	2	5	11	38	21	21	29	18	15	10					
10	Число действительных бюллетеней	67359	1388	50	127	441	31	1237	1980	1435	1514	975	1235	1308	1296	1417	479	1474	1129	912	1373	1155	855	882	1358	1399	1590	1443	1118	1291	1299	899	1511	1547	1139	956	925	1192	1404	1486	1432	976	1319	1441	1349	1420	1312	1003	1282	989	938	25	36	1175	1254	1453	1377	1402	1572	1594	760					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1524	32	0	0	20	0	30	64	31	25	35	35	30	35	20	0	30	30	20	30	20	30	20	24	40	30	30	30	20	20	20	40	30	30	20	15	15	20	35	25	20	43	37	25	35	35	25	30	20	20	0	0	30	35	38	35	35	35	35	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	1004	32	0	0	10	0	19	49	17	13	25	18	18	16	20	0	15	22	10	24	13	10	11	24	33	24	21	13	18	9	7	33	15	21	13	9	13	14	29	22	11	35	28	21	20	22	18	12	13	6	0	0	16	22	26	21	22	22	26	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	800	8	0	11	8	6	15	5	10	12	6	7	9	5	5	319	16	4	5	10	8	8	12	7	12	12	12	6	8	8	9	7	12	8	6	4	1	8	7	12	10	8	7	5	14	7	7	8	12	7	8	16	5	9	6	9	4	11	10	9					
14	Число погашенных открепительных удостоверений	520	0	0	0	10	0	11	15	14	12	10	17	12	19	0	0	15	8	10	6	7	20	9	0	7	6	9	17	2	11	13	7	15	9	7	6	2	6	6	3	9	8	9	4	15	13	7	18	7	14	0	0	14	13	12	14	13	13	9	7					
15	Число открепительных удостоверений выданных ТИК	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
