Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																							
Дата голосования: 04.12.2011																																																																																							
																																																																																							
"Наименование Избирательной комиссии:    Хабаровск, Индустриальная"																																																																																							
																																																																																							
Сводная таблица результатов выборов																																																																																							
																																																																																							
		Сумма	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №393					
1	"Число избирателей, внесенных в список избирателей"	159947	2186	1768	1628	1654	82	370	2282	1467	2537	1772	1954	2503	2429	2292	2644	1949	2386	1470	2144	2237	2421	2315	2841	2095	2012	2567	2193	2107	1760	1569	2080	90	2362	2404	2709	2074	2754	1728	2660	2205	1765	2416	2108	2533	2082	2320	1973	2202	2748	2205	2260	2484	1959	2408	2078	2042	1897	2408	749	37	1805	2266	2351	2807	1780	1138	1629	312	2775	2727	2392	2586	2636	1445	274	1043	1348	2289	2467	2503					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	147234	2000	1500	1500	1500	82	374	2000	1300	2400	1500	1900	2300	2200	2000	2500	1900	2200	1300	2000	2000	2200	2000	2500	2000	2000	2500	2000	2000	1500	1500	2000	82	2300	2200	2500	2000	2500	1500	2500	2000	1500	2000	2000	2300	2000	2200	1900	2000	2500	2000	2000	2300	1900	2300	2000	2000	1800	2200	700	37	1500	2000	2000	2500	1800	1000	1500	312	2500	2500	2447	2500	2500	1200	300	1000	1200	2200	2200	2200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	78693	1140	946	842	914	17	350	1193	669	1328	880	941	1191	1133	1032	1251	1041	1415	640	1055	1127	1373	1098	1396	1044	944	1405	894	1091	743	623	1078	27	905	1000	1421	978	1219	786	1146	932	772	1155	1109	1378	946	985	894	966	934	916	1044	1115	1093	1426	986	1343	810	1339	427	37	681	1075	1037	1433	1267	490	494	200	1408	1276	2229	1199	1086	612	132	609	755	1568	1063	1196					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3768	17	21	32	23	65	20	28	26	45	42	38	37	45	38	48	17	45	43	38	39	44	51	68	42	50	72	70	81	35	15	44	55	38	46	59	46	37	32	65	39	113	109	53	30	30	73	43	88	81	44	52	118	15	18	34	26	55	39	26	0	37	44	27	26	44	97	95	112	90	75	89	21	59	49	13	18	13	35	60	21					
6	Число погашенных избирательных бюллетеней	64773	843	533	626	563	0	4	779	605	1027	578	921	1072	1022	930	1201	842	740	617	907	834	783	851	1036	914	1006	1023	1036	828	722	862	878	0	1357	1154	1020	976	1244	682	1289	1029	615	736	838	892	1024	1142	963	946	1485	1040	904	1067	792	856	980	631	935	822	247	0	782	881	936	1041	489	413	911	0	1002	1149	129	1280	1355	539	155	373	432	597	1077	983					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3768	17	21	32	23	65	20	28	26	45	42	38	37	45	38	48	17	45	43	38	39	44	51	68	42	50	72	70	81	35	15	44	55	38	46	59	46	37	32	65	39	113	109	53	30	30	73	43	88	81	44	52	118	15	18	34	26	55	39	26	0	37	44	27	26	44	97	95	112	90	75	89	21	59	49	13	18	13	35	60	21					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	78664	1140	946	840	914	17	350	1193	669	1328	880	941	1191	1133	1032	1251	1041	1415	640	1055	1125	1373	1098	1396	1044	944	1405	894	1091	743	623	1076	27	905	1000	1421	978	1219	786	1146	932	772	1155	1109	1377	945	970	894	966	934	916	1043	1115	1093	1426	986	1343	810	1339	427	37	681	1075	1037	1432	1267	490	494	200	1408	1276	2229	1198	1086	611	132	609	753	1568	1063	1196					
9	Число недействительных избирательных бюллетеней	1090	14	6	10	16	0	8	5	11	28	12	14	17	13	16	17	21	11	7	12	21	23	7	17	20	7	17	8	18	17	13	8	1	60	11	14	8	18	10	18	22	13	17	17	17	5	16	13	6	15	15	23	18	10	17	13	8	14	20	9	1	12	14	17	22	11	8	4	11	22	11	23	16	8	3	1	4	11	30	9	10					
10	Число действительных избирательных бюллетеней	81342	1143	961	862	921	82	362	1216	684	1345	910	965	1211	1165	1054	1282	1037	1449	676	1081	1143	1394	1142	1447	1066	987	1460	956	1154	761	625	1112	81	883	1035	1466	1016	1238	808	1193	949	872	1247	1145	1390	970	1027	924	1048	1000	945	1072	1215	1098	1427	1007	1361	851	1358	444	36	706	1105	1047	1436	1300	579	585	301	1476	1340	2295	1203	1137	657	144	623	755	1573	1114	1207					
