Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																					
Дата голосования: 04.12.2011																																																																																					
																																																																																					
"Наименование Избирательной комиссии:    Новосибирск, Октябрьская "																																																																																					
																																																																																					
Сводная таблица результатов выборов																																																																																					
																																																																																					
		Сумма	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №2033	УИК №2034					
1	"Число избирателей, внесенных в список избирателей"	162380	2631	2845	1997	2287	2466	2695	2436	2269	1523	1406	1532	1596	2187	2024	1498	2949	2988	1374	2267	957	2310	2919	2501	2734	2265	2078	2517	2326	2195	2228	2477	1732	2088	2567	2552	2477	2392	2343	2047	1925	2380	1436	1412	1992	1909	2573	2044	2136	2043	2246	1817	2100	1857	2060	2024	2324	2187	2064	1949	1529	1758	2371	2508	1935	1968	1489	2477	2493	2383	2429	426	917	2402	2682	2536	553	1132	1239					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	130099	2100	2300	1900	1900	2000	2100	2000	1800	1300	1300	1200	1300	1800	1600	1200	2300	2400	1000	1800	700	1800	2100	1800	2000	1900	1700	2000	1900	2000	1800	2000	1400	1600	1900	1800	1900	1900	1900	1700	1600	1900	1100	1100	1600	1600	2000	1700	1700	1700	1700	1300	1400	1400	1700	1500	1900	1800	1700	1600	1200	1400	1900	2000	1600	1500	1200	2000	2000	1900	2000	500	700	1900	2200	2500	599	900	1000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	86275	882	1708	1813	1159	1200	1546	1196	1175	570	633	867	854	987	1154	659	1615	1574	710	1399	542	1229	1259	1302	1286	1351	1269	1146	790	1132	1250	1333	745	644	1530	1368	1369	1445	1226	1015	744	1210	827	776	975	922	1214	1184	1274	1048	1127	963	1288	1161	836	1110	1246	1119	1156	1139	912	931	1248	1264	1024	1110	766	1183	1273	1105	1712	345	552	1017	1205	2159	506	769	943					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3295	111	40	68	31	54	46	30	17	46	197	18	21	2	21	20	31	39	11	57	3	12	49	66	55	19	38	48	27	48	32	21	16	19	53	51	65	61	86	82	43	22	27	38	32	131	25	38	22	48	53	78	37	31	55	55	52	73	67	36	34	91	29	41	29	21	18	41	48	29	41	50	20	65	63	1	0	0	0					
6	Число погашенных избирательных бюллетеней	40529	1107	552	19	710	746	508	774	608	684	470	315	425	811	425	521	654	787	279	344	155	559	792	432	659	530	393	806	1083	820	518	646	639	937	317	381	466	394	588	603	813	668	246	286	593	547	761	478	404	604	520	259	75	208	809	335	602	608	477	425	254	378	623	695	547	369	416	776	679	766	247	105	128	818	932	340	93	131	57					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3295	111	40	68	31	54	46	30	17	46	197	18	21	2	21	20	31	39	11	57	3	12	49	66	55	19	38	48	27	48	32	21	16	19	53	51	65	61	86	82	43	22	27	38	32	131	25	38	22	48	53	78	37	31	55	55	52	73	67	36	34	91	29	41	29	21	18	41	48	29	41	50	20	65	63	1	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	86215	882	1707	1812	1158	1200	1546	1196	1174	570	633	866	854	987	1153	658	1615	1574	709	1399	542	1229	1259	1298	1286	1350	1265	1146	790	1129	1247	1333	745	644	1530	1367	1369	1444	1223	1015	744	1210	827	776	975	922	1214	1184	1274	1046	1127	963	1286	1161	836	1110	1246	1119	1140	1139	912	931	1248	1261	1023	1110	766	1180	1272	1105	1710	345	552	1017	1205	2159	506	767	943					
9	Число недействительных избирательных бюллетеней	1284	15	36	35	22	14	25	17	14	10	7	16	5	24	15	10	22	18	10	16	8	10	25	19	28	10	16	13	20	16	16	25	9	11	29	27	29	9	14	15	5	15	7	7	23	13	22	17	18	21	15	13	17	29	14	19	14	8	13	17	9	10	17	19	18	18	9	7	15	10	26	5	11	32	16	39	10	12	14					
10	Число действительных избирательных бюллетеней	88226	978	1711	1845	1167	1240	1567	1209	1177	606	823	868	870	965	1159	668	1624	1595	710	1440	537	1231	1283	1345	1313	1359	1287	1181	797	1161	1263	1329	752	652	1554	1391	1405	1496	1295	1082	782	1217	847	807	984	1040	1217	1205	1278	1073	1165	1028	1306	1163	877	1146	1284	1184	1194	1158	937	1012	1260	1283	1034	1113	775	1214	1305	1124	1725	390	561	1050	1252	2121	496	755	929					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	3646	40	90	30	43	45	50	43	45	40	135	29	31	63	43	35	40	60	25	45	20	60	52	46	63	72	40	48	34	35	57	45	45	35	48	50	48	45	50	40	45	50	30	25	37	70	65	55	65	30	60	48	23	40	40	30	52	61	46	35	35	35	50	60	50	64	57	75	65	70	45	0	55	40	85	40	0	18	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	3610	40	90	30	42	44	50	43	45	38	135	29	31	61	43	35	40	60	24	45	20	59	52	46	62	72	38	48	34	35	57	45	45	35	48	50	48	45	49	40	45	50	30	25	37	70	65	55	65	30	60	44	20	40	40	30	52	59	46	35	35	34	48	60	50	64	57	73	64	70	44	0	50	39	85	39	0	17	30					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	6277	17	46	11	17	57	69	24	31	19	19	14	19	60	49	24	66	67	168	127	91	35	372	311	264	19	28	45	16	12	18	33	52	78	213	345	206	152	90	61	10	20	60	25	48	70	38	36	40	36	25	185	122	75	45	184	46	13	20	50	45	11	66	26	12	36	12	36	28	38	1163	19	14	20	28	40	164	19	7					
14	Число погашенных неиспользованных открепительных удостоверений	36	0	0	0	1	1	0	0	0	2	0	0	0	2	0	0	0	0	1	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	2	0	0	0	1	2	0	0	0	0	2	1	0	1	0	5	1	0	1	0	1	0					
