Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																			
Дата голосования: 07.12.2003 0:00:00																																																																			
																																																																			
Наименование Избирательной комиссии:    Троицкая																																																																			
																																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																			
																																																																			
		Сумма	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395					
1	"Число избирателей, внесенных в списки"	24751	672	118	268	247	174	1100	965	450	276	106	212	512	156	90	383	170	1328	1367	175	157	601	488	896	145	316	784	352	1208	788	224	508	943	221	195	101	224	1037	111	204	88	167	511	833	131	228	117	122	922	87	164	231	259	200	99	503	108	203	971	335	200					
2	"Число бюллетеней, полученных участковыми комиссиями"	23624	655	110	256	235	172	1020	925	425	250	95	205	490	155	90	380	185	1270	1310	165	158	570	470	845	128	290	730	350	1175	755	210	470	880	210	190	105	220	1030	110	190	95	150	470	780	135	205	105	125	900	85	150	235	250	190	95	470	100	190	920	310	185					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	13507	378	69	135	106	115	705	510	202	125	73	113	318	98	38	212	73	669	636	122	99	274	268	441	100	185	393	185	598	463	156	259	547	123	131	69	138	502	71	124	65	121	270	419	90	109	93	77	561	53	112	150	186	120	54	280	59	129	460	134	142					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	805	18	8	44	60	9	14	18	15	17	2	11	19	28	16	0	0	36	15	5	6	9	8	14	2	43	41	12	37	12	0	19	21	8	2	8	15	30	4	0	6	10	12	16	2	6	0	0	19	5	5	0	0	16	1	15	10	20	16	16	4					
6	Число погашенных бюллетеней	9312	259	33	77	69	48	301	397	208	108	20	81	153	29	36	168	112	565	659	38	53	287	194	390	26	62	296	153	540	280	54	192	312	79	57	28	67	498	35	66	24	19	188	345	43	90	12	48	320	27	33	85	64	54	40	175	31	41	444	160	39					
7	Число бюллетеней в переносных ящиках для голосования	805	18	8	44	60	9	14	18	15	17	2	11	19	28	16	0	0	36	15	5	6	9	8	14	2	43	41	12	37	12	0	19	21	8	2	8	15	30	4	0	6	10	12	16	2	6	0	0	19	5	5	0	0	16	1	15	10	20	16	16	4					
8	Число бюллетеней в стационарных ящиках для голосования	13504	378	69	135	106	115	705	510	202	125	73	113	318	98	38	212	73	668	636	122	99	274	268	440	100	187	393	185	598	463	156	259	544	123	131	69	138	502	71	124	65	121	270	419	90	109	93	77	561	53	112	150	186	120	54	280	59	129	460	134	142					
9	Число недействительных бюллетеней	275	11	1	4	4	2	9	0	8	2	1	7	5	0	1	4	0	7	14	3	5	8	6	8	3	0	1	4	9	4	2	15	12	4	1	2	1	3	2	1	1	0	11	4	6	0	0	2	9	2	5	3	1	5	5	14	11	0	13	7	2					
10	Число действительных бюллетеней	14034	385	76	175	162	122	710	528	209	140	74	117	332	126	53	208	73	697	637	124	100	275	270	446	99	230	433	193	626	471	154	263	553	127	132	75	152	529	73	123	70	131	271	431	86	115	93	75	571	56	112	147	185	131	50	281	58	149	463	143	144					
