Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																
Дата голосования: 07.12.2003 0:00:00																																																
																																																
Наименование Избирательной комиссии:    Тобольская																																																
																																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																
																																																
		Сумма	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635					
1	"Число избирателей, внесенных в списки"	15814	1434	469	670	300	627	413	700	428	279	210	477	386	236	176	449	186	88	192	829	223	83	94	548	246	814	197	642	54	310	68	639	155	189	252	435	234	283	732	320	179	568					
2	"Число бюллетеней, полученных участковыми комиссиями"	15934	1400	470	650	300	600	390	680	410	270	200	470	380	250	180	420	180	85	190	1250	210	80	90	540	230	810	194	650	65	290	65	630	150	170	225	440	235	275	740	330	175	565					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9985	796	274	401	158	442	294	390	329	179	154	292	269	179	148	320	146	48	144	798	161	67	90	328	48	479	132	382	52	147	47	455	127	131	146	249	130	148	488	181	53	183					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1713	85	61	73	63	65	33	61	16	14	18	55	28	32	12	43	11	17	0	31	15	8	0	60	119	31	16	46	2	74	0	44	5	19	47	91	26	83	32	36	82	159					
6	Число погашенных бюллетеней	4236	519	135	176	79	93	63	229	65	77	28	123	83	39	20	57	23	20	46	421	34	5	0	152	63	300	46	222	11	69	18	131	18	20	32	100	79	44	220	113	40	223					
7	Число бюллетеней в переносных ящиках для голосования	1707	85	61	73	63	62	33	61	16	14	18	55	28	32	12	43	11	17	0	31	15	8	0	60	119	31	16	46	2	74	0	44	5	19	47	91	26	83	32	36	82	156					
8	Число бюллетеней в стационарных ящиках для голосования	9985	796	274	401	158	442	294	390	329	179	154	292	269	179	148	320	146	48	144	798	161	67	90	328	48	479	132	382	52	147	47	455	127	131	146	249	130	148	488	181	53	183					
9	Число недействительных бюллетеней	117	4	2	6	4	4	9	4	0	1	1	5	4	0	3	5	7	2	1	8	5	1	0	4	1	2	2	2	1	1	0	2	2	0	0	8	0	2	8	3	0	3					
10	Число действительных бюллетеней	11575	877	333	468	217	500	318	447	345	192	171	342	293	211	157	358	150	63	143	821	171	74	90	384	166	508	146	426	53	220	47	497	130	150	193	332	156	229	512	214	135	336					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	249	22	5	10	5	4	6	11	6	4	3	8	5	13	3	3	3	2	3	8	4	2	2	4	4	12	2	9	2	4	2	8	3	4	6	8	4	4	10	19	3	9					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	81	2	2	4	0	2	0	2	0	1	0	3	2	10	3	1	0	0	2	5	2	2	0	1	0	0	0	6	0	0	0	0	1	2	0	3	0	0	8	17	0	0					
