Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																							
Дата голосования: 18.09.2016																																							
																																							
Наименование Избирательной комиссии:    Кыштымская городская																																							
																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																							
																																							
		Сумма	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №2225									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	31493	1629	1401	922	1407	1485	609	253	301	1498	1141	1409	1485	1647	1406	1602	1387	1482	1509	1522	604	1132	971	469	1079	1136	1122	391	494									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	30900	1600	1400	900	1400	1400	600	250	350	1400	1100	1400	1500	1600	1400	1600	1400	1500	1500	1500	600	1000	1000	400	1100	1100	1100	300	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12188	465	585	326	598	582	187	79	127	553	333	502	400	623	553	655	719	709	687	676	247	383	315	185	370	439	449	261	180									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1055	85	29	27	20	28	17	26	50	23	53	55	31	24	25	28	19	38	30	34	34	81	31	31	45	69	91	13	18									
6	Число погашенных избирательных бюллетеней	17657	1050	786	547	782	790	396	145	173	824	714	843	1069	953	822	917	662	753	783	790	319	536	654	184	685	592	560	26	302									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1055	85	29	27	20	28	17	26	50	23	53	55	31	24	25	28	19	38	30	34	34	81	31	31	45	69	91	13	18									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12186	465	585	326	598	582	187	79	127	553	333	502	400	623	553	655	719	709	687	674	247	383	315	185	370	439	449	261	180									
9	Число недействительных избирательных бюллетеней	363	18	11	6	11	21	6	9	1	17	15	13	7	29	17	17	9	15	17	18	7	9	10	3	16	34	17	7	3									
10	Число действительных избирательных бюллетеней	12878	532	603	347	607	589	198	96	176	559	371	544	424	618	561	666	729	732	700	690	274	455	336	213	399	474	523	267	195									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	270	9	13	5	4	14	4	1	28	9	8	10	21	10	6	9	16	9	10	15	2	10	7	5	8	13	15	2	7									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	258	8	13	5	4	14	4	1	28	9	8	10	16	9	6	9	16	9	8	15	2	10	7	5	7	13	15	2	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	235	12	6	10	10	7	5	7	4	10	6	9	13	4	9	7	13	5	10	7	8	19	0	12	8	6	6	19	3									
14	Число погашенных неиспользованных открепительных удостоверений	12	1	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	127	8	3	4	4	5	3	1	1	2	5	2	12	4	6	10	10	9	6	2	1	8	6	3	3	4	2	1	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	195	6	9	5	10	10	0	1	4	14	6	9	5	5	12	7	11	8	7	13	7	5	5	4	2	11	3	13	3									
		1.47%	1.09%	1.47%	1.42%	1.62%	1.64%	0.00%	0.95%	2.26%	2.43%	1.55%	1.62%	1.16%	0.77%	2.08%	1.02%	1.49%	1.07%	0.98%	1.84%	2.49%	1.08%	1.45%	1.85%	0.48%	2.17%	0.56%	4.74%	1.52%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	329	12	12	5	16	17	4	3	8	21	10	11	6	10	16	14	11	19	16	24	5	13	10	10	11	10	20	11	4									
		2.48%	2.18%	1.95%	1.42%	2.59%	2.79%	1.96%	2.86%	4.52%	3.65%	2.59%	1.97%	1.39%	1.55%	2.77%	2.05%	1.49%	2.54%	2.23%	3.39%	1.78%	2.80%	2.89%	4.63%	2.65%	1.97%	3.70%	4.01%	2.02%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	286	14	16	7	12	13	2	3	4	12	12	13	8	15	11	12	21	18	18	17	9	8	5	8	9	0	8	7	4									
		2.16%	2.55%	2.61%	1.98%	1.94%	2.13%	0.98%	2.86%	2.26%	2.08%	3.11%	2.33%	1.86%	2.32%	1.90%	1.76%	2.85%	2.41%	2.51%	2.40%	3.20%	1.72%	1.45%	3.70%	2.17%	0.00%	1.48%	2.55%	2.02%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4676	179	231	138	230	204	81	49	62	221	161	169	159	214	186	235	236	259	268	252	118	160	144	76	182	119	178	91	74									
		35.31%	32.55%	37.62%	39.09%	37.22%	33.44%	39.71%	46.67%	35.03%	38.37%	41.71%	30.34%	36.89%	33.08%	32.18%	34.41%	31.98%	34.67%	37.38%	35.59%	41.99%	34.48%	41.62%	35.19%	43.86%	23.43%	32.96%	33.21%	37.37%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	100	2	2	4	7	7	1	0	3	4	1	3	2	2	3	10	8	6	8	2	2	5	4	2	5	1	2	3	1									
		0.76%	0.36%	0.33%	1.13%	1.13%	1.15%	0.49%	0.00%	1.69%	0.69%	0.26%	0.54%	0.46%	0.31%	0.52%	1.46%	1.08%	0.80%	1.12%	0.28%	0.71%	1.08%	1.16%	0.93%	1.20%	0.20%	0.37%	1.09%	0.51%									
24	"6. Политическая партия ""Гражданская Платформа"""	22	1	1	0	0	1	0	0	0	1	0	1	2	0	2	1	1	1	2	0	2	2	1	0	2	1	0	0	0									
		0.17%	0.18%	0.16%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.17%	0.00%	0.18%	0.46%	0.00%	0.35%	0.15%	0.14%	0.13%	0.28%	0.00%	0.71%	0.43%	0.29%	0.00%	0.48%	0.20%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2444	138	124	75	124	131	32	12	35	84	82	105	114	112	78	120	121	104	98	82	69	101	86	35	87	89	103	53	50									
		18.46%	25.09%	20.20%	21.25%	20.06%	21.48%	15.69%	11.43%	19.77%	14.58%	21.24%	18.85%	26.45%	17.31%	13.49%	17.57%	16.40%	13.92%	13.67%	11.58%	24.56%	21.77%	24.86%	16.20%	20.96%	17.52%	19.07%	19.34%	25.25%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	91	3	6	3	6	4	0	0	0	5	3	3	6	4	3	9	8	3	1	7	2	3	0	3	3	1	3	0	2									
		0.69%	0.55%	0.98%	0.85%	0.97%	0.66%	0.00%	0.00%	0.00%	0.87%	0.78%	0.54%	1.39%	0.62%	0.52%	1.32%	1.08%	0.40%	0.14%	0.99%	0.71%	0.65%	0.00%	1.39%	0.72%	0.20%	0.56%	0.00%	1.01%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	82	3	7	4	3	5	0	0	1	4	0	1	5	5	4	6	7	4	1	5	2	1	1	0	3	5	0	3	2									
		0.62%	0.55%	1.14%	1.13%	0.49%	0.82%	0.00%	0.00%	0.56%	0.69%	0.00%	0.18%	1.16%	0.77%	0.69%	0.88%	0.95%	0.54%	0.14%	0.71%	0.71%	0.22%	0.29%	0.00%	0.72%	0.98%	0.00%	1.09%	1.01%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	14	1	1	0	1	1	1	0	0	0	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	1	0	0	0									
		0.11%	0.18%	0.16%	0.00%	0.16%	0.16%	0.49%	0.00%	0.00%	0.00%	0.26%	0.18%	0.00%	0.15%	0.17%	0.00%	0.00%	0.13%	0.00%	0.14%	0.00%	0.22%	0.29%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	222	4	10	7	10	9	3	1	3	9	4	5	5	6	18	19	10	14	10	9	4	3	3	4	5	35	3	7	2									
		1.68%	0.73%	1.63%	1.98%	1.62%	1.48%	1.47%	0.95%	1.69%	1.56%	1.04%	0.90%	1.16%	0.93%	3.11%	2.78%	1.36%	1.87%	1.39%	1.27%	1.42%	0.65%	0.87%	1.85%	1.20%	6.89%	0.56%	2.55%	1.01%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1437	48	69	49	79	73	20	9	33	57	34	60	39	89	86	70	80	49	71	83	13	46	36	24	33	48	87	30	22									
		10.85%	8.73%	11.24%	13.88%	12.78%	11.97%	9.80%	8.57%	18.64%	9.90%	8.81%	10.77%	9.05%	13.76%	14.88%	10.25%	10.84%	6.56%	9.90%	11.72%	4.63%	9.91%	10.40%	11.11%	7.95%	9.45%	16.11%	10.95%	11.11%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	51	2	4	1	3	5	0	1	2	1	2	4	2	4	2	1	4	1	1	1	1	2	1	0	0	2	2	2	0									
		0.39%	0.36%	0.65%	0.28%	0.49%	0.82%	0.00%	0.95%	1.13%	0.17%	0.52%	0.72%	0.46%	0.62%	0.35%	0.15%	0.54%	0.13%	0.14%	0.14%	0.36%	0.43%	0.29%	0.00%	0.00%	0.39%	0.37%	0.73%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2929	119	111	49	106	109	54	17	21	126	55	159	71	151	139	162	211	245	199	194	40	105	39	47	57	151	114	47	31									
		22.12%	21.64%	18.08%	13.88%	17.15%	17.87%	26.47%	16.19%	11.86%	21.88%	14.25%	28.55%	16.47%	23.34%	24.05%	23.72%	28.59%	32.80%	27.75%	27.40%	14.23%	22.63%	11.27%	21.76%	13.73%	29.72%	21.11%	17.15%	15.66%									
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
