Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																												
Дата голосования: 07.12.2003 0:00:00																																																												
																																																												
"Наименование Избирательной комиссии:    Новосибирск, Советская"																																																												
																																																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																												
																																																												
		Сумма	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950	УИК №1951	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960					
1	"Число избирателей, внесенных в списки"	104898	1586	2080	2265	1866	1130	2173	2151	1945	1935	2381	2064	1448	1674	2149	2211	2156	2120	2297	2101	2393	2599	2167	2337	2592	2750	2831	2339	2489	2363	2334	2460	2204	2414	2870	1651	1837	1791	2425	2484	2614	2053	2053	2821	2609	2730	2627	1991	53	55	22	99	89	20					
2	"Число бюллетеней, полученных участковыми комиссиями"	97826	1500	2000	2000	1700	1600	2000	2000	1800	1800	2000	2000	1300	1500	2000	2000	2000	2000	2100	2000	2200	2500	2000	2200	2500	2500	2600	2100	2300	2100	2100	2200	2000	2200	2600	1500	1700	1600	2200	2500	2500	2000	2000	2600	2400	2500	2500	2000	50	55	22	99	180	20					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	57781	870	1292	1509	1172	1096	1223	1466	1107	1166	1238	1213	800	932	1209	1195	1093	1163	1322	1207	1805	1771	1297	1490	1434	1580	1634	1100	1339	1194	1241	1072	1184	1178	1425	887	1082	986	1185	1117	1318	1086	1036	1234	1234	1389	1129	842	0	55	22	99	43	20					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1271	17	31	47	31	34	19	27	22	40	0	26	38	24	20	31	18	9	26	14	35	33	8	14	12	23	16	35	30	42	23	23	11	21	17	19	14	44	26	28	18	24	14	49	51	28	34	36	34	0	0	0	35	0					
6	Число погашенных бюллетеней	38774	613	677	444	497	470	758	507	671	594	762	761	462	544	771	774	889	828	752	779	360	696	695	696	1054	897	950	965	931	864	836	1105	805	1001	1158	594	604	570	989	1355	1164	890	950	1317	1115	1083	1337	1122	16	0	0	0	102	0					
7	Число бюллетеней в переносных ящиках для голосования	1271	17	31	47	31	34	19	27	22	40	0	26	38	24	20	31	18	9	26	14	35	33	8	14	12	23	16	35	30	42	23	23	11	21	17	19	14	44	26	28	18	24	14	49	51	28	34	36	34	0	0	0	35	0					
8	Число бюллетеней в стационарных ящиках для голосования	57618	869	1285	1504	1167	1096	1218	1465	1101	1145	1237	1211	800	932	1206	1192	1091	1162	1322	1207	1797	1768	1289	1490	1434	1578	1632	1096	1339	1194	1239	1027	1181	1178	1411	887	1079	986	1184	1117	1317	1086	1036	1234	1234	1389	1128	839	0	55	22	99	43	20					
9	Число недействительных бюллетеней	591	10	6	12	8	7	3	5	11	4	7	26	11	8	15	39	13	11	20	5	9	17	8	9	7	6	12	13	16	8	7	5	16	7	9	15	19	10	11	16	21	19	17	16	27	15	14	17	0	2	1	1	0	0					
10	Число действительных бюллетеней	58298	876	1310	1539	1190	1123	1234	1487	1112	1181	1230	1211	827	948	1211	1184	1096	1160	1328	1216	1823	1784	1289	1495	1439	1595	1636	1118	1353	1228	1255	1045	1176	1192	1419	891	1074	1020	1199	1129	1314	1091	1033	1267	1258	1402	1148	858	34	53	21	98	78	20					
