Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																			
Дата голосования: 02.12.2007																																			
																																			
Наименование Избирательной комиссии:    Милютинская районная																																			
																																			
Сводная таблица результатов выборов																																			
																																			
		Сумма	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №2455	УИК №2573	УИК №2632	УИК №2633	УИК №2634	УИК №2635	УИК №2636	УИК №2637					
1	"Число избирателей, внесенных в списки избирателей"	13264	692	492	518	807	400	325	864	533	401	382	373	329	449	237	552	1168	994	227	559	243	488	214	119	189	1021	361	108	219					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	12296	636	462	467	727	387	345	797	491	369	358	342	302	417	222	536	1060	901	203	521	236	453	201	110	171	950	331	102	199					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	9675	569	397	333	645	301	217	752	422	216	310	325	251	300	188	351	690	670	142	422	206	288	177	99	156	703	288	89	168					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1553	42	62	119	82	75	89	45	67	86	27	17	51	41	26	114	82	120	50	64	12	96	19	11	15	55	43	13	30					
6	Число погашенных избирательных бюллетеней	1068	25	3	15	0	11	39	0	2	67	21	0	0	76	8	71	288	111	11	35	18	69	5	0	0	192	0	0	1					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1553	42	62	119	82	75	89	45	67	86	27	17	51	41	26	114	82	120	50	64	12	96	19	11	15	55	43	13	30					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9675	569	397	333	645	301	217	752	422	216	310	325	251	300	188	351	690	670	142	422	206	288	177	99	156	703	288	89	168					
9	Число недействительных избирательных бюллетеней	33	2	0	3	0	0	0	0	1	1	1	0	1	0	0	5	2	0	0	7	1	2	0	0	0	7	0	0	0					
10	Число действительных избирательных бюллетеней	11195	609	459	449	727	376	306	797	488	301	336	342	301	341	214	460	770	790	192	479	217	382	196	110	171	751	331	102	198					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	294	10	5	5	10	0	6	20	8	5	5	5	7	9	5	25	40	12	8	10	14	20	5	3	2	40	12	3	0					
