Выборы Президента Российской Федерации																																																																														
Дата голосования: 04.03.2012																																																																														
																																																																														
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №21																																																																														
																																																																														
Сводная таблица итогов голосования																																																																														
																																																																														
	Число участковых избирательных комиссий	67																																																																												
	Число участковых избирательных комиссий, приступивших к передаче сведений	67																																																																												
																																																																														
		Сумма	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688									
1	Число избирателей, включенных в список избирателей	140309	1113	2048	1915	2001	2273	2369	1836	2221	2175	2603	2456	2576	2280	2359	2324	2206	2481	2013	2198	2179	2351	2153	2139	2251	2306	2271	2113	2355	2308	2319	1942	2270	2054	2188	2423	2406	1924	2145	2078	2425	2171	2129	2068	2092	2139	2084	2261	2069	2508	2114	541	1083	1921	1900	1418	1528	712	1998	2531	2788	2463	2447	2389	2348	2677	1170	713									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	135400	1000	2000	2000	2000	2200	2100	1800	2000	2000	2400	2300	2400	2100	2100	2100	2000	2300	2000	2100	2100	2500	2000	2000	2200	2100	2100	2100	2100	2100	2100	2000	2200	2000	2100	2200	2100	2000	2100	2100	2400	2100	2100	2000	2100	2100	2000	2200	2100	2400	2200	500	1100	2000	2000	1400	1500	1000	2000	2000	2800	2500	2400	2400	2400	2600	1000	1000									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	79652	750	1092	1185	1222	1363	1318	1019	1284	1203	1519	1465	1308	1342	1399	1483	1382	1343	1081	1380	1397	1412	1224	1079	1310	1242	1268	1302	1188	1308	1303	1239	1356	1310	1305	1355	1364	1172	1171	1207	1380	1203	1151	1185	1194	1145	1116	1201	1089	1387	1141	0	685	1059	1119	782	781	569	1123	1440	1581	1353	1308	1356	1425	1603	588	38									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	2474	26	15	21	30	41	21	13	13	15	16	14	13	21	8	23	23	44	32	42	23	43	30	39	22	19	21	38	42	30	14	23	37	33	25	45	111	22	25	20	16	25	38	28	23	22	20	15	12	25	16	488	15	31	43	20	36	143	38	29	26	17	22	32	30	25	19	127									
6	Число погашенных избирательных бюллетеней	53274	224	893	794	748	796	761	768	703	782	865	821	1079	737	693	594	595	913	887	678	680	1045	746	882	868	839	811	760	870	762	783	738	807	657	770	800	625	806	904	873	1004	872	911	787	883	933	864	984	999	988	1043	12	400	910	838	598	683	288	839	531	1193	1130	1070	1012	945	972	393	835									
7	Число избирательных бюллетеней в переносных ящиках для голосования	2470	26	15	21	30	40	21	13	13	15	16	14	13	21	8	23	23	44	32	41	23	43	30	39	22	18	21	38	42	30	14	23	37	33	25	44	111	22	25	20	16	25	38	28	23	22	20	15	12	25	16	488	15	31	43	20	36	143	38	29	26	17	22	32	30	25	19	127									
